,0
0,#276419
1,#286619
2,#2a681a
3,#2b691a
4,#2e6d1b
5,#306f1b
6,#31711b
7,#34741c
8,#36761c
9,#37781c
10,#397a1d
11,#3c7d1d
12,#3d7f1e
13,#3f811e
14,#42841f
15,#43861f
16,#45881f
17,#468a20
18,#498d20
19,#4b8f21
20,#4c9121
21,#509423
22,#529624
23,#549825
24,#569927
25,#5a9d29
26,#5c9e2a
27,#5ea02c
28,#62a32e
29,#64a52f
30,#66a731
31,#67a832
32,#6bac34
33,#6dad36
34,#6faf37
35,#73b239
36,#75b43b
37,#77b53c
38,#79b73d
39,#7dba40
40,#7fbc41
41,#81bd44
42,#86c049
43,#88c24c
44,#8ac34f
45,#8cc551
46,#91c857
47,#93c959
48,#95cb5c
49,#9acd61
50,#9ccf64
51,#9ed067
52,#a1d26a
53,#a5d56f
54,#a7d672
55,#a9d874
56,#aeda7a
57,#b0dc7d
58,#b2dd7f
59,#b5df82
60,#b9e187
61,#bbe28a
62,#bde38d
63,#c0e593
64,#c2e596
65,#c4e699
66,#c6e79c
67,#c9e8a2
68,#cbe9a4
69,#cdeaa7
70,#d0ecad
71,#d2ecb0
72,#d4edb3
73,#d6eeb6
74,#d9f0bc
75,#dbf0bf
76,#ddf1c1
77,#e1f3c7
78,#e2f3ca
79,#e4f4cd
80,#e6f5d0
81,#e7f5d3
82,#e8f5d5
83,#e9f5d6
84,#eaf5d9
85,#ebf6db
86,#ebf6dc
87,#ecf6de
88,#edf6e1
89,#eef6e2
90,#eff6e4
91,#f0f6e7
92,#f1f6e8
93,#f1f6ea
94,#f2f6ec
95,#f3f7ef
96,#f4f7f0
97,#f5f7f2
98,#f6f7f5
99,#f7f7f6
100,#f7f7f7
101,#f7f6f7
102,#f8f4f6
103,#f8f3f6
104,#f8f2f5
105,#f9f0f5
106,#f9eff4
107,#f9eef4
108,#f9eef4
109,#faecf3
110,#faebf3
111,#faeaf2
112,#fbe8f2
113,#fbe7f2
114,#fbe6f1
115,#fce5f1
116,#fce4f0
117,#fce3f0
118,#fde2f0
119,#fde0ef
120,#fddeee
121,#fcdded
122,#fcdbed
123,#fbd8eb
124,#fad6ea
125,#fad4e9
126,#f9d1e8
127,#f8d0e7
128,#f8cee6
129,#f7cce5
130,#f6c9e3
131,#f6c7e3
132,#f5c6e2
133,#f5c2e0
134,#f4c1df
135,#f4bfdf
136,#f3bdde
137,#f2badc
138,#f2b8db
139,#f1b7da
140,#f0b2d7
141,#efb0d6
142,#eeadd4
143,#eeabd2
144,#eca6cf
145,#eba3cd
146,#eba1cb
147,#e99cc8
148,#e89ac6
149,#e897c4
150,#e795c3
151,#e590bf
152,#e58dbe
153,#e48bbc
154,#e286b8
155,#e283b7
156,#e181b5
157,#e07eb3
158,#df79b0
159,#de77ae
160,#dd73ac
161,#db6ca8
162,#da69a6
163,#d965a4
164,#d861a2
165,#d65a9f
166,#d5579d
167,#d4539b
168,#d24c97
169,#d14895
170,#d04493
171,#cf4191
172,#cd3a8d
173,#cc368b
174,#cb3289
175,#c92b86
176,#c82884
177,#c72482
178,#c62080
179,#c41a7c
180,#c2197a
181,#c01879
182,#bb1675
183,#b91574
184,#b71472
185,#b51370
186,#b1116d
187,#ae106b
188,#ac0f6a
189,#a80d66
190,#a60c65
191,#a40b63
192,#a10a61
193,#9d085e
194,#9b075c
195,#99065a
196,#940457
197,#920355
198,#900254
199,#8e0152
