,0
0,#053061
1,#063264
2,#073467
3,#08366a
4,#0a3b70
5,#0c3d73
6,#0d3f76
7,#0f437b
8,#10457e
9,#114781
10,#124984
11,#144e8a
12,#15508d
13,#175290
14,#195696
15,#1a5899
16,#1b5a9c
17,#1c5c9f
18,#1e61a5
19,#1f63a8
20,#2065ab
21,#2369ad
22,#246aae
23,#266caf
24,#276eb0
25,#2a71b2
26,#2b73b3
27,#2c75b4
28,#2f79b5
29,#307ab6
30,#327cb7
31,#337eb8
32,#3681ba
33,#3783bb
34,#3885bc
35,#3b88be
36,#3c8abe
37,#3e8cbf
38,#3f8ec0
39,#4291c2
40,#4393c3
41,#4695c4
42,#4c99c6
43,#4f9bc7
44,#529dc8
45,#569fc9
46,#5ca3cb
47,#5fa5cd
48,#62a7ce
49,#68abd0
50,#6bacd1
51,#6eaed2
52,#71b0d3
53,#78b4d5
54,#7bb6d6
55,#7eb8d7
56,#84bcd9
57,#87beda
58,#8ac0db
59,#8dc2dc
60,#93c6de
61,#96c7df
62,#98c8e0
63,#9dcbe1
64,#a0cce2
65,#a2cde3
66,#a5cee3
67,#a9d1e5
68,#acd2e5
69,#aed3e6
70,#b3d6e8
71,#b6d7e8
72,#b8d8e9
73,#bbdaea
74,#c0dceb
75,#c2ddec
76,#c5dfec
77,#cae1ee
78,#cce2ef
79,#cfe4ef
80,#d1e5f0
81,#d4e6f1
82,#d5e7f1
83,#d7e8f1
84,#dae9f2
85,#dbeaf2
86,#ddebf2
87,#deebf2
88,#e1edf3
89,#e3edf3
90,#e4eef4
91,#e7f0f4
92,#e9f0f4
93,#eaf1f5
94,#ecf2f5
95,#eff3f5
96,#f0f4f6
97,#f2f5f6
98,#f5f6f7
99,#f6f7f7
100,#f7f6f6
101,#f7f5f4
102,#f8f3f0
103,#f8f2ef
104,#f8f1ed
105,#f9efe9
106,#f9eee7
107,#f9ede5
108,#f9ebe3
109,#fae9df
110,#fae8de
111,#fae7dc
112,#fbe5d8
113,#fbe4d6
114,#fbe3d4
115,#fce2d2
116,#fcdfcf
117,#fcdecd
118,#fdddcb
119,#fddbc7
120,#fdd9c4
121,#fcd7c2
122,#fcd5bf
123,#fbd0b9
124,#fbceb7
125,#fbccb4
126,#fac8af
127,#f9c6ac
128,#f9c4a9
129,#f9c2a7
130,#f8bda1
131,#f8bb9e
132,#f7b99c
133,#f7b596
134,#f6b394
135,#f6b191
136,#f6af8e
137,#f5aa89
138,#f5a886
139,#f4a683
140,#f2a17f
141,#f19e7d
142,#f09c7b
143,#ef9979
144,#ec9374
145,#eb9172
146,#ea8e70
147,#e8896c
148,#e6866a
149,#e58368
150,#e48066
151,#e27b62
152,#e17860
153,#df765e
154,#dd7059
155,#dc6e57
156,#db6b55
157,#da6853
158,#d7634f
159,#d6604d
160,#d55d4c
161,#d25849
162,#d05548
163,#cf5246
164,#ce4f45
165,#cb4942
166,#c94741
167,#c84440
168,#c53e3d
169,#c43b3c
170,#c2383a
171,#c13639
172,#be3036
173,#bd2d35
174,#bb2a34
175,#b82531
176,#b72230
177,#b61f2e
178,#b41c2d
179,#b1182b
180,#ae172a
181,#ab162a
182,#a51429
183,#a21328
184,#9f1228
185,#9c1127
186,#960f27
187,#930e26
188,#900d26
189,#8a0b25
190,#870a24
191,#840924
192,#810823
193,#7c0722
194,#790622
195,#760521
196,#700320
197,#6d0220
198,#6a011f
199,#67001f
