,0
0,#006837
1,#016a38
2,#026c39
3,#036e3a
4,#05713c
5,#06733d
6,#07753e
7,#097940
8,#0a7b41
9,#0b7d42
10,#0c7f43
11,#0e8245
12,#0f8446
13,#108647
14,#128a49
15,#138c4a
16,#148e4b
17,#15904c
18,#17934e
19,#18954f
20,#199750
21,#1e9a51
22,#219c52
23,#249d53
24,#279f53
25,#2da155
26,#30a356
27,#33a456
28,#39a758
29,#3ca959
30,#3faa59
31,#42ac5a
32,#48ae5c
33,#4bb05c
34,#4eb15d
35,#54b45f
36,#57b65f
37,#5ab760
38,#5db961
39,#63bc62
40,#66bd63
41,#69be63
42,#6ec064
43,#70c164
44,#73c264
45,#75c465
46,#7ac665
47,#7dc765
48,#7fc866
49,#84ca66
50,#87cb67
51,#89cc67
52,#8ccd67
53,#91d068
54,#93d168
55,#96d268
56,#9bd469
57,#9dd569
58,#a0d669
59,#a2d76a
60,#a7d96b
61,#a9da6c
62,#abdb6d
63,#afdd70
64,#b1de71
65,#b3df72
66,#b5df74
67,#b9e176
68,#bbe278
69,#bde379
70,#c1e57b
71,#c3e67d
72,#c5e67e
73,#c7e77f
74,#cbe982
75,#cdea83
76,#cfeb85
77,#d3ec87
78,#d5ed88
79,#d7ee8a
80,#d9ef8b
81,#dcf08f
82,#ddf191
83,#dff293
84,#e2f397
85,#e3f399
86,#e5f49b
87,#e6f59d
88,#e9f6a1
89,#ebf7a3
90,#ecf7a6
91,#eff8aa
92,#f1f9ac
93,#f2faae
94,#f4fab0
95,#f7fcb4
96,#f8fcb6
97,#fafdb8
98,#fdfebc
99,#feffbe
100,#fffebe
101,#fffdbc
102,#fffbb8
103,#fffab6
104,#fff8b4
105,#fff6b0
106,#fff5ae
107,#fff3ac
108,#fff2aa
109,#fff0a6
110,#feefa3
111,#feeda1
112,#feeb9d
113,#feea9b
114,#fee999
115,#fee797
116,#fee593
117,#fee491
118,#fee28f
119,#fee08b
120,#fede89
121,#fedc88
122,#feda86
123,#fed683
124,#fed481
125,#fed27f
126,#fece7c
127,#fecc7b
128,#feca79
129,#fec877
130,#fdc574
131,#fdc372
132,#fdc171
133,#fdbd6d
134,#fdbb6c
135,#fdb96a
136,#fdb768
137,#fdb365
138,#fdb163
139,#fdaf62
140,#fcaa5f
141,#fca85e
142,#fca55d
143,#fba35c
144,#fb9d59
145,#fa9b58
146,#fa9857
147,#f99355
148,#f99153
149,#f98e52
150,#f88c51
151,#f8864f
152,#f7844e
153,#f7814c
154,#f67c4a
155,#f67a49
156,#f57748
157,#f57547
158,#f47044
159,#f46d43
160,#f36b42
161,#f16640
162,#ef633f
163,#ee613e
164,#ed5f3c
165,#eb5a3a
166,#ea5739
167,#e95538
168,#e65036
169,#e54e35
170,#e44c34
171,#e34933
172,#e14430
173,#e0422f
174,#de402e
175,#dc3b2c
176,#db382b
177,#da362a
178,#d93429
179,#d62f27
180,#d42d27
181,#d22b27
182,#ce2827
183,#cc2627
184,#ca2427
185,#c82227
186,#c41e27
187,#c21c27
188,#c01a27
189,#bd1726
190,#bb1526
191,#b91326
192,#b71126
193,#b30d26
194,#b10b26
195,#af0926
196,#ab0626
197,#a90426
198,#a70226
199,#a50026
