"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80"
"1 Phosphatidylinositol 3 Kinase Regulator Activity",-0.64,-0.84375,-0.6875,-0.59375,0.4375,0.6875,-0.65625,0.459558823529412,0.80952380952381,-0.6875,-0.842105263157895,0.65625,-0.368055555555556,-0.447916666666667,-0.6875,-0.400735294117647,0.71875,-0.59375,0.65,-0.78125,0.65625,-0.446428571428571,-0.599431818181818,0.307565789473684,0.857638888888889,-0.875,-0.6875,0.8125,-0.78125,-0.715277777777778,0.549632352941177,0.6875,-0.55625,0.944444444444444,-0.875,0.729166666666667,-0.96875,-0.65625,-0.5625,-0.599431818181818,0.75,0.53125,0.5625,-0.941176470588235,0.6875,0.6875,0.726973684210526,-0.71875,-0.8125,-0.802083333333333,0.65625,-0.675,0.65625,0.625,-0.834821428571429,-0.4375,0.96875,-0.71875,0.514423076923077,-0.456018518518519,0.365489130434783,-0.526785714285714,0.8125,-0.68125,-0.84375,0.8125,-0.666666666666667,-0.65625,-0.8125,-0.5625,-0.40625,0.729166666666667,0.65625,0.6875,0.90625,0.59375,0.65625,-0.375,0.416666666666667,0.64375
"Actin Binding",-0.6875,-0.5625,-0.53125,-0.75,-0.8125,-0.9375,-0.53125,-0.875,-0.5625,-0.53125,-0.875,-0.9375,-0.53125,-0.6875,-0.53125,-1,-0.84375,-0.5625,-0.96875,-0.9375,-0.96875,-0.53125,-0.65625,-0.53125,-1,-0.8125,-0.53125,-0.65625,-1,-0.59375,-1.03125,-0.8125,-0.53125,-1.03125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.875,-0.5625,-0.53125,-0.53125,-0.53125,-0.625,-0.53125,-0.6875,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.875,-0.71875,-0.65625,-0.53125,-0.53125,-0.53125,-0.625,-0.59375,-0.53125,-0.53125,-0.5625,-0.84375,-0.53125,-0.78125,-0.53125,-0.84375,-0.84375,-0.71875,-0.53125,-0.53125,-0.75,-0.53125,-0.65625,-0.53125,-0.53125,-0.71875
"Actin Filament Based Process",-0.6875,-0.5625,-0.53125,-0.75,-0.8125,-0.9375,-0.53125,-0.875,-0.5625,-0.53125,-0.875,-0.9375,-0.53125,-0.6875,-0.53125,-1,-0.84375,-0.5625,-0.96875,-0.9375,-0.96875,-0.53125,-0.65625,-0.53125,-1,-0.8125,-0.53125,-0.65625,-1,-0.59375,-1.03125,-0.8125,-0.53125,-1.03125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.875,-0.5625,-0.53125,-0.53125,-0.53125,-0.625,-0.53125,-0.6875,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.875,-0.71875,-0.65625,-0.53125,-0.53125,-0.53125,-0.625,-0.59375,-0.53125,-0.53125,-0.5625,-0.84375,-0.53125,-0.78125,-0.53125,-0.84375,-0.84375,-0.71875,-0.53125,-0.53125,-0.75,-0.53125,-0.65625,-0.53125,-0.53125,-0.71875
"Actin Filament Binding",-0.6875,-0.5625,-0.53125,-0.75,-0.8125,-0.9375,-0.53125,-0.875,-0.5625,-0.53125,-0.875,-0.9375,-0.53125,-0.6875,-0.53125,-1,-0.84375,-0.5625,-0.96875,-0.9375,-0.96875,-0.53125,-0.65625,-0.53125,-1,-0.8125,-0.53125,-0.65625,-1,-0.59375,-1.03125,-0.8125,-0.53125,-1.03125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.875,-0.5625,-0.53125,-0.53125,-0.53125,-0.625,-0.53125,-0.6875,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.875,-0.71875,-0.65625,-0.53125,-0.53125,-0.53125,-0.625,-0.59375,-0.53125,-0.53125,-0.5625,-0.84375,-0.53125,-0.78125,-0.53125,-0.84375,-0.84375,-0.71875,-0.53125,-0.53125,-0.75,-0.53125,-0.65625,-0.53125,-0.53125,-0.71875
"Actin Filament Organization",-0.6875,-0.5625,-0.53125,-0.75,-0.8125,-0.9375,-0.53125,-0.875,-0.5625,-0.53125,-0.875,-0.9375,-0.53125,-0.6875,-0.53125,-1,-0.84375,-0.5625,-0.96875,-0.9375,-0.96875,-0.53125,-0.65625,-0.53125,-1,-0.8125,-0.53125,-0.65625,-1,-0.59375,-1.03125,-0.8125,-0.53125,-1.03125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.875,-0.5625,-0.53125,-0.53125,-0.53125,-0.625,-0.53125,-0.6875,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.875,-0.71875,-0.65625,-0.53125,-0.53125,-0.53125,-0.625,-0.59375,-0.53125,-0.53125,-0.5625,-0.84375,-0.53125,-0.78125,-0.53125,-0.84375,-0.84375,-0.71875,-0.53125,-0.53125,-0.75,-0.53125,-0.65625,-0.53125,-0.53125,-0.71875
"Actin Filament Polymerization",-0.6875,-0.5625,-0.53125,-0.75,-0.8125,-0.9375,-0.53125,-0.875,-0.5625,-0.53125,-0.875,-0.9375,-0.53125,-0.6875,-0.53125,-1,-0.84375,-0.5625,-0.96875,-0.9375,-0.96875,-0.53125,-0.65625,-0.53125,-1,-0.8125,-0.53125,-0.65625,-1,-0.59375,-1.03125,-0.8125,-0.53125,-1.03125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.875,-0.5625,-0.53125,-0.53125,-0.53125,-0.625,-0.53125,-0.6875,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.875,-0.71875,-0.65625,-0.53125,-0.53125,-0.53125,-0.625,-0.59375,-0.53125,-0.53125,-0.5625,-0.84375,-0.53125,-0.78125,-0.53125,-0.84375,-0.84375,-0.71875,-0.53125,-0.53125,-0.75,-0.53125,-0.65625,-0.53125,-0.53125,-0.71875
"Actin Polymerization Or Depolymerization",-0.6875,-0.5625,-0.53125,-0.75,-0.8125,-0.9375,-0.53125,-0.875,-0.5625,-0.53125,-0.875,-0.9375,-0.53125,-0.6875,-0.53125,-1,-0.84375,-0.5625,-0.96875,-0.9375,-0.96875,-0.53125,-0.65625,-0.53125,-1,-0.8125,-0.53125,-0.65625,-1,-0.59375,-1.03125,-0.8125,-0.53125,-1.03125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.875,-0.5625,-0.53125,-0.53125,-0.53125,-0.625,-0.53125,-0.6875,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.875,-0.71875,-0.65625,-0.53125,-0.53125,-0.53125,-0.625,-0.59375,-0.53125,-0.53125,-0.5625,-0.84375,-0.53125,-0.78125,-0.53125,-0.84375,-0.84375,-0.71875,-0.53125,-0.53125,-0.75,-0.53125,-0.65625,-0.53125,-0.53125,-0.71875
"Adaptation Of Signaling Pathway",-0.46875,0.875,0.59375,0.71875,0.875,0.625,0.772727272727273,0.597222222222222,0.729166666666667,0.8125,0.584134615384615,0.770833333333333,0.729779411764706,0.85,0.8125,0.65625,0.4375,0.84375,0.653846153846154,0.60625,0.772727272727273,-0.599431818181818,-0.6875,-0.338815789473684,0.766826923076923,0.525,-0.64,0.5,0.5625,0.440217391304348,0.568181818181818,-0.5625,0.690340909090909,0.35,0.684027777777778,-0.78125,0.944444444444444,0.502083333333333,0.60875,0.59375,-0.84375,-0.65625,-0.761029411764706,-0.4375,-0.695652173913043,-0.674342105263158,-0.4975,-0.59375,0.71875,-0.6875,-0.520833333333333,0.60625,-0.71875,0.375,0.84375,0.53125,-0.727272727272727,0.614583333333333,-0.625,-0.71875,-0.941176470588235,-0.375,-0.599431818181818,-0.625,0.5625,-0.761904761904762,-0.75,-0.604166666666667,-0.65625,-0.524305555555556,0.6875,0.639705882352941,-0.8125,-0.541666666666667,-0.416666666666667,-0.888888888888889,-0.8125,-0.727272727272727,-0.6875,-0.689903846153846
"Adaptive Immune Response",-0.761904761904762,-0.6875,0.730654761904762,-0.851102941176471,0.4375,0.6875,0.639705882352941,-0.71875,-0.577083333333333,-0.5,-0.592592592592593,0.59375,-0.75,0.520474137931034,-0.65625,-0.581730769230769,-0.604166666666667,-0.625,-0.721590909090909,-0.90625,0.53125,0.78125,-0.8125,0.8125,-0.732142857142857,-0.90625,0.6875,0.690340909090909,0.336805555555556,0.548387096774194,-0.625,-0.490808823529412,0.71875,-0.5625,-0.75,-0.447916666666667,-0.65625,-0.4375,-0.53125,-0.8125,0.71875,0.53125,-0.695652173913043,0.65,0.729779411764706,-0.34375,0.726973684210526,-0.71875,-0.475,0.85,0.5,-0.6875,0.6875,-0.40625,-0.9375,-0.715277777777778,0.96875,0.59375,0.9375,-0.715277777777778,0.549632352941177,-0.479166666666667,-0.396739130434783,0.53125,0.584134615384615,0.494047619047619,0.75,-0.75,-0.46875,-0.8125,-0.8,-0.447916666666667,0.6875,0.726973684210526,0.514945652173913,0.65625,0.71875,0.875,0.84375,-0.42625
"Adenyl Nucleotide Binding",0.5625,0.65625,0.625,0.75,0.75,-0.40625,0.739130434782609,0.875,0.3625,0.8125,0.76875,-0.625,0.6875,0.78125,0.75,0.700892857142857,-0.59375,0.90625,0.415178571428571,0.510416666666667,-0.6875,-0.888888888888889,0.549632352941177,-0.75,0.875,0.708333333333333,0.71875,0.392857142857143,-0.46875,-0.368055555555556,-0.59375,-0.6875,0.78125,-0.446428571428571,0.625,-0.473557692307692,0.46875,0.909926470588235,0.857638888888889,0.65625,-0.721590909090909,-0.625,-0.6375,0.5625,0.625,0.53125,-0.75,0.708333333333333,0.440217391304348,-0.65625,0.59375,0.78125,-0.375,-0.683035714285714,0.90625,0.839583333333333,-0.84375,0.447916666666667,-0.675,-0.834821428571429,-0.84375,0.84375,-0.59375,0.375,0.625,-0.842105263157895,-0.78125,-0.761029411764706,-0.34375,-0.758223684210526,0.6875,-0.473557692307692,-0.8125,-0.90625,-0.78125,-0.875,-0.8125,-0.38125,-0.6875,-0.367559523809524
"Adenylate Cyclase Activating G Protein Coupled Receptor Signaling Pathway",0.9375,0.60875,0.423611111111111,-0.888888888888889,-0.4375,-0.475,0.8125,-0.5625,-0.761904761904762,-0.5625,0.625,-0.65625,-0.544642857142857,0.607638888888889,0.5625,0.514423076923077,-0.638888888888889,-0.645833333333333,-0.504464285714286,-0.573863636363636,-0.516129032258065,0.53125,0.493055555555556,-0.84375,-0.3125,-0.695652173913043,-0.590460526315789,0.607142857142857,-0.84375,0.729779411764706,-0.396739130434783,0.279411764705882,0.5625,0.598214285714286,-0.46875,-0.78125,-0.638888888888889,0.6875,0.75,0.559210526315789,-0.34375,-0.8,0.8125,0.730654761904762,0.484879032258065,-0.645833333333333,-0.78125,0.5625,0.708333333333333,-0.40625,0.514945652173913,0.730654761904762,-0.571428571428571,0.59375,-0.4375,-0.8125,-0.5625,0.78125,0.65625,0.9375,-0.420454545454545,0.589673913043478,0.59375,-0.674342105263158,-0.71875,0.53125,0.65625,-0.580882352941176,0.59375,-0.64,-0.420454545454545,-0.65625,-0.732142857142857,-0.524305555555556,-0.721590909090909,-0.5625,-0.625,0.65625,-0.475961538461538,-0.506578947368421
"Adenylate Cyclase Modulating G Protein Coupled Receptor Signaling Pathway",0.9375,0.60875,0.423611111111111,-0.888888888888889,-0.4375,-0.475,0.8125,-0.5625,-0.761904761904762,-0.5625,0.625,-0.65625,-0.544642857142857,0.607638888888889,0.5625,0.514423076923077,-0.638888888888889,-0.645833333333333,-0.504464285714286,-0.573863636363636,-0.516129032258065,0.53125,0.493055555555556,-0.84375,-0.3125,-0.695652173913043,-0.590460526315789,0.607142857142857,-0.84375,0.729779411764706,-0.396739130434783,0.279411764705882,0.5625,0.598214285714286,-0.46875,-0.78125,-0.638888888888889,0.6875,0.75,0.559210526315789,-0.34375,-0.8,0.8125,0.730654761904762,0.484879032258065,-0.645833333333333,-0.78125,0.5625,0.708333333333333,-0.40625,0.514945652173913,0.730654761904762,-0.571428571428571,0.59375,-0.4375,-0.8125,-0.5625,0.78125,0.65625,0.9375,-0.420454545454545,0.589673913043478,0.59375,-0.674342105263158,-0.71875,0.53125,0.65625,-0.580882352941176,0.59375,-0.64,-0.420454545454545,-0.65625,-0.732142857142857,-0.524305555555556,-0.721590909090909,-0.5625,-0.625,0.65625,-0.475961538461538,-0.506578947368421
