"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Nervous System Process",0.791417124000277,0.0287121377471484,6.87899827880867,9.57111940477877e-10,2.57463111988549e-07,11.9922691409745
"Regulation Of Trans Synaptic Signaling",0.670498867847356,0.0839523511477824,5.72017472383388,1.55041589987533e-07,2.08530938533231e-05,7.08522381128879
"Developmental Growth",0.730253274975072,-0.0163549436906341,5.55642719507894,3.09602245663575e-07,2.77610013611673e-05,6.42064841653919
"Response To Nitrogen Compound",0.683719957406121,0.0045236076888141,5.18164799600849,1.45950721452188e-06,8.8696209003069e-05,4.93393657219688
"Response To Endogenous Stimulus",0.448597682651564,0.0267088164492944,5.15169239245612,1.6486284201314e-06,8.8696209003069e-05,4.81733043601911
"Regulation Of Signaling Receptor Activity",0.564778446859942,0.0221165911425255,4.55282343302073,1.75066079953099e-05,0.000559212907101797,2.56447935570053
"Vesicle Membrane",-0.568586620923575,0.0833498159613814,-4.48656542606437,2.25268708872782e-05,0.000559212907101797,2.32516391624187
"Negative Regulation Of Cell Differentiation",0.609921499228037,0.00684738087617639,4.45960685763649,2.4946300688556e-05,0.000559212907101797,2.22840416513275
"Negative Regulation Of Developmental Process",0.609921499228037,0.00684738087617639,4.45960685763649,2.4946300688556e-05,0.000559212907101797,2.22840416513275
"Peptidyl Amino Acid Modification",0.609921499228037,0.00684738087617639,4.45960685763649,2.4946300688556e-05,0.000559212907101797,2.22840416513275
"Positive Regulation Of Cell Differentiation",0.609921499228037,0.00684738087617639,4.45960685763649,2.4946300688556e-05,0.000559212907101797,2.22840416513275
"Positive Regulation Of Developmental Process",0.609921499228037,0.00684738087617639,4.45960685763649,2.4946300688556e-05,0.000559212907101797,2.22840416513275
"Regulation Of Cell Differentiation",0.511733098180875,0.00941840273992853,4.29698033556686,4.5832014942133e-05,0.000880629429959556,1.65240825474769
"Regulation Of Multicellular Organismal Development",0.511733098180875,0.00941840273992853,4.29698033556686,4.5832014942133e-05,0.000880629429959556,1.65240825474769
"Synaptic Signaling",0.452454875484028,0.0654405919038024,4.16088134390934,7.55112300151399e-05,0.00094613209353602,1.18087372505277
"Adaptation Of Signaling Pathway",-0.574254471197579,0.0372729666727471,-4.1541571272882,7.73788329285965e-05,0.00094613209353602,1.15783258570211
"Endocytosis",-0.574254471197579,0.0372729666727471,-4.1541571272882,7.73788329285965e-05,0.00094613209353602,1.15783258570211
"Negative Regulation Of G Protein Coupled Receptor Signaling Pathway",-0.574254471197579,0.0372729666727471,-4.1541571272882,7.73788329285965e-05,0.00094613209353602,1.15783258570211
"Receptor Internalization",-0.574254471197579,0.0372729666727471,-4.1541571272882,7.73788329285965e-05,0.00094613209353602,1.15783258570211
"Receptor Mediated Endocytosis",-0.574254471197579,0.0372729666727471,-4.1541571272882,7.73788329285965e-05,0.00094613209353602,1.15783258570211
"Receptor Metabolic Process",-0.574254471197579,0.0372729666727471,-4.1541571272882,7.73788329285965e-05,0.00094613209353602,1.15783258570211
"Regulation Of G Protein Coupled Receptor Signaling Pathway",-0.574254471197579,0.0372729666727471,-4.1541571272882,7.73788329285965e-05,0.00094613209353602,1.15783258570211
"Inflammatory Response",0.468005257450378,0.0241376373650336,3.96153750622326,0.000154286742238735,0.00159627437162384,0.508375231773113
"Regulation Of Defense Response",0.468005257450378,0.0241376373650336,3.96153750622326,0.000154286742238735,0.00159627437162384,0.508375231773113
"Regulation Of Inflammatory Response",0.468005257450378,0.0241376373650336,3.96153750622326,0.000154286742238735,0.00159627437162384,0.508375231773113
