"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Ly6c1",0.00776315425324645,2.85188772135164e-06,4546,101,6.65544035036765,0,0,6.65544035036765,777,4415,4678,787.632131094143,764.935296696138,810.502223769996,TRUE,TRUE,TRUE,FALSE,TRUE
"Ly6a",0.00443370006753554,1.70479755648015e-06,2667,71,6.09582456243222,0,0,6.09582456243222,444,2566,2768,462.079827018935,444.580740956351,479.57891308152,TRUE,TRUE,TRUE,FALSE,TRUE
"Cldn5",0.00387864589729858,1.60713854298713e-06,2255,67,5.96357934361845,0,0,5.96357934361845,389,2163,2348,390.697416545819,374.757654983861,406.810436385624,TRUE,TRUE,TRUE,FALSE,TRUE
"Slco1c1",0.00343403415912322,3.88916689699421e-06,1916,236,5.8406416573734,0,0,5.8406416573734,344,1831,2002,331.962860355561,317.235906738534,346.863072250434,TRUE,TRUE,TRUE,FALSE,TRUE
"Itm2a",0.00668021531263034,6.47571708290236e-06,3920,269,6.50578406012823,0.693147180559945,0,5.81263687956828,334.5,3798,4043,679.17244916169,658.034939264311,700.483217336916,TRUE,TRUE,TRUE,FALSE,TRUE
"Slco1a4",0.00286568067125592,2.08053230186258e-06,1714,77,5.66296048013595,0,0,5.66296048013595,288,1633,1795,296.964688230392,282.930767724755,310.998608736029,TRUE,TRUE,TRUE,FALSE,TRUE
"Flt1",0.00574465095163507,5.58229838978108e-06,3342,159,6.35437004079735,0.693147180559945,0,5.66122286023741,287.5,3229,3455,579.02916456591,559.450979169157,598.607349962663,TRUE,TRUE,TRUE,FALSE,TRUE
"Adgrf5",0.00259616981485782,2.89914238402613e-06,1563,83,5.56452040732269,0,0,5.56452040732269,261,1486,1641,270.802688275439,257.461800881192,284.316833947534,TRUE,TRUE,TRUE,FALSE,TRUE
"Abcb1a",0.00217824750189573,1.52114558766575e-06,1293,45,5.3890717298165,0,0,5.3890717298165,219,1223,1364,224.022953256649,211.894873807333,236.324290983812,TRUE,TRUE,TRUE,FALSE,TRUE
"Klf2",0.00201303827777251,1.46004848154917e-06,1154,67,5.30826769740121,0,0,5.30826769740121,202,1088,1221,199.940052635865,188.505006297938,211.548357251639,TRUE,TRUE,TRUE,FALSE,TRUE
"Cxcl12",0.00322729401279621,1.05923486973597e-05,1642,400,5.78074351579233,0.693147180559945,0,5.08759633523238,162,1563,1722,284.490092225381,270.802688275439,298.350754453171,TRUE,TRUE,TRUE,FALSE,TRUE
"Srgn",0.00142258888843602,1.29205676867442e-06,807,51,4.96284463025991,0,0,4.96284463025991,143,752,863,139.819430222827,130.290224941222,149.52189378228,TRUE,TRUE,TRUE,FALSE,TRUE
"Ctla2a",0.00117393481177725,3.49432704047906e-07,665,11,4.77068462446567,0,0,4.77068462446567,118,615,716,115.216754768501,106.553840876132,124.052926938717,TRUE,TRUE,TRUE,FALSE,TRUE
"Sdpr",0.00106566813670616,3.62974998347397e-06,707,173,4.68213122712422,0,0,4.68213122712422,108,655,760,122.49360243809,113.484171990027,131.676291164001,TRUE,TRUE,TRUE,FALSE,TRUE
"Ptprb",0.001980987305,6.46698719504608e-06,1255,161,5.29330482472449,0.693147180559945,0,4.60015764416455,99.5,1186,1325,217.439138698449,205.484317526981,229.567218147765,TRUE,TRUE,TRUE,FALSE,TRUE
"Palmd",0.000956807218293839,1.10285055356379e-06,518,65,4.57471097850338,0,0,4.57471097850338,97,474,563,89.7477879249376,82.1244236996533,97.5444104280692,TRUE,TRUE,TRUE,FALSE,TRUE
"Pltp",0.00738617794180095,6.59649442510402e-05,4301,3263,6.60665018619822,2.07944154167984,0,4.52720864451838,92.5,4173,4430,745.183853021538,723.006793457074,767.534170863848,TRUE,TRUE,TRUE,FALSE,TRUE
"Adgrl4",0.000905523573554502,4.22713954465917e-07,568,17,4.52178857704904,0,0,4.52178857704904,92,522,615,98.4107018173061,90.4408210363271,106.553840876132,TRUE,TRUE,TRUE,FALSE,TRUE
"Ramp2",0.00183238637177725,1.4133337835284e-05,1079,729,5.21493575760899,0.693147180559945,0,4.52178857704904,92,1015,1144,186.945681797312,175.85715201508,198.207469857391,TRUE,TRUE,TRUE,FALSE,TRUE
"Wfdc1",0.00079571020900474,3.38994207722518e-06,452,151,4.39444915467244,0,0,4.39444915467244,81,411,494,78.3127415870112,71.209152195269,85.5895892566007,TRUE,TRUE,TRUE,FALSE,TRUE
"Emcn",0.000771992650521327,8.16793961970681e-07,460,25,4.35670882668959,0,0,4.35670882668959,78,418,502,79.6988078097901,72.4219601402006,86.9756554793797,TRUE,TRUE,TRUE,FALSE,TRUE
"Cd34",0.000755268657464455,8.81382770929736e-07,398,29,4.34380542185368,0,0,4.34380542185368,77,359,438,68.9567945832532,62.1997217472058,75.887125697148,TRUE,TRUE,TRUE,FALSE,TRUE
"Egfl7",0.000750544514146919,2.06564599498386e-06,481,69,4.33073334028633,0,0,4.33073334028633,76,439,524,83.3372316445849,76.0603839749954,90.7873375920218,TRUE,TRUE,TRUE,FALSE,TRUE
"Ifitm3",0.00149708326734597,1.40673677248513e-05,995,488,5.01727983681492,0.693147180559945,0,4.32413265625498,75.5,934,1057,172.391986458133,161.823231509443,183.13399968467,TRUE,TRUE,TRUE,FALSE,TRUE
"Fxyd5",0.000743952193317535,1.61491767702298e-06,412,57,4.31748811353631,0,0,4.31748811353631,75,373,452,71.3824104731164,64.625337637069,78.3127415870112,TRUE,TRUE,TRUE,FALSE,TRUE
"Pecam1",0.000740093476658768,1.21099279853793e-06,428,31,4.31748811353631,0,0,4.31748811353631,75,388,469,74.1545429186743,67.2242118047795,81.2581323104165,TRUE,TRUE,TRUE,FALSE,TRUE
"9430020K01Rik",0.000734460663886256,7.47798909087374e-07,450,29,4.30406509320417,0,0,4.30406509320417,74,409,492,77.9662250313164,70.8626356395743,85.243072700906,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc2a1",0.00219502273248815,1.68173395338103e-05,1262,519,5.39816270151775,1.09861228866811,0,4.29955041284964,73.6666666666666,1193,1332,218.651946643381,206.697125471912,230.780026092697,TRUE,TRUE,TRUE,FALSE,TRUE
"Abcg2",0.000713352147796208,1.21182444414201e-06,410,37,4.27666611901606,0,0,4.27666611901606,72,371,450,71.0358939174216,64.2788210813742,77.9662250313164,TRUE,TRUE,TRUE,FALSE,TRUE
"Nostrin",0.0006909244992891,6.50668665085352e-07,412,20,4.24849524204936,0,0,4.24849524204936,70,373,452,71.3824104731164,64.625337637069,78.3127415870112,TRUE,TRUE,TRUE,FALSE,TRUE
"Ltbp4",0.000665171953957346,1.45651121324416e-06,397,45,4.21950770517611,0,0,4.21950770517611,68,358,437,68.7835363054058,62.0264634693584,75.7138674193006,TRUE,TRUE,TRUE,FALSE,TRUE
"Kdr",0.000661378382488151,4.3240043278765e-07,372,26,4.20469261939097,0,0,4.20469261939097,67,335,410,64.4520793592216,58.0415230788689,71.0358939174216,TRUE,TRUE,TRUE,FALSE,TRUE
"Sema3c",0.000664200788720379,8.62865474549908e-07,403,34,4.20469261939097,0,0,4.20469261939097,67,364,443,69.82308597249,63.0660131364426,76.7534170863848,TRUE,TRUE,TRUE,FALSE,TRUE
"Pglyrp1",0.000651575344597156,1.92152901971459e-07,361,8,4.18965474202643,0,0,4.18965474202643,66,324,399,62.5462383029005,56.1356820225478,69.1300528611006,TRUE,TRUE,TRUE,FALSE,TRUE
