"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Gabra6",0.00132718356357648,5.32148697730865e-05,22927,357,4.89783979995091,1.79175946922805,0,3.10608033072286,22.3333333333333,22631,23224,137.761382048238,135.9828079179,139.545964874964,TRUE,TRUE,TRUE,FALSE,TRUE
"Cbln3",0.00137328932145282,7.12853429810732e-05,23775,488,4.92725368515721,2.07944154167984,0,2.84781214347737,17.25,23473,24077,142.856756583804,141.042130275147,144.67138289246,TRUE,TRUE,TRUE,FALSE,TRUE
"Rbfox3",0.00210499505238432,0.000119345034603161,36316,818,5.35185813347607,2.56494935746154,0,2.78690877601453,16.2307692307692,35943,36690,218.211817964139,215.970574212057,220.459070412608,TRUE,TRUE,TRUE,FALSE,TRUE
"Chn2",0.00207476502476442,0.000120805480200083,36220,928,5.33753807970132,2.56494935746154,0,2.77258872223978,16,35848,36593,217.634983111057,215.399748055361,219.876226863139,TRUE,TRUE,TRUE,FALSE,TRUE
"Cbln1",0.000944398902351032,5.41324010954659e-05,16156,393,4.55387689160054,1.79175946922805,0,2.76211742237249,15.8333333333333,15907,16405,97.0764988167375,95.5803334165538,98.5726642169212,TRUE,TRUE,TRUE,FALSE,TRUE
"Gm2694",0.000727797349600581,3.79806523396422e-05,12261,286,4.30406509320417,1.6094379124341,0,2.69462718077007,14.8,12045,12478,73.6726263921774,72.3747479727409,74.9765135080001,TRUE,TRUE,TRUE,FALSE,TRUE
"Neurod1",0.00287339038317284,0.000186975317665973,49735,1255,5.66296048013595,2.99573227355399,0,2.66722820658196,14.4,49299,50172,298.842514771629,296.222723147211,301.468315092433,TRUE,TRUE,TRUE,FALSE,TRUE
"Crtam",0.000502104382545589,3.44908014089018e-05,8773,233,3.93182563272433,1.38629436111989,0,2.54553127160444,12.75,8590,8957,52.7142933968332,51.614701958144,53.8198935319087,TRUE,TRUE,TRUE,FALSE,TRUE
"Grm4",0.000366946558621254,2.19070832743344e-05,6348,147,3.63758615972639,1.09861228866811,0,2.53897387105828,12.6666666666667,6192,6505,38.1432046601046,37.2058480238449,39.0865699927505,TRUE,TRUE,TRUE,FALSE,TRUE
"Nrn1",0.000366927046510243,2.25938806270799e-05,6318,191,3.63758615972639,1.09861228866811,0,2.53897387105828,12.6666666666667,6163,6474,37.9629437685162,37.0315958286428,38.9003004047758,TRUE,TRUE,TRUE,FALSE,TRUE
"Nrep",0.00219463544307954,0.000174019332355241,37222,1192,5.39362754635236,2.89037175789616,0,2.5032557884562,12.2222222222222,36845,37600,223.655696890109,221.390418352482,225.926984124123,TRUE,TRUE,TRUE,FALSE,TRUE
