"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"C1qb",0.00641393198921875,1.39330990412272e-06,423,39,6.46458830368996,0,0,6.46458830368996,642,383,464,671.503182893337,608.004063943613,736.589779816805,TRUE,TRUE,TRUE,FALSE,TRUE
"Ctss",0.0062289405046875,1.82541199501438e-06,386,52,6.43615036836943,0,0,6.43615036836943,624,348,425,612.766497864842,552.442334862604,674.678138840824,TRUE,TRUE,TRUE,FALSE,TRUE
"C1qc",0.005575655313125,1.13554707651007e-06,379,32,6.3261494731551,0,0,6.3261494731551,559,341,418,601.65415204864,541.329989046402,663.565793024622,TRUE,TRUE,TRUE,FALSE,TRUE
"C1qa",0.00530892510171875,1.00606672099712e-06,341,30,6.27664348934164,0,0,6.27664348934164,532,305,378,541.329989046402,484.18078199165,600.066674074897,TRUE,TRUE,TRUE,FALSE,TRUE
"Cx3cr1",0.003215085255625,1.36518251466922e-06,187,45,5.77765232322266,0,0,5.77765232322266,323,161,214,296.858381089962,255.583953772641,339.720286381026,TRUE,TRUE,TRUE,FALSE,TRUE
"Csf1r",0.0027771932996875,1.59806212694151e-06,175,37,5.63121178182137,0,0,5.63121178182137,279,150,201,277.808645405045,238.121696061467,319.083072722366,TRUE,TRUE,TRUE,FALSE,TRUE
"Tyrobp",0.002395496908125,4.80219824736337e-07,155,13,5.48479693349065,0,0,5.48479693349065,241,131,180,246.059085930183,207.959614560348,285.746035273761,TRUE,TRUE,TRUE,FALSE,TRUE
"Hexb",0.00691659217796875,1.80363043011697e-05,411,615,6.5410299991899,1.09861228866811,0,5.44241771052179,231,372,451,652.45344720842,590.541806232439,715.952566158145,TRUE,TRUE,TRUE,FALSE,TRUE
"Laptm5",0.001851243768125,3.96942733652924e-07,111,11,5.2257466737132,0,1.53741626521143e-273,5.2257466737132,186,91,132,176.210055085486,144.460495610623,209.547092534091,TRUE,TRUE,TRUE,FALSE,TRUE
"Siglech",0.0018482179540625,4.7385528168744e-07,106,14,5.2257466737132,0,6.80301370669933e-258,5.2257466737132,186,86,127,168.27266521677,136.523105741908,201.609702665376,TRUE,TRUE,TRUE,FALSE,TRUE
"Fcer1g",0.0016333944828125,4.91394724487057e-07,114,14,5.0998664278242,0,3.12088091093568e-278,5.0998664278242,164,94,135,180.972489006715,149.222929531853,214.30952645532,TRUE,TRUE,TRUE,FALSE,TRUE
"Trem2",0.00157729314109375,1.27017610738255e-07,103,3,5.06890420222023,0,1.22133738834841e-262,5.06890420222023,159,84,123,163.510231295541,133.348149794422,195.259790770403,TRUE,TRUE,TRUE,FALSE,TRUE
"Lyz2",0.00139114073109375,2.39381241802493e-07,118,6,4.9416424226093,0,3.43635985482871e-297,4.9416424226093,140,97,140,187.322400901688,153.985363453082,222.246916324036,TRUE,TRUE,TRUE,FALSE,TRUE
"Fcrls",0.00134765531828125,1.92817469990412e-07,91,5,4.91265488573605,0,5.18834103182335e-229,4.91265488573605,136,73,110,144.460495610623,115.885892083247,174.622577111743,TRUE,TRUE,TRUE,FALSE,TRUE
