"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Slc1a3",0.0145492351323362,7.94988834525167e-05,42404,1917,7.28344822875663,2.19722457733622,0,5.08622365142041,161.777777777778,42004,42805,1522.94291011246,1508.57687945392,1537.34485584766,TRUE,TRUE,TRUE,FALSE,TRUE
"Gdf10",0.00151715918169516,2.96602869031736e-06,4281,73,5.03043792139244,0,0,5.03043792139244,153,4153,4410,153.752443123089,149.155313312354,158.38548801047,TRUE,TRUE,TRUE,FALSE,TRUE
"Gpr37l1",0.00543952027479345,5.04396320694967e-05,16196,1448,6.30078579466324,1.79175946922805,0,4.50902632543519,90.8333333333333,15948,16445,581.680581364529,572.77364235623,590.623435449474,TRUE,TRUE,TRUE,FALSE,TRUE
"Id4",0.00171104195417379,1.47894434087326e-05,4990,473,5.14749447681345,0.693147180559945,0,4.45434729625351,86,4852,5129,179.216232465362,174.259951888163,184.208428119206,TRUE,TRUE,TRUE,FALSE,TRUE
"Timp4",0.00236550434054131,1.98302000232464e-05,6919,478,5.47227067367148,1.09861228866811,0,4.37365838500337,79.3333333333333,6757,7082,248.4964153162,242.678172899489,254.350572809557,TRUE,TRUE,TRUE,FALSE,TRUE
"Ppap2b",0.00457766521497863,4.60476609148979e-05,12870,1265,6.12905021006055,1.79175946922805,0,4.33729074083249,76.5,12649,13092,462.227036438718,454.289804499872,470.200183454211,TRUE,TRUE,TRUE,FALSE,TRUE
"Tlcd1",0.000721486194957264,3.82970456114817e-06,2184,98,4.29045944114839,0,0,4.29045944114839,73,2093,2276,78.4385273956613,75.1702554208421,81.7427144471269,TRUE,TRUE,TRUE,FALSE,TRUE
"Fabp7",0.00287762501032051,2.62461740377603e-05,8521,658,5.66642668811243,1.38629436111989,0,4.28013232699254,72.25,8341,8702,306.032368103677,299.567654307331,312.532996976669,TRUE,TRUE,TRUE,FALSE,TRUE
"Cacng5",0.000693141636002849,2.94488230661007e-06,2023,78,4.24849524204936,0,0,4.24849524204936,70,1935,2112,72.6562000555965,69.4956733107164,75.852641877123,TRUE,TRUE,TRUE,FALSE,TRUE
"Fam107a",0.00200973290299145,1.81122261570244e-05,5773,461,5.30826769740121,1.09861228866811,0,4.2096554087331,67.3333333333333,5625,5922,207.337737479466,202.022306135804,212.689083899774,TRUE,TRUE,TRUE,FALSE,TRUE
"Gria1",0.00180979881039174,2.47992810859106e-05,5029,806,5.2040066870768,1.09861228866811,0,4.10539439840869,60.6666666666666,4891,5168,180.61692045457,175.660639877372,185.609116108415,TRUE,TRUE,TRUE,FALSE,TRUE
"Npy",0.00118230401984331,6.79291733858904e-06,3519,170,4.77912349311153,0.693147180559945,0,4.08597631255158,59.5,3403,3636,126.385154718559,122.21900582758,130.587218686183,TRUE,TRUE,TRUE,FALSE,TRUE
"Pla2g7",0.00556226587718661,9.24880519503132e-05,16182,2424,6.32256523992728,2.30258509299405,0,4.01998014693324,55.7,15934,16431,581.17777029148,572.270831283181,590.120624376424,TRUE,TRUE,TRUE,FALSE,TRUE
"Acsbg1",0.00157724208502137,2.39995484552254e-05,4583,612,5.06890420222023,1.09861228866811,0,3.97029191355212,53,4451,4716,164.598796270291,159.858006152971,169.375501464258,TRUE,TRUE,TRUE,FALSE,TRUE
"Lcat",0.00104760434002137,1.17659389262179e-05,3065,296,4.66343909411207,0.693147180559945,0,3.97029191355212,53,2957,3174,110.079709921109,106.200881643302,113.994453275563,TRUE,TRUE,TRUE,FALSE,TRUE
