"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Agt",0.00319570141745399,2.21729373761283e-05,1081,1008,5.77144112313002,1.09861228866811,0,4.67282883446191,107,1017,1146,326.57031684269,307.23590400464,346.206829881335,TRUE,TRUE,TRUE,FALSE,TRUE
"Hhatl",0.000629953607177914,3.02386996606361e-06,208,205,4.15888308335967,0,1.04237943656502e-268,4.15888308335967,64,180,237,62.8368417236629,54.378036107016,71.5977475409044,TRUE,TRUE,TRUE,FALSE,TRUE
"Aqp4",0.00901571029828221,0.000140733989476233,3153,6877,6.80572255341699,2.70805020110221,0,4.09767235231478,60.2,3044,3263,952.521932474563,919.593010609759,985.752954539962,TRUE,TRUE,TRUE,FALSE,TRUE
"Cd38",0.000528772259233129,1.66058346763259e-06,167,51,3.98898404656427,0,1.33339421147104e-263,3.98898404656427,54,142,193,50.450733499287,42.8982284844237,58.3053387147449,TRUE,TRUE,TRUE,FALSE,TRUE
"Cd44",0.000427916676993865,2.97693251384961e-06,136,134,3.78418963391826,0,2.38176879950696e-176,3.78418963391826,44,114,159,41.0856272808565,34.4394228677768,48.0339318945308,TRUE,TRUE,TRUE,FALSE,TRUE
"Gja1",0.0039228871304908,9.03676783527681e-05,1333,4707,5.97380961186926,2.30258509299405,0,3.67122451887522,39.3,1262,1405,402.699567392513,381.250453150301,424.450781835319,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc38a3",0.00109409416055215,1.62058966315422e-05,374,732,4.70048036579242,1.09861228866811,0,3.60186807712431,36.6666666666667,337,412,112.985475022355,101.807767600358,124.465282644948,TRUE,TRUE,TRUE,FALSE,TRUE
"Hsd11b1",0.00166955642092025,4.35523098318677e-05,531,2170,5.12396397940326,1.6094379124341,0,3.51452606696916,33.6,486,577,160.415206515697,146.820697488943,174.311815743046,TRUE,TRUE,TRUE,FALSE,TRUE
"Bcan",0.00125983900236196,2.78638745603766e-05,439,1078,4.84418708645859,1.38629436111989,0,3.4578927253387,31.75,398,481,132.621988061,120.235879836624,145.31019648597,TRUE,TRUE,TRUE,FALSE,TRUE
"Gjb6",0.000867117487791411,1.85858314407469e-05,290,909,4.47733681447821,1.09861228866811,7.40384945190074e-263,3.3787245258101,29.3333333333333,257,324,87.6090581724146,77.639751552795,97.8804649926287,TRUE,TRUE,TRUE,FALSE,TRUE
"Cyp26b1",0.000277415696319018,1.26673580986325e-06,95,46,3.36729582998647,0,1.85381894875146e-141,3.36729582998647,29,76,115,28.6995190564807,22.9596152451845,34.7415230683713,TRUE,TRUE,TRUE,FALSE,TRUE
