"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Ttr",0.139442615497,5.42957827452182e-05,38025,1252,9.54287630006159,1.79175946922805,0,7.75111683083353,2324.16666666667,37683,38368,19564.0094257108,19388.0491042488,19740.4842510367,TRUE,TRUE,TRUE,FALSE,TRUE
"Enpp2",0.0212225896266,6.86436512793514e-05,5819,3155,7.66058546170326,2.07944154167984,0,5.58114392002342,265.375,5672,5967,2993.89798417386,2918.26591617703,3070.04455603462,TRUE,TRUE,TRUE,FALSE,TRUE
"Ccdc153",0.0021777855046,1.22301722181762e-07,266,3,5.3890717298165,0,0,5.3890717298165,219,235,298,136.858027803789,120.908408022144,153.322151449357,TRUE,TRUE,TRUE,FALSE,TRUE
"1500015O10Rik",0.004004610854,7.9511806021695e-06,1027,300,5.99396142730657,0.693147180559945,0,5.30081424674662,200.5,965,1090,528.395468249966,496.496228686677,560.80921167718,TRUE,TRUE,TRUE,FALSE,TRUE
"Gm973",0.0013990942204,2.7489493859481e-06,155,72,4.94875989037817,0,7.12064171990002e-267,4.94875989037817,141,131,180,79.7480989082228,67.4000061740464,92.6106955063233,TRUE,TRUE,TRUE,FALSE,TRUE
"Rsph1",0.00129572220068,3.90591549618613e-07,150,13,4.87519732320115,0,9.66363359714936e-298,4.87519732320115,131,126,174,77.1755795886027,64.8274868544263,89.5236723227791,TRUE,TRUE,TRUE,FALSE,TRUE
"Mia",0.0011756651034,2.00283909923723e-06,161,56,4.77912349311153,0,3.46920324996929e-287,4.77912349311153,119,137,186,82.8351220917669,70.4870293575905,95.6977186898674,TRUE,TRUE,TRUE,FALSE,TRUE
"Tmem212",0.0011132927114,4.92677756909042e-08,138,1,4.71849887129509,0,4.74122318756543e-289,4.71849887129509,112,115,161,71.0015332215145,59.1679443512621,82.8351220917669,TRUE,TRUE,TRUE,FALSE,TRUE
"Enkur",0.0010377445584,4.87879613630266e-07,115,14,4.65396035015752,0,1.54725091717232e-224,4.65396035015752,105,94,136,59.1679443512621,48.3633632088577,69.9725254936665,TRUE,TRUE,TRUE,FALSE,TRUE
"Dynlrb2",0.000944344829,7.81779169381732e-07,125,25,4.55387689160054,0,1.27445756974046e-235,4.55387689160054,95,104,147,64.3129829905022,53.5084018480979,75.6320679968307,TRUE,TRUE,TRUE,FALSE,TRUE
