"","MGI.symbol","HGNC.symbol","NCBI.gene..formerly.Entrezgene..ID","NCBI.gene..formerly.Entrezgene..description"
"1","Tmsb4x","TMSB4Y",9087,"thymosin beta 4 Y-linked"
"2","Cst3","CST3",1471,"cystatin C"
"3","Bmp7","BMP7",655,"bone morphogenetic protein 7"
"4","Fbln1","FBLN1",2192,"fibulin 1"
"5","Tspo","TSPO",706,"translocator protein"
"6","Dstn","DSTN",11034,"destrin, actin depolymerizing factor"
"7","Syn3","SYN3",8224,"synapsin III"
"8","Itih2","ITIH2",3698,"inter-alpha-trypsin inhibitor heavy chain 2"
"9","Rock1","ROCK1",6093,"Rho associated coiled-coil containing protein kinase 1"
"10","Il13ra2","IL13RA2",3598,"interleukin 13 receptor subunit alpha 2"
"11","Msx1","MSX1",4487,"msh homeobox 1"
"12","Sh3bgrl","SH3BGRL",6451,"SH3 domain binding glutamate rich protein like"
"13","Colec12","COLEC12",81035,"collectin subfamily member 12"
"14","Lgals1","LGALS1",3956,"galectin 1"
"15","Slc19a1","SLC19A1",6573,"solute carrier family 19 member 1"
"16","Edn3","EDN3",1908,"endothelin 3"
"17","Fermt2","FERMT2",10979,"FERM domain containing kindlin 2"
"18","Itih5","ITIH5",80760,"inter-alpha-trypsin inhibitor heavy chain 5"
"19","Rhoj","RHOJ",57381,"ras homolog family member J"
"20","Smtn","SMTN",6525,"smoothelin"
"21","Pln","PLN",5350,"phospholamban"
"22","Foxs1","FOXS1",2307,"forkhead box S1"
"23","Anxa1","ANXA1",301,"annexin A1"
"24","Igfbp4","IGFBP4",3487,"insulin like growth factor binding protein 4"
"25","Aldh1a2","ALDH1A2",8854,"aldehyde dehydrogenase 1 family member A2"
"26","Ddit4l","DDIT4L",115265,"DNA damage inducible transcript 4 like"
"27","Cspg4","CSPG4",1464,"chondroitin sulfate proteoglycan 4"
"28","Npy1r","NPY1R",4886,"neuropeptide Y receptor Y1"
"29","Nrp1","NRP1",8829,"neuropilin 1"
"30","Pfn1","PFN1",5216,"profilin 1"
"31","Slc7a11","SLC7A11",23657,"solute carrier family 7 member 11"
"32","Fibin","FIBIN",387758,"fin bud initiation factor homolog"
"33","Pdlim1","PDLIM1",9124,"PDZ and LIM domain 1"
"34","Prss23","PRSS23",11098,"serine protease 23"
"35","Naalad2","NAALAD2",10003,"N-acetylated alpha-linked acidic dipeptidase 2"
"36","Igf2","IGF2",3481,"insulin like growth factor 2"
"37","Bgn","BGN",633,"biglycan"
"38","Slc6a13","SLC6A13",6540,"solute carrier family 6 member 13"
"39","S1pr3","S1PR3",286223,"chromosome 9 open reading frame 47"
"40","S1pr3","S1PR3",1903,"sphingosine-1-phosphate receptor 3"
"41","Pdgfra","PDGFRA",5156,"platelet derived growth factor receptor alpha"
"42","Foxc1","FOXC1",2296,"forkhead box C1"
"43","Myl9","MYL9",10398,"myosin light chain 9"
"44","Bicc1","BICC1",80114,"BicC family RNA binding protein 1"
"45","Angptl2","ANGPTL2",23452,"angiopoietin like 2"
"46","Cox4i2","COX4I2",84701,"cytochrome c oxidase subunit 4I2"
"47","Tpm2","TPM2",7169,"tropomyosin 2"
