"","MGI.symbol","HGNC.symbol","NCBI.gene..formerly.Entrezgene..ID","NCBI.gene..formerly.Entrezgene..description"
"1","Gabra3","GABRA3",2556,"gamma-aminobutyric acid type A receptor subunit alpha3"
"2","Reps2","REPS2",9185,"RALBP1 associated Eps domain containing 2"
"3","Pvalb","PVALB",5816,"parvalbumin"
"4","Plekhd1","PLEKHD1",400224,"pleckstrin homology and coiled-coil domain containing D1"
"5","Rab27b","RAB27B",5874,"RAB27B, member RAS oncogene family"
"6","Fam217b","FAM217B",63939,"family with sequence similarity 217 member B"
"7","Tbc1d4","TBC1D4",9882,"TBC1 domain family member 4"
"8","Ppargc1a","PPARGC1A",10891,"PPARG coactivator 1 alpha"
"9","Dach1","DACH1",1602,"dachshund family transcription factor 1"
"10","Vstm2l","VSTM2L",128434,"V-set and transmembrane domain containing 2 like"
"11","Adarb2","ADARB2",105,"adenosine deaminase RNA specific B2 (inactive)"
"12","Impact","IMPACT",55364,"impact RWD domain protein"
"13","Ttc39b","TTC39B",158219,"tetratricopeptide repeat domain 39B"
"14","Gpr12","GPR12",2835,"G protein-coupled receptor 12"
"15","Plcb1","PLCB1",23236,"phospholipase C beta 1"
"16","Dscam","DSCAM",1826,"DS cell adhesion molecule"
"17","Hunk","HUNK",30811,"hormonally up-regulated Neu-associated kinase"
"18","Pfkl","PFKL",5211,"phosphofructokinase, liver type"
"19","Mapk4","MAPK4",5596,"mitogen-activated protein kinase 4"
"20","Syt7","SYT7",9066,"synaptotagmin 7"
"21","Elmod1","ELMOD1",55531,"ELMO domain containing 1"
"22","Trpm2","TRPM2",7226,"transient receptor potential cation channel subfamily M member 2"
"23","Gfod1","GFOD1",54438,"glucose-fructose oxidoreductase domain containing 1"
"24","Nefh","NEFH",4744,"neurofilament heavy chain"
"25","Etl4","KIAA1217",56243,"KIAA1217"
"26","Parm1","PARM1",25849,"prostate androgen-regulated mucin-like protein 1"
"27","Arhgef17","ARHGEF17",9828,"Rho guanine nucleotide exchange factor 17"
"28","Tfap2b","TFAP2B",7021,"transcription factor AP-2 beta"
"29","Ar","AR",367,"androgen receptor"
"30","Pak3","PAK3",5063,"p21 (RAC1) activated kinase 3"
"31","Arl4a","ARL4A",10124,"ADP ribosylation factor like GTPase 4A"
"32","Nrsn1","NRSN1",140767,"neurensin 1"
"33","Iqsec3","IQSEC3",440073,"IQ motif and Sec7 domain ArfGEF 3"
"34","Tmem151b","TMEM151B",441151,"transmembrane protein 151B"
"35","Frmd3","FRMD3",257019,"FERM domain containing 3"
"36","Skor1","SKOR1",390598,"SKI family transcriptional corepressor 1"
"37","Myo16","MYO16",23026,"myosin XVI"
"38","Il22","IL22",50616,"interleukin 22"
"39","Nalcn","NALCN",259232,"sodium leak channel, non-selective"
"40","Prmt8","PRMT8",56341,"protein arginine methyltransferase 8"
"41","Maged1","MAGED1",9500,"MAGE family member D1"
"42","Prdm8","PRDM8",56978,"PR/SET domain 8"
"43","Nf2","NF2",4771,"neurofibromin 2"
"44","Dclk2","DCLK2",166614,"doublecortin like kinase 2"
"45","Proser2","PROSER2",254427,"proline and serine rich 2"
"46","Slc24a3","SLC24A3",57419,"solute carrier family 24 member 3"
"47","Slc38a1","SLC38A1",81539,"solute carrier family 38 member 1"
"48","Gnal","GNAL",2774,"G protein subunit alpha L"
"49","Chst1","CHST1",8534,"carbohydrate sulfotransferase 1"
"50","Grin3a","GRIN3A",116443,"glutamate ionotropic receptor NMDA type subunit 3A"
"51","Hecw1","HECW1",23072,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
"52","Brsk2","BRSK2",9024,"BR serine/threonine kinase 2"
"53","Glce","GLCE",26035,"glucuronic acid epimerase"
"54","Snph","SNPH",9751,"syntaphilin"
"55","Grid1","GRID1",2894,"glutamate ionotropic receptor delta type subunit 1"
"56","Gad2","GAD2",2572,"glutamate decarboxylase 2"
"57","Osbpl1a","OSBPL1A",114876,"oxysterol binding protein like 1A"
"58","Pitpnm3","PITPNM3",83394,"PITPNM family member 3"
"59","Galnt18","GALNT18",374378,"polypeptide N-acetylgalactosaminyltransferase 18"
"60","Dusp15","DUSP15",128853,"dual specificity phosphatase 15"
"61","Nrsn2","NRSN2",80023,"neurensin 2"
"62","Lrrn3","LRRN3",54674,"leucine rich repeat neuronal 3"
"63","Cidea","CIDEA",1149,"cell death inducing DFFA like effector a"
"64","Bcat1","BCAT1",586,"branched chain amino acid transaminase 1"
"65","Gria3","GRIA3",2892,"glutamate ionotropic receptor AMPA type subunit 3"
"66","Nacc2","NACC2",138151,"NACC family member 2"
"67","Nxph1","NXPH1",30010,"neurexophilin 1"
"68","Cacng2","CACNG2",10369,"calcium voltage-gated channel auxiliary subunit gamma 2"
"69","Timp3","TIMP3",7078,"TIMP metallopeptidase inhibitor 3"
"70","Trpc5","TRPC5",7224,"transient receptor potential cation channel subfamily C member 5"
"71","Tuba8","TUBA8",51807,"tubulin alpha 8"
"72","Tfap2a","TFAP2A",7020,"transcription factor AP-2 alpha"
"73","Mdga2","MDGA2",161357,"MAM domain containing glycosylphosphatidylinositol anchor 2"
"74","Atxn2","ATXN2",6311,"ataxin 2"
"75","Kcnq3","KCNQ3",3786,"potassium voltage-gated channel subfamily Q member 3"
"76","Grm8","GRM8",2918,"glutamate metabotropic receptor 8"
"77","Nog","NOG",9241,"noggin"
"78","Gdpd5","GDPD5",81544,"glycerophosphodiester phosphodiesterase domain containing 5"
"79","Nefl","NEFL",4747,"neurofilament light chain"
"80","Ptpn4","PTPN4",5775,"protein tyrosine phosphatase non-receptor type 4"
"81","Sbk1","SBK1",388228,"SH3 domain binding kinase 1"
"82","Clec2l","CLEC2L",154790,"C-type lectin domain family 2 member L"
"83","Sorcs3","SORCS3",22986,"sortilin related VPS10 domain containing receptor 3"
"84","Unc5c","UNC5C",8633,"unc-5 netrin receptor C"
"85","Spock3","SPOCK3",50859,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3"
"86","Ajap1","AJAP1",55966,"adherens junctions associated protein 1"
"87","AI593442","C11orf87",399947,"chromosome 11 open reading frame 87"
"88","Penk","PENK",5179,"proenkephalin"
"89","Fstl4","FSTL4",23105,"follistatin like 4"
"90","Grik3","GRIK3",2899,"glutamate ionotropic receptor kainate type subunit 3"
"91","Chd5","CHD5",26038,"chromodomain helicase DNA binding protein 5"
"92","Btbd11","BTBD11",121551,"BTB domain containing 11"
"93","Ret","RET",5979,"ret proto-oncogene"
"94","Rab3c","RAB3C",115827,"RAB3C, member RAS oncogene family"
"95","Adamts2","ADAMTS2",9509,"ADAM metallopeptidase with thrombospondin type 1 motif 2"
"96","Ttll7","TTLL7",79739,"tubulin tyrosine ligase like 7"
"97","Ccne1","CCNE1",898,"cyclin E1"
"98","Zfp462","ZNF462",58499,"zinc finger protein 462"
"99","Cebpb","CEBPB",1051,"CCAAT enhancer binding protein beta"
"100","Plcxd2","PLCXD2",257068,"phosphatidylinositol specific phospholipase C X domain containing 2"
"101","Rgs7bp","RGS7BP",401190,"regulator of G protein signaling 7 binding protein"
"102","Lsm11","LSM11",134353,"LSM11, U7 small nuclear RNA associated"
"103","Osbpl5","OSBPL5",114879,"oxysterol binding protein like 5"
"104","Vcan","VCAN",1462,"versican"
"105","Whrn","WHRN",25861,"whirlin"
"106","Cdkl1","CDKL1",8814,"cyclin dependent kinase like 1"
"107","Sox11","SOX11",6664,"SRY-box transcription factor 11"
"108","Rab3b","RAB3B",5865,"RAB3B, member RAS oncogene family"
"109","Slc32a1","SLC32A1",140679,"solute carrier family 32 member 1"
"110","Sla","SLA",6503,"Src like adaptor"
"111","Prkca","PRKCA",5578,"protein kinase C alpha"
"112","C1qtnf4","C1QTNF4",114900,"C1q and TNF related 4"
"113","Kcnma1","KCNMA1",3778,"potassium calcium-activated channel subfamily M alpha 1"
"114","Cx3cl1","CX3CL1",6376,"C-X3-C motif chemokine ligand 1"
"115","Slc36a1","SLC36A1",206358,"solute carrier family 36 member 1"
"116","Xkr4","XKR4",114786,"XK related 4"
"117","Sntg1","SNTG1",54212,"syntrophin gamma 1"
"118","Gtf3c1","GTF3C1",2975,"general transcription factor IIIC subunit 1"
"119","Clstn3","CLSTN3",9746,"calsyntenin 3"
"120","Pax2","PAX2",5076,"paired box 2"
"121","Slc6a1","SLC6A1",6529,"solute carrier family 6 member 1"
"122","Sema3e","SEMA3E",9723,"semaphorin 3E"
"123","Abca5","ABCA5",23461,"ATP binding cassette subfamily A member 5"
"124","Tnni3","TNNI3",7137,"troponin I3, cardiac type"
"125","Bhlhe22","BHLHE22",27319,"basic helix-loop-helix family member e22"
"126","Il4ra","IL4R",3566,"interleukin 4 receptor"
"127","Vldlr","VLDLR",7436,"very low density lipoprotein receptor"
"128","Lsamp","LSAMP",4045,"limbic system associated membrane protein"
"129","Cux2","CUX2",23316,"cut like homeobox 2"
"130","Grm1","GRM1",2911,"glutamate metabotropic receptor 1"
"131","Lrrn1","LRRN1",57633,"leucine rich repeat neuronal 1"
"132","Arhgef26","ARHGEF26",26084,"Rho guanine nucleotide exchange factor 26"
"133","Gabra1","GABRA1",2554,"gamma-aminobutyric acid type A receptor subunit alpha1"
"134","Arl4c","ARL4C",10123,"ADP ribosylation factor like GTPase 4C"
"135","Slc12a5","SLC12A5",57468,"solute carrier family 12 member 5"
"136","Lifr","LIFR",3977,"LIF receptor subunit alpha"
"137","Cotl1","COTL1",23406,"coactosin like F-actin binding protein 1"
"138","Hipk2","HIPK2",28996,"homeodomain interacting protein kinase 2"
"139","Rora","RORA",6095,"RAR related orphan receptor A"
"140","Lmo4","LMO4",8543,"LIM domain only 4"
"141","Ptprk","PTPRK",5796,"protein tyrosine phosphatase receptor type K"
"142","Hapln4","HAPLN4",404037,"hyaluronan and proteoglycan link protein 4"
"143","Ptpre","PTPRE",5791,"protein tyrosine phosphatase receptor type E"
"144","Hcn1","HCN1",348980,"hyperpolarization activated cyclic nucleotide gated potassium channel 1"
"145","Ankrd34b","ANKRD34B",340120,"ankyrin repeat domain 34B"
"146","Lrrc38","LRRC38",126755,"leucine rich repeat containing 38"
"147","Atp1a3","ATP1A3",478,"ATPase Na+/K+ transporting subunit alpha 3"
"148","Psd2","PSD2",84249,"pleckstrin and Sec7 domain containing 2"
"149","Sgtb","SGTB",54557,"small glutamine rich tetratricopeptide repeat co-chaperone beta"
"150","Ppm1l","PPM1L",151742,"protein phosphatase, Mg2+/Mn2+ dependent 1L"
"151","Ncs1","NCS1",23413,"neuronal calcium sensor 1"
"152","Tmem132e","TMEM132E",124842,"transmembrane protein 132E"
"153","Megf9","MEGF9",1955,"multiple EGF like domains 9"
"154","Slc4a10","SLC4A10",57282,"solute carrier family 4 member 10"
"155","Zfp365","ZNF365",22891,"zinc finger protein 365"
"156","Dner","DNER",92737,"delta/notch like EGF repeat containing"
"157","Fat3","FAT3",120114,"FAT atypical cadherin 3"
"158","Cntn4","CNTN4",152330,"contactin 4"
"159","Trim9","TRIM9",114088,"tripartite motif containing 9"
"160","Sema4g","SEMA4G",57715,"semaphorin 4G"
"161","Gpr162","GPR162",27239,"G protein-coupled receptor 162"
"162","B3gat1","B3GAT1",27087,"beta-1,3-glucuronyltransferase 1"
"163","Dzip3","DZIP3",9666,"DAZ interacting zinc finger protein 3"
"164","Sipa1l3","SIPA1L3",23094,"signal induced proliferation associated 1 like 3"
"165","Clmp","CLMP",79827,"CXADR like membrane protein"
"166","Gprasp2","GPRASP2",100528062,"ARMCX5-GPRASP2 readthrough"
"167","Gprasp2","GPRASP2",114928,"G protein-coupled receptor associated sorting protein 2"
"168","Csrnp3","CSRNP3",80034,"cysteine and serine rich nuclear protein 3"
"169","Unc80","UNC80",285175,"unc-80 homolog, NALCN channel complex subunit"
"170","Arl4d","ARL4D",379,"ADP ribosylation factor like GTPase 4D"
"171","Cacna2d3","CACNA2D3",55799,"calcium voltage-gated channel auxiliary subunit alpha2delta 3"
"172","Kirrel3","KIRREL3",84623,"kirre like nephrin family adhesion molecule 3"
"173","Nln","NLN",57486,"neurolysin"
"174","Pde4a","PDE4A",5141,"phosphodiesterase 4A"
"175","Slc4a8","SLC4A8",9498,"solute carrier family 4 member 8"
"176","Mgat5","MGAT5",4249,"alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase"
"177","Slc6a7","SLC6A7",6534,"solute carrier family 6 member 7"
"178","Megf10","MEGF10",84466,"multiple EGF like domains 10"
"179","Iqsec1","IQSEC1",9922,"IQ motif and Sec7 domain ArfGEF 1"
"180","Socs2","SOCS2",8835,"suppressor of cytokine signaling 2"
"181","Msi1","MSI1",4440,"musashi RNA binding protein 1"
"182","Rbfox2","RBFOX2",23543,"RNA binding fox-1 homolog 2"
"183","Asap1","ASAP1",50807,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1"
"184","Lamb1","LAMB1",3912,"laminin subunit beta 1"
"185","Plxnc1","PLXNC1",10154,"plexin C1"
"186","Flrt2","FLRT2",23768,"fibronectin leucine rich transmembrane protein 2"
"187","Frmpd4","FRMPD4",9758,"FERM and PDZ domain containing 4"
"188","Nwd2","NWD2",57495,"NACHT and WD repeat domain containing 2"
"189","Dnajc27","DNAJC27",51277,"DnaJ heat shock protein family (Hsp40) member C27"
"190","Nos1ap","NOS1AP",9722,"nitric oxide synthase 1 adaptor protein"
