"","MGI.symbol","HGNC.symbol","NCBI.gene..formerly.Entrezgene..ID","NCBI.gene..formerly.Entrezgene..description"
"1","Impact","IMPACT",55364,"impact RWD domain protein"
"2","Glra2","GLRA2",2742,"glycine receptor alpha 2"
"3","Uchl1","UCHL1",7345,"ubiquitin C-terminal hydrolase L1"
"4","Cbln2","CBLN2",147381,"cerebellin 2 precursor"
"5","Rgs6","RGS6",9628,"regulator of G protein signaling 6"
"6","Meis2","MEIS2",4212,"Meis homeobox 2"
"7","Zcchc12","ZCCHC18",644353,"zinc finger CCHC-type containing 18"
"8","Pak3","PAK3",5063,"p21 (RAC1) activated kinase 3"
"9","C1ql3","C1QL3",389941,"complement C1q like 3"
"10","Tcf7l2","TCF7L2",6934,"transcription factor 7 like 2"
"11","Gad2","GAD2",2572,"glutamate decarboxylase 2"
"12","Cdyl","CDYL",9425,"chromodomain Y like"
"13","Ap1s2","AP1S2",8905,"adaptor related protein complex 1 subunit sigma 2"
"14","Tfap2b","TFAP2B",7021,"transcription factor AP-2 beta"
"15","Elmod1","ELMOD1",55531,"ELMO domain containing 1"
"16","Adcy2","ADCY2",108,"adenylate cyclase 2"
"17","Nrsn1","NRSN1",140767,"neurensin 1"
"18","Elavl2","ELAVL2",1993,"ELAV like RNA binding protein 2"
"19","Chst1","CHST1",8534,"carbohydrate sulfotransferase 1"
"20","Pcdh7","PCDH7",5099,"protocadherin 7"
"21","Hs3st4","HS3ST4",9951,"heparan sulfate-glucosamine 3-sulfotransferase 4"
"22","Tmem179","TMEM179",388021,"transmembrane protein 179"
"23","Nrsn2","NRSN2",80023,"neurensin 2"
"24","Pde2a","PDE2A",5138,"phosphodiesterase 2A"
"25","Adcyap1","ADCYAP1",116,"adenylate cyclase activating polypeptide 1"
"26","Zcchc12","ZCCHC12",170261,"zinc finger CCHC-type containing 12"
"27","Gprasp2","GPRASP2",100528062,"ARMCX5-GPRASP2 readthrough"
"28","Gprasp2","GPRASP2",114928,"G protein-coupled receptor associated sorting protein 2"
"29","Nrgn","NRGN",4900,"neurogranin"
"30","Hs3st2","HS3ST2",9956,"heparan sulfate-glucosamine 3-sulfotransferase 2"
"31","Gria2","GRIA2",2891,"glutamate ionotropic receptor AMPA type subunit 2"
"32","Arg1","ARG1",383,"arginase 1"
"33","Scg2","SCG2",7857,"secretogranin II"
"34","Dner","DNER",92737,"delta/notch like EGF repeat containing"
"35","Crim1","CRIM1",51232,"cysteine rich transmembrane BMP regulator 1"
"36","Eomes","EOMES",8320,"eomesodermin"
"37","Dgkb","DGKB",1607,"diacylglycerol kinase beta"
"38","Tpbg","TPBG",7162,"trophoblast glycoprotein"
"39","Kcnma1","KCNMA1",3778,"potassium calcium-activated channel subfamily M alpha 1"
"40","Rab3b","RAB3B",5865,"RAB3B, member RAS oncogene family"
"41","Basp1","BASP1",10409,"brain abundant membrane attached signal protein 1"
"42","Hapln1","HAPLN1",1404,"hyaluronan and proteoglycan link protein 1"
"43","Nrg1","NRG1",3084,"neuregulin 1"
"44","Penk","PENK",5179,"proenkephalin"
"45","Nefl","NEFL",4747,"neurofilament light chain"
"46","Lypd1","LYPD1",116372,"LY6/PLAUR domain containing 1"
"47","Rgs7bp","RGS7BP",401190,"regulator of G protein signaling 7 binding protein"
"48","Chd5","CHD5",26038,"chromodomain helicase DNA binding protein 5"
"49","Edil3","EDIL3",10085,"EGF like repeats and discoidin domains 3"
"50","Lgi2","LGI2",55203,"leucine rich repeat LGI family member 2"
"51","Caly","CALY",50632,"calcyon neuron specific vesicular protein"
"52","Samd3","SAMD3",154075,"sterile alpha motif domain containing 3"
"53","Mgat5","MGAT5",4249,"alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase"
"54","Tmem130","TMEM130",222865,"transmembrane protein 130"
"55","Ahi1","AHI1",54806,"Abelson helper integration site 1"
"56","Slc6a5","SLC6A5",9152,"solute carrier family 6 member 5"
"57","Trpc3","TRPC3",7222,"transient receptor potential cation channel subfamily C member 3"
"58","Snca","SNCA",6622,"synuclein alpha"
"59","Slc17a6","SLC17A6",57084,"solute carrier family 17 member 6"
"60","Khdrbs3","KHDRBS3",10656,"KH RNA binding domain containing, signal transduction associated 3"
"61","Tenm4","TENM4",26011,"teneurin transmembrane protein 4"
"62","Nxph4","NXPH4",11247,"neurexophilin 4"
"63","Pax2","PAX2",5076,"paired box 2"
"64","Ache","ACHE",43,"acetylcholinesterase (Cartwright blood group)"
"65","AI593442","C11orf87",399947,"chromosome 11 open reading frame 87"
"66","Nsg2","NSG2",51617,"neuronal vesicle trafficking associated 2"
"67","Rbms3","RBMS3",27303,"RNA binding motif single stranded interacting protein 3"
"68","Syt5","SYT5",6861,"synaptotagmin 5"
"69","Kcnip2","KCNIP2",30819,"potassium voltage-gated channel interacting protein 2"
"70","Lmx1a","LMX1A",4009,"LIM homeobox transcription factor 1 alpha"
"71","Ly6h","LY6H",4062,"lymphocyte antigen 6 family member H"
"72","Cdh13","CDH13",1012,"cadherin 13"
"73","Sst","SST",6750,"somatostatin"
"74","Grm2","GRM2",2912,"glutamate metabotropic receptor 2"
"75","Ndrg4","NDRG4",65009,"NDRG family member 4"
"76","Grm5","GRM5",2915,"glutamate metabotropic receptor 5"
"77","Ntng1","NTNG1",22854,"netrin G1"
"78","Elmo1","ELMO1",9844,"engulfment and cell motility 1"
"79","Slc24a2","SLC24A2",25769,"solute carrier family 24 member 2"
"80","Cmip","CMIP",80790,"c-Maf inducing protein"
"81","Dclk3","DCLK3",85443,"doublecortin like kinase 3"
"82","Scn3a","SCN3A",6328,"sodium voltage-gated channel alpha subunit 3"
"83","Rasgrp1","RASGRP1",10125,"RAS guanyl releasing protein 1"
"84","Neurod6","NEUROD6",63974,"neuronal differentiation 6"
"85","Shox2","SHOX2",6474,"short stature homeobox 2"
"86","Vgf","VGF",7425,"VGF nerve growth factor inducible"
"87","Rcan2","RCAN2",10231,"regulator of calcineurin 2"
"88","Cacng3","CACNG3",10368,"calcium voltage-gated channel auxiliary subunit gamma 3"
"89","Abat","ABAT",18,"4-aminobutyrate aminotransferase"
"90","Lrrtm1","LRRTM1",347730,"leucine rich repeat transmembrane neuronal 1"
"91","Hpca","HPCA",3208,"hippocalcin"
"92","6330403K07Rik","",728392,"uncharacterized LOC728392"
"93","Gad1","GAD1",2571,"glutamate decarboxylase 1"
"94","Foxp2","FOXP2",93986,"forkhead box P2"
"95","Timp2","TIMP2",7077,"TIMP metallopeptidase inhibitor 2"
"96","Cygb","CYGB",114757,"cytoglobin"
"97","Resp18","RESP18",389075,"regulated endocrine specific protein 18"
