,0
0,#004529
1,#004629
2,#00472a
3,#00482a
4,#004a2b
5,#004c2c
6,#004d2c
7,#004f2d
8,#00502d
9,#00512e
10,#00522e
11,#00542f
12,#005530
13,#005730
14,#005931
15,#005a31
16,#005b32
17,#005c32
18,#005e33
19,#005f34
20,#006034
21,#006335
22,#006435
23,#006536
24,#006636
25,#006837
26,#016937
27,#026a38
28,#056c39
29,#066d39
30,#076d39
31,#086e3a
32,#0a703a
33,#0b713b
34,#0c723b
35,#0e743c
36,#10743c
37,#11753d
38,#12763d
39,#14783e
40,#15793e
41,#167a3f
42,#187b3f
43,#197c40
44,#1a7d40
45,#1c7e40
46,#1e8041
47,#1f8142
48,#208242
49,#228343
50,#238443
51,#248644
52,#258745
53,#278946
54,#288a47
55,#298c48
56,#2b8e4a
57,#2c8f4b
58,#2d914b
59,#2e924c
60,#2f944e
61,#30954f
62,#31974f
63,#339951
64,#349a52
65,#359c53
66,#369d54
67,#389f55
68,#39a056
69,#3aa257
70,#3ca458
71,#3da559
72,#3ea75a
73,#3fa85b
74,#40aa5c
75,#42ab5d
76,#43ac5e
77,#47ae60
78,#49af61
79,#4ab062
80,#4cb063
81,#4fb264
82,#51b365
83,#53b466
84,#56b568
85,#58b669
86,#5ab76a
87,#5cb86b
88,#5fba6c
89,#61bb6d
90,#62bb6e
91,#66bd70
92,#68be71
93,#69bf72
94,#6bc072
95,#6fc174
96,#70c275
97,#72c376
98,#75c578
99,#77c679
100,#79c679
101,#7ac77a
102,#7ec97b
103,#7fc97c
104,#81ca7d
105,#84cb7e
106,#86cc7f
107,#88cd7f
108,#89ce80
109,#8dcf81
110,#8ed082
111,#90d083
112,#93d284
113,#95d385
114,#97d385
115,#98d486
116,#9cd687
117,#9dd688
118,#9fd788
119,#a2d88a
120,#a4d98a
121,#a6da8b
122,#a7db8c
123,#abdc8d
124,#acdd8e
125,#aedd8e
126,#b1df90
127,#b2df90
128,#b3e091
129,#b5e092
130,#b8e293
131,#b9e294
132,#bae394
133,#bde496
134,#bee596
135,#c0e597
136,#c1e698
137,#c4e799
138,#c5e89a
139,#c7e89a
140,#c9e99c
141,#cbea9c
142,#ccea9d
143,#ceeb9e
144,#d0ec9f
145,#d2eda0
146,#d3eda0
147,#d6efa2
148,#d7efa2
149,#d9f0a3
150,#daf0a4
151,#dcf1a5
152,#ddf1a6
153,#ddf2a6
154,#dff3a8
155,#e0f3a8
156,#e1f3a9
157,#e2f4aa
158,#e4f4ab
159,#e5f5ac
160,#e6f5ac
161,#e8f6ae
162,#e9f6af
163,#eaf7af
164,#ebf7b0
165,#edf8b1
166,#edf8b2
167,#eef9b3
168,#f0f9b4
169,#f1fab5
170,#f2fab5
171,#f3fab6
172,#f5fbb8
173,#f6fcb8
174,#f7fcb9
175,#f7fcbc
176,#f8fcbd
177,#f8fcbe
178,#f8fcc0
179,#f9fdc2
180,#f9fdc4
181,#f9fdc5
182,#fafdc8
183,#fafdc9
184,#fafdcb
185,#fafdcc
186,#fbfdcf
187,#fbfed0
188,#fbfed2
189,#fcfed4
190,#fcfed6
191,#fcfed7
192,#fdfed9
193,#fdfedb
194,#fdfedd
195,#feffde
196,#feffe1
197,#feffe2
198,#ffffe4
199,#ffffe5
