"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1 Phosphatidylinositol 3 Kinase Regulator Activity",-0.8,0.614583333333333,0.542613636363636,-0.875,0.53125,0.459558823529412,0.875,0.65,-0.599431818181818,-0.71875,0.639705882352941,0.78125,-0.71875,-0.34375,-0.761029411764706,0.65,-0.760416666666667,-0.400735294117647,0.684027777777778,0.664402173913043
"Actin Binding",-0.625,-0.78125,-0.96875,-0.8125,-0.9375,-0.8125,-1,-1.03125,-0.53125,-0.53125,-0.59375,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.625,-0.53125,-0.53125
"Actin Filament Based Process",-0.625,-0.78125,-0.96875,-0.8125,-0.9375,-0.8125,-1,-1.03125,-0.53125,-0.53125,-0.59375,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.625,-0.53125,-0.53125
"Actin Filament Binding",-0.625,-0.78125,-0.96875,-0.8125,-0.9375,-0.8125,-1,-1.03125,-0.53125,-0.53125,-0.59375,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.625,-0.53125,-0.53125
"Actin Filament Organization",-0.625,-0.78125,-0.96875,-0.8125,-0.9375,-0.8125,-1,-1.03125,-0.53125,-0.53125,-0.59375,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.625,-0.53125,-0.53125
"Actin Filament Polymerization",-0.625,-0.78125,-0.96875,-0.8125,-0.9375,-0.8125,-1,-1.03125,-0.53125,-0.53125,-0.59375,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.625,-0.53125,-0.53125
"Actin Polymerization Or Depolymerization",-0.625,-0.78125,-0.96875,-0.8125,-0.9375,-0.8125,-1,-1.03125,-0.53125,-0.53125,-0.59375,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.625,-0.53125,-0.53125
"Adaptation Of Signaling Pathway",0.5625,0.6875,0.8125,0.84375,0.664402173913043,0.44375,0.40625,0.40625,0.625,0.84375,-0.8125,-0.761029411764706,-0.420454545454545,-0.4375,-0.6875,-0.772916666666667,-0.732142857142857,0.700892857142857,-0.6875,-0.727272727272727
"Adaptive Immune Response",-0.571428571428571,0.700892857142857,-0.55,-0.625,-0.870833333333333,0.6875,-0.68125,-0.46875,-0.71875,-0.629464285714286,0.440217391304348,0.392857142857143,0.6875,-0.75,-0.456018518518519,-0.338815789473684,0.607638888888889,-0.650568181818182,0.90625,0.90625
"Adenyl Nucleotide Binding",0.75,0.6875,0.597222222222222,0.84375,0.423611111111111,-0.78125,0.65625,-0.625,0.40625,0.75,-0.68125,0.64375,0.369485294117647,0.5625,-0.6875,0.53125,-0.798076923076923,-0.46875,-0.9375,-0.71875
"Adenylate Cyclase Activating G Protein Coupled Receptor Signaling Pathway",0.78125,-0.40625,-0.675,-0.375,-0.758223684210526,0.520474137931034,-0.551724137931034,-0.475,-0.71875,0.65625,0.542613636363636,-0.625,0.60875,-0.525297619047619,0.96875,-0.504464285714286,-0.40625,-0.577083333333333,-0.798076923076923,-0.479166666666667
"Adenylate Cyclase Modulating G Protein Coupled Receptor Signaling Pathway",0.78125,-0.40625,-0.675,-0.375,-0.758223684210526,0.520474137931034,-0.551724137931034,-0.475,-0.71875,0.65625,0.542613636363636,-0.625,0.60875,-0.525297619047619,0.96875,-0.504464285714286,-0.40625,-0.577083333333333,-0.798076923076923,-0.479166666666667
"Alpha Beta T Cell Activation",0.515151515151515,-0.772916666666667,-0.78125,-0.798076923076923,-0.5,-0.396739130434783,-0.5,-0.90625,-0.53125,0.598214285714286,0.78125,0.71875,-0.4375,-0.59375,0.502083333333333,0.442307692307692,-0.5,0.71875,0.729779411764706,0.60875
"Alpha Beta T Cell Differentiation",0.515151515151515,-0.772916666666667,-0.78125,-0.798076923076923,-0.5,-0.396739130434783,-0.5,-0.90625,-0.53125,0.598214285714286,0.78125,0.71875,-0.4375,-0.59375,0.502083333333333,0.442307692307692,-0.5,0.71875,0.729779411764706,0.60875
"Behavior",-0.496527777777778,-0.34375,-0.56875,0.454741379310345,0.857638888888889,0.71875,-0.625,0.53125,-0.8,-0.8125,-0.46875,-0.573863636363636,-0.541666666666667,-0.375,-0.6875,0.473214285714286,0.894736842105263,0.875,0.5,-0.8
"Biological Adhesion",-0.333333333333333,0.449353448275862,0.308355437665782,-0.571551724137931,-0.406693711967546,-0.35632183908046,-0.4,-0.275862068965517,-0.664870689655172,-0.573891625615764,0.607078039927405,0.447648902821317,-0.506136762127411,0.565047021943574,0.288177339901478,0.557809330628803,-0.301477832512315,-0.339781328847771,0.511034482758621,0.470443349753695
"Bone Development",0.96875,-0.6875,-0.8125,-0.5625,-0.851102941176471,-0.90625,-1,-0.90625,-0.4375,0.65625,0.78125,0.625,0.810855263157895,0.607638888888889,0.96875,0.639705882352941,-0.40625,0.607142857142857,0.53125,-0.424107142857143
"Catalytic Complex",-0.32,-0.4,-0.371473354231975,0.375773651635721,-0.331370899915896,0.550593555681176,-0.4,0.298850574712644,0.241379310344828,-0.498922413793104,0.555088309503785,-0.340425531914894,0.337610264635124,-0.310344827586207,-0.591466978375219,0.468298109010011,0.368376787216148,-0.27439471753485,0.32657200811359,0.436105476673428
"Cd4 Positive Alpha Beta T Cell Activation",0.515151515151515,-0.772916666666667,-0.78125,-0.798076923076923,-0.5,-0.396739130434783,-0.5,-0.90625,-0.53125,0.598214285714286,0.78125,0.71875,-0.4375,-0.59375,0.502083333333333,0.442307692307692,-0.5,0.71875,0.729779411764706,0.60875
"Cd4 Positive Alpha Beta T Cell Differentiation",0.515151515151515,-0.772916666666667,-0.78125,-0.798076923076923,-0.5,-0.396739130434783,-0.5,-0.90625,-0.53125,0.598214285714286,0.78125,0.71875,-0.4375,-0.59375,0.502083333333333,0.442307692307692,-0.5,0.71875,0.729779411764706,0.60875
"Cell Activation",0.52692075015124,0.305298570227082,-0.330140485312899,-0.323607427055703,-0.394088669950739,-0.477947072975141,-0.421052631578948,-0.571551724137931,-0.482758620689655,0.244916003536693,0.575712143928036,0.36105476673428,-0.469496021220159,0.413793103448276,0.561671087533157,0.337568058076225,-0.517241379310345,0.34,-0.421052631578948,0.36551724137931
"Cell Activation Involved In Immune Response",0.515151515151515,-0.772916666666667,-0.78125,-0.798076923076923,-0.5,-0.396739130434783,-0.5,-0.90625,-0.53125,0.598214285714286,0.78125,0.71875,-0.4375,-0.59375,0.502083333333333,0.442307692307692,-0.5,0.71875,0.729779411764706,0.60875
"Cell Cell Adhesion",-0.457142857142857,0.362428842504744,-0.362428842504744,-0.64516129032258,-0.757215619694397,-0.343010752688172,-0.5,-0.416422287390029,-0.630824372759856,-0.522273425499232,0.774193548387097,0.645161290322581,0.412186379928315,0.344086021505376,0.404233870967742,0.730715287517532,-0.526209677419354,-0.588709677419355,0.640067911714771,0.539170506912442
"Cell Cell Signaling",0.381962864721485,-0.512687052700065,-0.492063492063492,0.362068965517241,-0.620689655172414,-0.531347962382445,-0.449137931034483,0.432237369687249,0.532258064516129,-0.379310344827586,0.7505502567865,0.26043557168784,-0.379310344827586,0.453905700211119,-0.339214113873296,0.655172413793103,-0.352176370830978,0.470443349753695,0.421812349639134,-0.331370899915896
"Cell Cycle",0.390967741935484,-0.387096774193548,0.535483870967742,0.654978962131837,0.709677419354839,0.452725250278087,0.580645161290323,0.53125,0.543010752688172,0.701935483870968,-0.620967741935483,-0.374193548387097,-0.689303904923599,-0.799999999999999,0.463225806451613,-0.709677419354838,-0.71774193548387,0.467741935483871,-0.413082437275985,-0.440860215053763
"Cell Cycle Process",0.741666666666667,0.59375,-0.375,0.75,0.84375,-0.526785714285714,0.572916666666667,0.739130434782609,0.446022727272727,0.75,-0.798076923076923,0.389204545454545,-0.75,-0.625,-0.599431818181818,-0.78125,-0.90625,0.857638888888889,-0.78125,-0.78125
"Cell Growth",-0.59375,-0.4375,-0.71875,-0.573863636363636,0.700892857142857,0.625,-0.75,0.944444444444444,-0.666666666666667,0.584134615384615,0.493055555555556,-0.368055555555556,-0.490808823529412,-0.375,0.53125,0.5625,0.53125,0.96875,0.391447368421053,-0.625
"Cell Junction Assembly",-0.3125,-0.59375,0.484879032258065,0.548387096774194,-0.46875,0.40625,-0.581730769230769,-0.5,-0.5,-0.65625,0.8125,0.75,0.65625,-0.375,-0.875,0.770833333333333,0.566666666666667,0.726973684210526,0.459558823529412,-0.758223684210526
"Cell Junction Organization",-0.3125,-0.59375,0.484879032258065,0.548387096774194,-0.46875,0.40625,-0.581730769230769,-0.5,-0.5,-0.65625,0.8125,0.75,0.65625,-0.375,-0.875,0.770833333333333,0.566666666666667,0.726973684210526,0.459558823529412,-0.758223684210526
"Cell Migration",0.772727272727273,-0.447916666666667,0.3625,0.65,0.78125,-0.798076923076923,0.65625,-0.802083333333333,0.46875,0.71875,0.35,-0.650568181818182,-0.71875,0.5625,0.76875,-0.65625,-0.6875,0.772727272727273,-0.842105263157895,-0.625
"Cell Projection Organization",-0.375,0.423611111111111,-0.545673076923077,-0.546195652173913,0.78125,0.5625,-0.4375,0.53125,-0.941176470588235,-0.400735294117647,0.651785714285714,-0.620923913043478,-0.590460526315789,0.65625,0.59375,0.514423076923077,0.68,0.6875,-0.592592592592593,-0.40625
"Cellular Lipid Metabolic Process",-0.8,0.614583333333333,0.542613636363636,-0.875,0.53125,0.459558823529412,0.875,0.65,-0.599431818181818,-0.71875,0.639705882352941,0.78125,-0.71875,-0.34375,-0.761029411764706,0.65,-0.760416666666667,-0.400735294117647,0.684027777777778,0.664402173913043
"Cellular Macromolecule Localization",0.525,-0.375,-0.71875,-0.456018518518519,0.658653846153846,-0.400735294117647,0.489583333333333,-0.544642857142857,-0.842105263157895,-0.368055555555556,0.875,0.75,-0.34375,0.625,-0.78125,0.9375,0.944444444444444,0.819852941176471,-0.545673076923077,-0.416666666666667
"Cellular Protein Catabolic Process",-0.615384615384615,0.604414261460102,0.403225806451613,-0.502546689303905,0.635673624288425,0.662239089184061,0.685483870967742,0.735732009925559,-0.483870967741935,-0.64516129032258,0.520967741935484,-0.390243902439024,-0.71774193548387,-0.354838709677419,-0.876832844574779,0.43424317617866,-0.362519201228879,-0.359237536656891,0.421744324970131,0.560334528076464
"Cellular Response To Dna Damage Stimulus",0.875,-0.42625,-0.599431818181818,0.46875,-0.8125,-0.541666666666667,-0.78125,-0.851102941176471,-0.4375,-0.34375,-0.338815789473684,0.34375,0.770833333333333,-0.870833333333333,0.90625,-0.65625,0.34375,0.53125,0.5625,0.465909090909091
"Cellular Response To Endogenous Stimulus",0.556878306878307,-0.309006211180124,-0.457589285714286,-0.464285714285714,0.528571428571429,-0.392857142857143,-0.524131274131274,-0.551393728222996,-0.587662337662337,-0.332066869300912,0.419047619047619,-0.455811138014528,-0.44047619047619,0.51578073089701,0.623860182370821,0.545009784735812,0.417173252279635,0.552521008403361,0.331232492997199,-0.333333333333333
"Cellular Response To Organic Cyclic Compound",0.96875,-0.6875,-0.8125,-0.5625,-0.851102941176471,-0.90625,-1,-0.90625,-0.4375,0.65625,0.78125,0.625,0.810855263157895,0.607638888888889,0.96875,0.639705882352941,-0.40625,0.607142857142857,0.53125,-0.424107142857143
"Cellular Response To Stress",0.497101449275362,-0.591869918699187,-0.42051282051282,-0.280459770114942,-0.6,-0.522222222222222,-0.756521739130435,-0.421212121212121,0.485714285714286,-0.212643678160919,0.413725490196078,-0.266666666666667,0.450574712643678,-0.735416666666667,0.607407407407407,-0.266666666666667,-0.3,0.433333333333333,0.763218390804598,0.574418604651163
"Central Nervous System Development",0.568181818181818,0.59375,0.40625,0.65625,0.625,0.76875,0.525,0.75,0.71875,0.8125,-0.78125,-0.84375,-0.8125,-0.670955882352941,0.894736842105263,-0.8125,-0.71875,0.76875,-0.78125,-0.84375
"Centrosome",-0.400201612903226,-0.592592592592592,0.560483870967742,0.838709677419355,0.709677419354839,0.679073614557486,0.663594470046083,-0.741935483870967,0.566820276497696,0.32258064516129,-0.451612903225806,0.3841642228739,-0.32258064516129,-0.806451612903225,-0.394686907020873,-0.677419354838709,0.729646697388633,-0.402150537634408,-0.408918406072106,0.274193548387097
"Chemokine Production",0.515151515151515,-0.772916666666667,-0.78125,-0.798076923076923,-0.5,-0.396739130434783,-0.5,-0.90625,-0.53125,0.598214285714286,0.78125,0.71875,-0.4375,-0.59375,0.502083333333333,0.442307692307692,-0.5,0.71875,0.729779411764706,0.60875
