"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"1 Phosphatidylinositol 3 Kinase Regulator Activity",-0.8,-0.65625,0.625,-0.4375,0.766826923076923,-0.625,-0.456018518518519,-0.71875,0.65625,-0.4375,0.3125,-0.420454545454545,0.589673913043478,0.5625,-0.8125,0.76875,0.65625,-0.68125,-0.78125,-0.65625,0.6875,-0.674342105263158,0.75,-0.420454545454545,-0.71875,0.5625,0.625,-0.645833333333333,0.444711538461538,-0.551724137931034,-0.46875,0.549632352941177,0.625,-0.8,-0.870833333333333,0.51875,0.9375,0.75,0.96875,0.514945652173913
"Actin Binding",-0.6875,-0.53125,-0.90625,-0.53125,-0.53125,-1.03125,-0.78125,-0.75,-0.90625,-0.9375,-0.59375,-0.84375,-1,-0.53125,-0.875,-1.03125,-0.65625,-0.53125,-0.53125,-0.53125,-0.75,-0.53125,-0.65625,-0.5625,-0.53125,-0.53125,-0.53125,-0.875,-0.53125,-0.53125,-0.6875,-0.53125,-0.78125,-0.53125,-0.53125,-0.90625,-0.53125,-0.65625,-0.53125,-0.53125
"Actin Filament Based Process",-0.6875,-0.53125,-0.90625,-0.53125,-0.53125,-1.03125,-0.78125,-0.75,-0.90625,-0.9375,-0.59375,-0.84375,-1,-0.53125,-0.875,-1.03125,-0.65625,-0.53125,-0.53125,-0.53125,-0.75,-0.53125,-0.65625,-0.5625,-0.53125,-0.53125,-0.53125,-0.875,-0.53125,-0.53125,-0.6875,-0.53125,-0.78125,-0.53125,-0.53125,-0.90625,-0.53125,-0.65625,-0.53125,-0.53125
"Actin Filament Binding",-0.6875,-0.53125,-0.90625,-0.53125,-0.53125,-1.03125,-0.78125,-0.75,-0.90625,-0.9375,-0.59375,-0.84375,-1,-0.53125,-0.875,-1.03125,-0.65625,-0.53125,-0.53125,-0.53125,-0.75,-0.53125,-0.65625,-0.5625,-0.53125,-0.53125,-0.53125,-0.875,-0.53125,-0.53125,-0.6875,-0.53125,-0.78125,-0.53125,-0.53125,-0.90625,-0.53125,-0.65625,-0.53125,-0.53125
"Actin Filament Organization",-0.6875,-0.53125,-0.90625,-0.53125,-0.53125,-1.03125,-0.78125,-0.75,-0.90625,-0.9375,-0.59375,-0.84375,-1,-0.53125,-0.875,-1.03125,-0.65625,-0.53125,-0.53125,-0.53125,-0.75,-0.53125,-0.65625,-0.5625,-0.53125,-0.53125,-0.53125,-0.875,-0.53125,-0.53125,-0.6875,-0.53125,-0.78125,-0.53125,-0.53125,-0.90625,-0.53125,-0.65625,-0.53125,-0.53125
"Actin Filament Polymerization",-0.6875,-0.53125,-0.90625,-0.53125,-0.53125,-1.03125,-0.78125,-0.75,-0.90625,-0.9375,-0.59375,-0.84375,-1,-0.53125,-0.875,-1.03125,-0.65625,-0.53125,-0.53125,-0.53125,-0.75,-0.53125,-0.65625,-0.5625,-0.53125,-0.53125,-0.53125,-0.875,-0.53125,-0.53125,-0.6875,-0.53125,-0.78125,-0.53125,-0.53125,-0.90625,-0.53125,-0.65625,-0.53125,-0.53125
"Actin Polymerization Or Depolymerization",-0.6875,-0.53125,-0.90625,-0.53125,-0.53125,-1.03125,-0.78125,-0.75,-0.90625,-0.9375,-0.59375,-0.84375,-1,-0.53125,-0.875,-1.03125,-0.65625,-0.53125,-0.53125,-0.53125,-0.75,-0.53125,-0.65625,-0.5625,-0.53125,-0.53125,-0.53125,-0.875,-0.53125,-0.53125,-0.6875,-0.53125,-0.78125,-0.53125,-0.53125,-0.90625,-0.53125,-0.65625,-0.53125,-0.53125
"Adaptation Of Signaling Pathway",0.75,0.40625,0.75,0.653846153846154,0.96875,0.598214285714286,0.875,0.8125,0.690340909090909,0.68,0.64375,-0.683035714285714,0.75,-0.422697368421053,0.40625,-0.46875,0.423611111111111,0.614583333333333,0.625,0.559210526315789,-0.6875,-0.65625,-0.802083333333333,-0.8125,0.59375,-0.485991379310345,-0.851102941176471,0.65625,0.53125,-0.8125,-0.760416666666667,-0.53125,-0.71875,-0.772916666666667,-0.670955882352941,0.730654761904762,-0.84375,-0.758223684210526,-0.6875,-0.6875
"Adaptive Immune Response",-0.842105263157895,0.46625,0.625,0.559210526315789,-0.721590909090909,-0.446428571428571,-0.6375,-0.68125,-0.479166666666667,-0.75,0.75,0.40625,-0.78125,0.819852941176471,0.586206896551724,-0.40625,0.65625,-0.8125,-0.638888888888889,-0.6875,0.65625,-0.424107142857143,0.446022727272727,0.336805555555556,0.739130434782609,0.4375,0.625,-0.84375,0.8125,-0.592592592592593,0.5625,0.475328947368421,0.59375,-0.375,-0.760416666666667,-0.620923913043478,0.71875,0.875,0.96875,0.78125
"Adenyl Nucleotide Binding",0.71875,0.696022727272727,0.71875,0.8125,0.909926470588235,0.391447368421053,0.9375,0.78125,0.46875,0.494047619047619,-0.675,-0.758223684210526,1,0.446022727272727,-0.5,-0.65625,-0.34375,0.568181818181818,0.6875,0.78125,-0.5625,-0.4375,0.5625,-0.4375,-0.40625,0.729779411764706,-0.772916666666667,0.6875,-0.645833333333333,-0.65625,-0.68125,0.59375,-0.368055555555556,-0.71875,-0.90625,0.625,-0.875,-1,-0.6875,-0.6875
