"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"1 Phosphatidylinositol 3 Kinase Regulator Activity",-0.592592592592593,-0.78125,-0.506578947368421,0.625,-0.6875,0.71875,-0.65625,-0.721590909090909,0.619318181818182,-0.78125,0.5625,0.607638888888889,0.5625,-0.40625,-0.761904761904762,0.684027777777778,0.76875,-0.8125,0.65625,-0.71875,-0.3125,0.6875,0.46875,-0.674342105263158,0.658653846153846,-0.761904761904762,-0.59375,-0.59375,0.729166666666667,0.625,0.6875,-0.870833333333333,0.80952380952381,0.770833333333333,-0.65625,-0.75,-0.375,-0.65625,-0.526785714285714,0.572916666666667,-0.721590909090909,0.76875,-0.761029411764706,-0.56875,0.75,-0.496527777777778,0.40625,-0.629464285714286,0.65625,-0.504464285714286,-0.721590909090909,-0.477272727272727,-0.78125,0.3625,0.6875,0.875,0.71875,0.770833333333333,0.395,0.440217391304348
"Actin Binding",-0.6875,-0.53125,-0.65625,-0.96875,-0.53125,-0.5625,-0.78125,-0.90625,-0.53125,-0.53125,-0.90625,-0.65625,-0.96875,-1,-0.53125,-0.53125,-0.9375,-0.53125,-0.78125,-0.53125,-1.03125,-0.84375,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.6875,-0.53125,-0.53125,-0.78125,-0.53125,-0.53125,-0.53125,-0.875,-0.53125,-0.53125,-0.875,-0.78125,-0.71875,-0.53125,-0.53125,-0.875,-0.65625,-0.53125,-0.53125,-0.65625,-0.53125,-0.875,-0.53125,-0.53125,-0.875,-0.53125,-0.53125,-0.53125,-0.65625,-0.53125,-0.53125
"Actin Filament Based Process",-0.6875,-0.53125,-0.65625,-0.96875,-0.53125,-0.5625,-0.78125,-0.90625,-0.53125,-0.53125,-0.90625,-0.65625,-0.96875,-1,-0.53125,-0.53125,-0.9375,-0.53125,-0.78125,-0.53125,-1.03125,-0.84375,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.6875,-0.53125,-0.53125,-0.78125,-0.53125,-0.53125,-0.53125,-0.875,-0.53125,-0.53125,-0.875,-0.78125,-0.71875,-0.53125,-0.53125,-0.875,-0.65625,-0.53125,-0.53125,-0.65625,-0.53125,-0.875,-0.53125,-0.53125,-0.875,-0.53125,-0.53125,-0.53125,-0.65625,-0.53125,-0.53125
"Actin Filament Binding",-0.6875,-0.53125,-0.65625,-0.96875,-0.53125,-0.5625,-0.78125,-0.90625,-0.53125,-0.53125,-0.90625,-0.65625,-0.96875,-1,-0.53125,-0.53125,-0.9375,-0.53125,-0.78125,-0.53125,-1.03125,-0.84375,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.6875,-0.53125,-0.53125,-0.78125,-0.53125,-0.53125,-0.53125,-0.875,-0.53125,-0.53125,-0.875,-0.78125,-0.71875,-0.53125,-0.53125,-0.875,-0.65625,-0.53125,-0.53125,-0.65625,-0.53125,-0.875,-0.53125,-0.53125,-0.875,-0.53125,-0.53125,-0.53125,-0.65625,-0.53125,-0.53125
"Actin Filament Organization",-0.6875,-0.53125,-0.65625,-0.96875,-0.53125,-0.5625,-0.78125,-0.90625,-0.53125,-0.53125,-0.90625,-0.65625,-0.96875,-1,-0.53125,-0.53125,-0.9375,-0.53125,-0.78125,-0.53125,-1.03125,-0.84375,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.6875,-0.53125,-0.53125,-0.78125,-0.53125,-0.53125,-0.53125,-0.875,-0.53125,-0.53125,-0.875,-0.78125,-0.71875,-0.53125,-0.53125,-0.875,-0.65625,-0.53125,-0.53125,-0.65625,-0.53125,-0.875,-0.53125,-0.53125,-0.875,-0.53125,-0.53125,-0.53125,-0.65625,-0.53125,-0.53125
"Actin Filament Polymerization",-0.6875,-0.53125,-0.65625,-0.96875,-0.53125,-0.5625,-0.78125,-0.90625,-0.53125,-0.53125,-0.90625,-0.65625,-0.96875,-1,-0.53125,-0.53125,-0.9375,-0.53125,-0.78125,-0.53125,-1.03125,-0.84375,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.6875,-0.53125,-0.53125,-0.78125,-0.53125,-0.53125,-0.53125,-0.875,-0.53125,-0.53125,-0.875,-0.78125,-0.71875,-0.53125,-0.53125,-0.875,-0.65625,-0.53125,-0.53125,-0.65625,-0.53125,-0.875,-0.53125,-0.53125,-0.875,-0.53125,-0.53125,-0.53125,-0.65625,-0.53125,-0.53125
"Actin Polymerization Or Depolymerization",-0.6875,-0.53125,-0.65625,-0.96875,-0.53125,-0.5625,-0.78125,-0.90625,-0.53125,-0.53125,-0.90625,-0.65625,-0.96875,-1,-0.53125,-0.53125,-0.9375,-0.53125,-0.78125,-0.53125,-1.03125,-0.84375,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.6875,-0.53125,-0.53125,-0.78125,-0.53125,-0.53125,-0.53125,-0.875,-0.53125,-0.53125,-0.875,-0.78125,-0.71875,-0.53125,-0.53125,-0.875,-0.65625,-0.53125,-0.53125,-0.65625,-0.53125,-0.875,-0.53125,-0.53125,-0.875,-0.53125,-0.53125,-0.53125,-0.65625,-0.53125,-0.53125
"Adaptation Of Signaling Pathway",0.5625,0.78125,0.6875,0.71875,0.909926470588235,-0.28125,1,0.75,0.643092105263158,0.90625,-0.625,0.6875,0.653846153846154,0.909926470588235,0.4375,-0.6875,0.6875,-0.65625,-0.40625,0.5625,0.635416666666667,-0.5625,0.65625,0.684027777777778,-0.5625,0.68,-0.485991379310345,0.6875,-0.8125,-0.65625,-0.761029411764706,-0.34375,-0.615384615384615,-0.870833333333333,-0.59375,0.447916666666667,0.78125,0.424768518518518,-0.851102941176471,0.59375,0.625,-0.573863636363636,0.34375,-0.625,-0.78125,-0.53125,0.336805555555556,-0.40625,-0.71875,-0.65625,-0.420454545454545,-0.721590909090909,-0.497159090909091,0.78125,-0.84375,0.385416666666667,-0.802083333333333,-0.78125,-0.888888888888889,-0.625
"Adaptive Immune Response",-0.888888888888889,0.494047619047619,-0.798076923076923,0.625,-0.53125,0.40625,-0.490808823529412,-0.3125,-0.75,-0.525297619047619,-0.5,-0.59375,-0.638888888888889,-0.6875,-0.65625,0.78125,-0.8,0.514945652173913,0.34375,0.696022727272727,-0.645833333333333,-0.375,0.80952380952381,-0.870833333333333,-0.888888888888889,-0.375,-0.46875,-0.6875,-0.59375,0.53125,-0.695652173913043,0.944444444444444,-0.40625,0.9375,-0.758223684210526,0.664402173913043,0.65625,-0.625,0.684027777777778,-0.75,-0.84375,0.875,0.59375,-0.485991379310345,0.653846153846154,-0.59375,-0.55625,0.59375,0.71875,0.75,-0.84375,-0.4375,-0.8125,-0.396739130434783,0.71875,0.514423076923077,0.819852941176471,0.78125,0.84375,0.741666666666667
"Adenyl Nucleotide Binding",0.53125,0.6875,0.8125,-0.3125,0.8125,-0.338815789473684,0.944444444444444,0.59375,0.597222222222222,0.8125,-0.8125,0.65625,0.307565789473684,-0.5,-0.59375,-0.9375,0.78125,0.639705882352941,0.5625,-0.5,-0.3125,-0.670955882352941,0.6875,-0.40625,-0.5625,0.44375,0.839583333333333,0.65625,0.415178571428571,-0.625,-0.870833333333333,0.84375,0.369485294117647,-0.6875,0.708333333333333,-0.420454545454545,0.8125,0.65625,-0.46875,0.279411764705882,0.80952380952381,-0.90625,-0.3125,-0.625,-0.90625,0.625,0.625,0.5,-0.6875,-0.732142857142857,-0.475,0.440217391304348,-0.772916666666667,0.35,-0.84375,-0.65625,-1,-0.8125,-0.645833333333333,-0.625
"Adenylate Cyclase Activating G Protein Coupled Receptor Signaling Pathway",0.90625,0.475328947368421,-0.761904761904762,-0.4375,0.684027777777778,-0.761904761904762,0.4375,-0.71875,-0.625,0.65625,0.475328947368421,-0.732142857142857,-0.545673076923077,-0.516129032258065,-0.396739130434783,0.4375,-0.506578947368421,-0.650568181818182,0.473214285714286,-0.446428571428571,-0.590460526315789,0.423611111111111,0.336805555555556,-0.5625,-0.6875,-0.604166666666667,0.730654761904762,0.5625,0.729779411764706,-0.842105263157895,0.90625,0.542613636363636,-0.53125,-0.577083333333333,0.71875,0.415178571428571,-0.5,0.96875,-0.571428571428571,0.53125,-0.375,-0.71875,0.78125,0.96875,-0.5,-0.4375,0.549632352941177,-0.6875,-0.581730769230769,0.6875,-0.599431818181818,0.80952380952381,-0.761029411764706,-0.75,-0.772916666666667,-0.473557692307692,-0.65625,-0.625,0.690340909090909,-0.497159090909091
"Adenylate Cyclase Modulating G Protein Coupled Receptor Signaling Pathway",0.90625,0.475328947368421,-0.761904761904762,-0.4375,0.684027777777778,-0.761904761904762,0.4375,-0.71875,-0.625,0.65625,0.475328947368421,-0.732142857142857,-0.545673076923077,-0.516129032258065,-0.396739130434783,0.4375,-0.506578947368421,-0.650568181818182,0.473214285714286,-0.446428571428571,-0.590460526315789,0.423611111111111,0.336805555555556,-0.5625,-0.6875,-0.604166666666667,0.730654761904762,0.5625,0.729779411764706,-0.842105263157895,0.90625,0.542613636363636,-0.53125,-0.577083333333333,0.71875,0.415178571428571,-0.5,0.96875,-0.571428571428571,0.53125,-0.375,-0.71875,0.78125,0.96875,-0.5,-0.4375,0.549632352941177,-0.6875,-0.581730769230769,0.6875,-0.599431818181818,0.80952380952381,-0.761029411764706,-0.75,-0.772916666666667,-0.473557692307692,-0.65625,-0.625,0.690340909090909,-0.497159090909091
