"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Vtn",0.0101735918434025,2.35125605838289e-06,2756,70,6.92559519711047,0,0,6.92559519711047,1018,2654,2859,813.550516291674,783.440881799021,843.955343279353,TRUE,TRUE,TRUE,FALSE,TRUE
"Rgs5",0.0134688614079668,9.42122233840451e-06,3525,233,7.20637729147225,0.693147180559945,0,6.51323011091231,674,3410,3641,1040.55354496667,1006.60640803868,1074.79587438969,TRUE,TRUE,TRUE,FALSE,TRUE
"Acta2",0.00456203897883817,2.0020738609159e-06,1731,61,6.12468339089421,0,0,6.12468339089421,457,1650,1813,510.978208890017,487.067616792911,535.18399348215,TRUE,TRUE,TRUE,FALSE,TRUE
"Igf2",0.00316069466402489,3.40573280361418e-06,1506,293,5.75890177387728,0,0,5.75890177387728,317,1431,1582,444.559897509166,422.420460382215,466.994527131142,TRUE,TRUE,TRUE,FALSE,TRUE
"Myl9",0.00434438365253112,5.29391124951733e-06,1431,225,6.07534603108868,0.693147180559945,0,5.38219885052874,217.5,1357,1505,422.420460382215,400.576215750291,444.26470501414,TRUE,TRUE,TRUE,FALSE,TRUE
"Crip1",0.00408993535634855,1.05346341640281e-05,1393,386,6.01615715969835,0.693147180559945,0,5.32300997913841,205,1320,1466,411.203145571227,389.654093434329,432.752197708125,TRUE,TRUE,TRUE,FALSE,TRUE
"Myh11",0.00196552746004149,6.17335309676423e-07,734,16,5.28826703069454,0,0,5.28826703069454,198,681,788,216.671291349089,201.02608911271,232.611686080493,TRUE,TRUE,TRUE,FALSE,TRUE
"Dcn",0.0019025099339834,1.18070165572631e-06,754,34,5.25227342804663,0,0,5.25227342804663,191,701,808,222.575141249609,206.929939013231,238.515535981013,TRUE,TRUE,TRUE,FALSE,TRUE
"Tagln",0.00188729362278008,9.17570524364816e-07,720,20,5.24702407216049,0,0,5.24702407216049,190,668,773,212.538596418725,197.188586677372,228.183798655103,TRUE,TRUE,TRUE,FALSE,TRUE
"Ptgds",0.0504452965698755,0.000260260764547919,28900,11990,8.526351129201,3.29583686600433,0,5.23051426319667,186.888888888889,28582,29219,8531.06310625159,8437.19189283332,8625.22951216488,TRUE,TRUE,TRUE,FALSE,TRUE
"Tpm2",0.00178222620614108,3.00078757803692e-06,640,181,5.18738580584075,0,0,5.18738580584075,179,591,690,188.923196816644,174.45876456037,203.682821567944,TRUE,TRUE,TRUE,FALSE,TRUE
"Higd1b",0.00136206725456432,4.86617536489304e-07,347,18,4.91998092582813,0,0,4.91998092582813,137,311,384,102.431795774024,91.804865953088,113.353918089986,TRUE,TRUE,TRUE,FALSE,TRUE
"Lmod1",0.00108947065854772,3.22043540041702e-08,398,1,4.70048036579242,0,0,4.70048036579242,110,359,438,117.486613020351,105.974105714336,129.294312821391,TRUE,TRUE,TRUE,FALSE,TRUE
"Mylk",0.00107571907195021,2.04976192138389e-06,384,60,4.69134788222914,0,0,4.69134788222914,109,346,423,113.353918089986,102.136603278998,124.866425396001,TRUE,TRUE,TRUE,FALSE,TRUE
"Rgs4",0.00104021544365145,1.40484240617036e-06,289,51,4.65396035015752,0,0,4.65396035015752,105,256,323,85.3106310625159,75.5692787266577,95.3471758934001,TRUE,TRUE,TRUE,FALSE,TRUE
"Filip1l",0.000998835775394191,1.8329940373774e-06,344,53,4.61512051684126,0,0,4.61512051684126,101,308,381,101.546218288946,90.91928846801,112.468340604908,TRUE,TRUE,TRUE,FALSE,TRUE
"Aebp1",0.000980672943651452,3.56242312726851e-06,540,166,4.59511985013459,0,0,4.59511985013459,99,495,586,159.403947314044,146.120285037873,172.98280208524,TRUE,TRUE,TRUE,FALSE,TRUE
"Mgp",0.00190197568726141,8.45079307398255e-06,526,328,5.25227342804663,0.693147180559945,0,4.55912624748668,95.5,482,571,155.271252383679,142.282782602535,168.55491465985,TRUE,TRUE,TRUE,FALSE,TRUE
"Kcnj8",0.000904238014232365,1.87564274461348e-07,211,7,4.51085950651685,0,0,4.51085950651685,91,183,240,62.2856164504874,54.0202265897592,70.8461988062416,TRUE,TRUE,TRUE,FALSE,TRUE
"Art3",0.000890617667427386,7.91114298787551e-07,206,29,4.49980967033027,0,0,4.49980967033027,90,178,235,60.8096539753573,52.5442641146292,69.3702363311115,TRUE,TRUE,TRUE,FALSE,TRUE
"Igfbp7",0.00731629048834024,7.62145779048575e-05,2091,2719,6.59714570188665,2.19722457733622,0,4.39992112455043,81.4444444444444,2002,2181,617.24750709938,590.975375042065,643.81483165172,TRUE,TRUE,TRUE,FALSE,TRUE
"Apod",0.00945931917294606,0.000114449046861457,4023,5769,6.85329909318608,2.484906649788,0,4.36839244339808,78.9166666666666,3900,4147,1187.55940748962,1151.25073060143,1224.16327687285,TRUE,TRUE,TRUE,FALSE,TRUE
"Casq2",0.000694976099460581,2.14656271943779e-06,168,189,4.24849524204936,0,4.24719972431659e-209,4.24849524204936,70,143,194,49.5923391643691,42.2125267887189,57.2673440350453,TRUE,TRUE,TRUE,FALSE,TRUE
"Ndufa4l2",0.000663945077634855,7.50360315082246e-07,173,21,4.20469261939097,0,2.15195377203681e-295,4.20469261939097,67,148,199,51.0683016394991,43.688489263849,58.7433065101753,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc6a20a",0.000636879528630706,1.98876248165882e-07,285,8,4.17438726989564,0,0,4.17438726989564,65,252,319,84.1298610824118,74.3885087465536,94.1664059132961,TRUE,TRUE,TRUE,FALSE,TRUE
"Aspn",0.000629726171576763,1.9584574214225e-07,176,6,4.15888308335967,0,4.47293933346393e-318,4.15888308335967,64,150,202,51.9538791245771,44.278874253901,59.6288839952533,TRUE,TRUE,TRUE,FALSE,TRUE
"Col1a2",0.00186703255966805,1.98647358137694e-05,774,870,5.23644196282995,1.09861228866811,0,4.13782967416184,62.6666666666667,720,829,228.478991150129,212.538596418725,244.714578376559,TRUE,TRUE,TRUE,FALSE,TRUE
"Cox4i2",0.000605997294232365,4.17285770986177e-07,147,20,4.12713438504509,0,3.1358984397964e-249,4.12713438504509,62,124,171,43.3932967688229,36.6038693832248,50.4779166494471,TRUE,TRUE,TRUE,FALSE,TRUE
"Igfbp2",0.00120669983593361,7.25686307359642e-06,607,706,4.80402104473326,0.693147180559945,0,4.11087386417331,61,559,656,179.181844480786,165.012604719538,193.64627673706,TRUE,TRUE,TRUE,FALSE,TRUE
"Nupr1",0.000600674285892116,2.21418565325508e-06,226,100,4.11087386417331,0,0,4.11087386417331,61,197,256,66.7135038758775,58.1529215201233,75.5692787266577,TRUE,TRUE,TRUE,FALSE,TRUE
"Col3a1",0.00059065714406639,3.08833761294308e-07,248,11,4.0943445622221,0,0,4.0943445622221,60,218,279,73.2077387664496,64.3519639156694,82.3587061122558,TRUE,TRUE,TRUE,FALSE,TRUE
"Pdgfrb",0.000567988972240664,1.51232961348367e-06,150,66,4.06044301054642,0,3.86050807817591e-224,4.06044301054642,58,126,174,44.278874253901,37.1942543732768,51.3634941345251,TRUE,TRUE,TRUE,FALSE,TRUE
"Cspg4",0.00055943683659751,3.39035261024017e-06,140,81,4.04305126783455,0,2.72613986838277e-200,4.04305126783455,57,117,164,41.3269493036409,34.5375219180428,48.4115691842651,TRUE,TRUE,TRUE,FALSE,TRUE
"P2ry14",0.000558837583526971,1.10642462661209e-06,130,32,4.04305126783455,0,2.57271441470343e-209,4.04305126783455,57,108,153,38.3750243533808,31.8807894628087,45.164451738979,TRUE,TRUE,TRUE,FALSE,TRUE
"Sod3",0.0011235187733195,1.0691592307128e-05,299,554,4.72738781871234,0.693147180559945,8.39911597930119e-323,4.0342406381524,56.5,266,333,88.2625560127759,78.5212036769177,98.2991008436602,TRUE,TRUE,TRUE,FALSE,TRUE
"Ifitm1",0.000554572930373444,4.98084286045254e-07,185,14,4.02535169073515,0,0,4.02535169073515,56,159,212,54.6106115798112,46.935606709135,62.5808089455134,TRUE,TRUE,TRUE,FALSE,TRUE
"Ptrf",0.00111099906630705,1.26814579284887e-05,389,483,4.71849887129509,0.693147180559945,0,4.02535169073515,56,351,428,114.829880565117,103.612565754128,126.342387871131,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc7a11",0.000531284590207469,2.3006525249054e-06,215,69,3.98898404656427,0,0,3.98898404656427,54,187,244,63.4663864305914,55.2009965698632,72.0269687863456,TRUE,TRUE,TRUE,FALSE,TRUE
"Sncg",0.000485446290871369,1.2002632402116e-06,171,52,3.91202300542815,0,2.65935420189579e-268,3.91202300542815,50,146,197,50.4779166494471,43.0981042737969,58.1529215201233,TRUE,TRUE,TRUE,FALSE,TRUE
"Bgn",0.000482606161037344,7.45731317476253e-07,157,21,3.89182029811063,0,2.08285963780614e-266,3.89182029811063,49,133,182,46.345221719083,39.2606018384589,53.7250340947332,TRUE,TRUE,TRUE,FALSE,TRUE
"Pcolce",0.000483960048008299,1.13700197891729e-06,184,76,3.89182029811063,0,4.15339512565987e-277,3.89182029811063,49,158,211,54.3154190847852,46.640414214109,62.2856164504874,TRUE,TRUE,TRUE,FALSE,TRUE
"Mustn1",0.000473799178589212,6.56212583597189e-07,170,26,3.87120101090789,0,1.92863326813953e-285,3.87120101090789,48,145,196,50.1827241544211,42.8029117787709,57.8577290250973,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc6a13",0.000466104434190871,2.58209746312457e-07,211,11,3.87120101090789,0,0,3.87120101090789,48,183,240,62.2856164504874,54.0202265897592,70.8461988062416,TRUE,TRUE,TRUE,FALSE,TRUE
"Gm13861",0.000447798159917013,4.05546366514789e-08,125,3,3.8286413964891,0,3.75518047176424e-228,3.8286413964891,46,104,147,36.8990618782508,30.7000194827047,43.3932967688229,TRUE,TRUE,TRUE,FALSE,TRUE
"Rbpms",0.00044981557253112,2.88724867356553e-06,144,112,3.8286413964891,0,7.58429311493664e-195,3.8286413964891,46,121,168,42.5077192837449,35.7182918981468,49.5923391643691,TRUE,TRUE,TRUE,FALSE,TRUE
