"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Car8",0.0136162840387641,5.94817825180848e-05,10702,1332,7.21744343169653,1.94591014905531,0,5.27153328264122,194.714285714286,10501,10904,1437.46323065227,1410.465463005,1464.59531555152,TRUE,TRUE,TRUE,FALSE,TRUE
"Itpr1",0.00919744354831461,6.25920671056584e-05,5366,1569,6.82546003625531,1.94591014905531,0,4.87954988719999,131.571428571429,5223,5510,720.746374105783,701.539007073147,740.088058390396,TRUE,TRUE,TRUE,FALSE,TRUE
"Calb1",0.00653912360005618,4.43002010453758e-05,6092,982,6.48463523563525,1.6094379124341,0,4.87519732320115,131,5940,6245,818.260699040706,797.844476740281,838.811238593107,TRUE,TRUE,TRUE,FALSE,TRUE
"Arhgef33",0.00101772536157303,4.83491343630831e-06,384,134,4.63472898822964,0,0,4.63472898822964,103,346,423,51.5778247589677,46.4737691838615,56.8161975860504,TRUE,TRUE,TRUE,FALSE,TRUE
"Ppp1r17",0.0020333408538764,9.39154357651863e-06,1957,216,5.31811999384422,0.693147180559945,0,4.62497281328427,102,1871,2044,262.858862117968,251.307578447991,274.544463039922,TRUE,TRUE,TRUE,FALSE,TRUE
"Nrk",0.000831983171039326,2.52289965679288e-06,572,57,4.43081679884331,0,0,4.43081679884331,84,526,619,76.8294681305456,70.6508745396276,83.1423789734401,TRUE,TRUE,TRUE,FALSE,TRUE
"Pcp2",0.0116771847346067,0.000126173843027118,5575,2834,7.06390396147207,2.63905732961526,0,4.42484663185681,83.4999999999999,5430,5721,748.818679768867,729.342678232278,768.428998557433,TRUE,TRUE,TRUE,FALSE,TRUE
"Clmn",0.00144037944146067,1.40260962630484e-05,712,528,4.97673374242057,0.693147180559945,0,4.28358656186063,72.5,660,765,95.6338834072526,88.6493863044757,102.752697762006,TRUE,TRUE,TRUE,FALSE,TRUE
"Gng13",0.00575030013314607,7.42178423074996e-05,3370,1659,6.35610766069589,2.07944154167984,0,4.27666611901606,72.0000000000001,3257,3484,452.649139160732,437.47128968739,467.961305886051,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc1a6",0.00125377395325843,1.00386026996649e-05,1246,239,4.83628190695148,0.693147180559945,0,4.14313472639153,63,1177,1316,167.359295962692,158.091405576315,176.761503601046,TRUE,TRUE,TRUE,FALSE,TRUE
"Atp2a3",0.000547814872061798,4.03760496606448e-06,484,98,4.02535169073515,0,0,4.02535169073515,56,441,528,65.0095499566155,59.233908121627,70.9195090435806,TRUE,TRUE,TRUE,FALSE,TRUE
"Nexn",0.00109705515977528,1.08536344878086e-05,1165,345,4.70953020131233,0.693147180559945,0,4.01638302075239,55.5,1099,1232,156.479598552597,147.61465992215,165.478854435021,TRUE,TRUE,TRUE,FALSE,TRUE
"Cck",0.000518338394101124,3.46675003235623e-06,432,89,3.97029191355212,0,0,3.97029191355212,53,392,473,58.0250528538387,52.6523627747795,63.5320601848743,TRUE,TRUE,TRUE,FALSE,TRUE
"Camk2a",0.000495880590264045,2.94409199453026e-06,239,93,3.93182563272433,0,2.08705609844682e-281,3.93182563272433,51,209,270,32.1018232223783,28.072305663084,36.2656580336492,TRUE,TRUE,TRUE,FALSE,TRUE
"Dner",0.00382862625544944,6.55026454903123e-05,3420,2173,5.95064255258773,2.07944154167984,0,3.87120101090789,48,3306,3535,459.365001759556,444.052835034237,474.811485736851,TRUE,TRUE,TRUE,FALSE,TRUE
"Ppp1r16b",0.000934112210477528,1.27806675874581e-05,410,400,4.54329478227,0.693147180559945,0,3.85014760171006,47,371,450,55.0700733103561,49.8317004832735,60.4427633894153,TRUE,TRUE,TRUE,FALSE,TRUE
"Homer3",0.00132204386320225,1.87826404063788e-05,976,617,4.89034912822175,1.09861228866811,0,3.79173683955364,44.3333333333333,915,1038,131.093637929043,122.900285558478,139.421307551585,TRUE,TRUE,TRUE,FALSE,TRUE
"Sycp1",0.000767114230617977,5.10756482839644e-06,806,112,4.35670882668959,0.693147180559945,0,3.66356164612965,39,751,862,108.259705093042,100.872256234335,115.781471203724,TRUE,TRUE,TRUE,FALSE,TRUE
"Pcp4",0.00808988307247191,0.000204706944907246,7006,6198,6.69703424766648,3.04452243772342,0,3.65251180994306,38.5714285714286,6843,7170,941.026667347207,919.132955275041,963.05469667135,TRUE,TRUE,TRUE,FALSE,TRUE
"Itpka",0.000373866612685393,2.65121992719849e-06,300,62,3.63758615972639,0,0,3.63758615972639,38,267,334,40.2951755929435,35.8627062777197,44.8619621601438,TRUE,TRUE,TRUE,FALSE,TRUE
"Rgs8",0.00376060583168539,8.55845650275413e-05,2073,1988,5.93224518744801,2.30258509299405,0,3.62966009445396,37.7,1984,2163,278.43966334724,266.485427921333,290.528216025123,TRUE,TRUE,TRUE,FALSE,TRUE
"RP23-372N19.2",0.000363734958977528,2.09470724394284e-06,194,45,3.61091791264422,0,1.78866128584176e-247,3.61091791264422,37,167,222,26.0575468834368,22.4309810800719,29.8184299387782,TRUE,TRUE,TRUE,FALSE,TRUE
"Icmt",0.00104684634908427,1.97774376834483e-05,834,519,4.66343909411207,1.09861228866811,0,3.56482680544396,35.3333333333333,778,891,112.020588148383,104.4988220377,119.676671511042,TRUE,TRUE,TRUE,FALSE,TRUE
"Trabd2b",0.000331557384078652,1.61639063479835e-06,210,60,3.52636052461616,0,3.63466377733412e-260,3.52636052461616,34,182,239,28.2066229150605,24.4457398597191,32.1018232223783,TRUE,TRUE,TRUE,FALSE,TRUE
"Gm5083",0.000289544111983146,2.72765637070991e-06,258,58,3.40119738166216,0,0,3.40119738166216,30,227,290,34.6538510099314,30.4900161986606,38.9520030731787,TRUE,TRUE,TRUE,FALSE,TRUE
"Inpp5a",0.00145592186617978,3.60812595584916e-05,1147,883,4.99043258677874,1.6094379124341,0,3.38099467434464,29.4,1081,1214,154.061888017021,145.196949386573,163.061143899445,TRUE,TRUE,TRUE,FALSE,TRUE
"Cabp7",0.000275052545786517,2.43040328827857e-06,103,85,3.36729582998647,0,1.40744081908468e-103,3.36729582998647,29,84,123,13.8346769535773,11.2826491660242,16.5210219931068,TRUE,TRUE,TRUE,FALSE,TRUE
"Gm14033",0.000277308238561798,1.55203875929279e-06,213,40,3.36729582998647,0,1.51206834442663e-278,3.36729582998647,29,185,242,28.6095746709899,24.8486916156485,32.5047749783078,TRUE,TRUE,TRUE,FALSE,TRUE
"Cacna1g",0.000569048384269663,9.22333002049227e-06,457,233,4.06044301054642,0.693147180559945,0,3.36729582998647,29,416,499,61.3829841532506,55.875976822215,67.0243087362627,TRUE,TRUE,TRUE,FALSE,TRUE
"Prkcg",0.000565793332696629,1.26285120372867e-05,641,401,4.06044301054642,0.693147180559945,0,3.36729582998647,29,592,691,86.0973585169226,79.5158131700752,92.8132211157466,TRUE,TRUE,TRUE,FALSE,TRUE
"B3gnt5",0.000273426085870787,1.08808884673164e-06,199,38,3.3322045101752,0,7.39840825350478e-260,3.3322045101752,28,172,227,26.7291331433192,23.1025673399543,30.4900161986606,TRUE,TRUE,TRUE,FALSE,TRUE
"Kitl",0.00110328933503933,2.57082006998189e-05,1011,982,4.70953020131233,1.38629436111989,0,3.32323584019244,27.75,949,1074,135.79474174822,127.467072125678,144.256728622738,TRUE,TRUE,TRUE,FALSE,TRUE
"Scn4b",0.000260018373741573,1.53806424783329e-06,177,42,3.29583686600433,0,2.85222530446975e-225,3.29583686600433,27,151,204,23.7741535998367,20.2819050484482,27.4007194032016,TRUE,TRUE,TRUE,FALSE,TRUE
"Sptbn2",0.00158253712011236,4.63342157594084e-05,803,1085,5.06890420222023,1.79175946922805,0,3.27714473299218,26.5,748,859,107.856753337112,100.469304478406,115.378519447795,TRUE,TRUE,TRUE,FALSE,TRUE
"Cep76",0.000509628614719101,1.20924576404607e-05,538,275,3.95124371858143,0.693147180559945,0,3.25809653802148,26,493,584,72.2626815633454,66.2184052244038,78.4412751542634,TRUE,TRUE,TRUE,FALSE,TRUE
"Pde5a",0.000510849929297753,7.52209922337352e-06,442,243,3.95124371858143,0.693147180559945,0,3.25809653802148,26,401,484,59.3682253736034,53.8612180425678,65.0095499566155,TRUE,TRUE,TRUE,FALSE,TRUE
"Thsd7a",0.000768077387303371,2.41251690402142e-05,547,876,4.35670882668959,1.09861228866811,0,3.25809653802148,26,502,593,73.4715368311337,67.4272604921921,79.6501304220517,TRUE,TRUE,TRUE,FALSE,TRUE
"Shank2",0.000495003880269663,1.41686790523478e-05,167,431,3.93182563272433,0.693147180559945,3.90819884825043e-108,3.23867845216438,25.5,142,193,22.4309810800719,19.0730497806599,25.9232296314603,TRUE,TRUE,TRUE,FALSE,TRUE
