"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Sln",0.00115371761331878,7.21668740254728e-07,506,19,4.75359019110636,0,0,4.75359019110636,116,462,551,89.7729772693402,81.9666314198324,97.7567400699732,TRUE,TRUE,TRUE,FALSE,TRUE
"Sst",0.000558934375545851,2.2457273793902e-07,301,5,4.04305126783455,0,0,4.04305126783455,57,267,335,53.4025022886787,47.3703259504226,59.4346786269347,TRUE,TRUE,TRUE,FALSE,TRUE
"Nrgn",0.000554075393144105,7.23930903512157e-07,359,20,4.02535169073515,0,0,4.02535169073515,56,322,397,63.692685453939,57.1282582623074,70.4345295966958,TRUE,TRUE,TRUE,FALSE,TRUE
"Nnat",0.00141580591855895,2.24606718687765e-05,585,1079,4.96284463025991,1.09861228866811,0,3.8642323415918,47.6666666666666,538,633,103.788916408229,95.4503197053459,112.304930062238,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc17a6",0.000407303762576419,9.74358517946739e-08,192,5,3.73766961828337,0,9.49010056633357e-307,3.73766961828337,42,165,220,34.0640546160342,29.2737969356544,39.0317292475392,TRUE,TRUE,TRUE,FALSE,TRUE
"Lgi2",0.00093535117371179,1.57854308433809e-05,876,444,4.55387689160054,1.09861228866811,0,3.45526460293243,31.6666666666667,819,934,155.417249185656,145.304482971521,165.707432350917,TRUE,TRUE,TRUE,FALSE,TRUE
"Doc2g",0.000299547927554585,3.853243636511e-06,130,85,3.43398720448515,0,1.11623463239161e-153,3.43398720448515,31,108,153,23.0642036462732,19.1610307215193,27.1447935221523,TRUE,TRUE,TRUE,FALSE,TRUE
"Elavl2",0.000751977383711791,2.49560965735237e-05,609,554,4.33073334028633,1.09861228866811,0,3.23212105161822,25.3333333333333,561,658,108.046923235234,99.530909581225,116.740353840367,TRUE,TRUE,TRUE,FALSE,TRUE
"Dclk3",0.000236714097729258,7.69474022771131e-07,108,39,3.2188758248682,0,1.09155687874329e-142,3.2188758248682,25,88,129,19.1610307215193,15.6126916990157,22.886786695148,TRUE,TRUE,TRUE,FALSE,TRUE
"Grm2",0.000241056574323144,5.70774756464685e-07,192,18,3.2188758248682,0,1.39613511714235e-290,3.2188758248682,25,165,220,34.0640546160342,29.2737969356544,39.0317292475392,TRUE,TRUE,TRUE,FALSE,TRUE
"Rgs6",0.000238797873406114,3.63208697178696e-06,136,113,3.2188758248682,0,5.11260401835744e-152,3.2188758248682,25,114,159,24.1287053530242,20.2255324282703,28.2092952289034,TRUE,TRUE,TRUE,FALSE,TRUE
"Vgf",0.000211467290323144,3.76856084137399e-06,198,89,3.09104245335832,0,6.28742185197875e-251,3.09104245335832,22,171,226,35.1285563227853,30.3382986424055,40.0962309542903,TRUE,TRUE,TRUE,FALSE,TRUE
"Penk",0.000855035995868996,3.29555997908144e-05,920,1245,4.46590811865458,1.38629436111989,0,3.07961375753469,21.75,861,980,163.223595035164,152.755994918779,173.868612102675,TRUE,TRUE,TRUE,FALSE,TRUE
"Grm5",0.00019658020628821,4.10170696256272e-06,140,127,3.04452243772342,0,5.32358337089868e-153,3.04452243772342,21,117,164,24.838373157525,20.7577832816459,29.0963799845292,TRUE,TRUE,TRUE,FALSE,TRUE
"Tpbg",0.000400594619694323,9.31012283187959e-06,175,221,3.71357206670431,0.693147180559945,1.06892343327289e-173,3.02042488614436,20.5,150,201,31.0479664469062,26.6125426687767,35.6608071761608,TRUE,TRUE,TRUE,FALSE,TRUE
"Adcyap1",0.000183661769956332,4.10130234079506e-07,71,40,2.94443897916644,0,2.50447041200096e-87,2.94443897916644,19,55,88,12.5966035298877,9.75793231188481,15.6126916990157,TRUE,TRUE,TRUE,FALSE,TRUE
"Lypd1",0.000168131594104804,2.42218941759938e-06,159,73,2.89037175789616,0,4.25702589216718e-201,2.89037175789616,18,135,184,28.2092952289034,23.9512884018991,32.6447190070328,TRUE,TRUE,TRUE,FALSE,TRUE
"Adcy2",0.000316629804161572,6.61148518209185e-06,141,303,3.49650756146648,0.693147180559945,3.45902321373522e-116,2.80336038090653,16.5,118,165,25.0157901086501,20.935200232771,29.2737969356544,TRUE,TRUE,TRUE,FALSE,TRUE
"Tcf7l2",0.000317101451135371,8.25731005017368e-06,170,384,3.49650756146648,0.693147180559945,7.57420575445097e-137,2.80336038090653,16.5,145,196,30.1608816912803,25.7254579131509,34.7737224205349,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc6a5",0.00014664751371179,8.38135260903126e-07,140,38,2.77258872223978,0,4.27942489995078e-192,2.77258872223978,16,117,164,24.838373157525,20.7577832816459,29.0963799845292,TRUE,TRUE,TRUE,FALSE,TRUE
