"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Plp1",0.121573021044697,0.000196080885332933,82726,5761,9.40574266830867,3.04452243772342,0,6.36122023058524,578.952380952381,82200,83252,12981.1275752065,12898.5891579669,13063.665992446,TRUE,TRUE,TRUE,FALSE,TRUE
"Mag",0.00502127802521614,4.88090231273263e-06,3681,133,6.22059017009974,0,0,6.22059017009974,503,3563,3800,577.612003533774,559.095780654941,596.285143555648,TRUE,TRUE,TRUE,FALSE,TRUE
"Cldn11",0.00371603325193084,3.64918345886321e-06,2779,115,5.92157841964382,0,0,5.92157841964382,373,2676,2883,436.072740510828,419.910274777609,452.392123387088,TRUE,TRUE,TRUE,FALSE,TRUE
"Mal",0.00376706376501441,1.38758483421216e-05,2349,500,5.93489419561959,0.693147180559945,0,5.24174701505964,189,2255,2444,368.598369003215,353.848157557365,383.505497592106,TRUE,TRUE,TRUE,FALSE,TRUE
"Mog",0.00182558019783862,1.42986482320099e-06,1281,36,5.21493575760899,0,0,5.21493575760899,184,1211,1352,201.01086023547,190.026660222603,212.151977391378,TRUE,TRUE,TRUE,FALSE,TRUE
"Ermn",0.00320868918824208,9.46535934177264e-06,2332,223,5.77455154554441,0.693147180559945,0,5.08140436498446,161,2238,2427,365.930777571519,351.180566125669,380.83790616041,TRUE,TRUE,TRUE,FALSE,TRUE
"Olig1",0.00137839310458213,1.30103925604839e-06,816,45,4.93447393313069,0,0,4.93447393313069,139,761,872,128.044388721423,119.413945854171,136.831748731717,TRUE,TRUE,TRUE,FALSE,TRUE
"Ugt8a",0.00127072610233429,1.88169250856855e-06,858,77,4.85203026391962,0,0,4.85203026391962,128,801,916,134.634908729144,125.690631575809,143.736103025519,TRUE,TRUE,TRUE,FALSE,TRUE
"Car2",0.00524302125060519,4.15854009109026e-05,3720,1720,6.26339826259162,1.6094379124341,0,4.65396035015752,105,3601,3840,583.731772112371,565.058632090497,602.561829277287,TRUE,TRUE,TRUE,FALSE,TRUE
"Opalin",0.000930341097319885,8.15522090958437e-07,670,25,4.54329478227,0,0,4.54329478227,94,620,721,105.134485837443,97.2886286853953,113.137260132532,TRUE,TRUE,TRUE,FALSE,TRUE
"Gjb1",0.000850614219596542,9.8500140353598e-07,598,28,4.45434729625351,0,0,4.45434729625351,86,551,646,93.8364515384941,86.461345815569,101.36847440446,TRUE,TRUE,TRUE,FALSE,TRUE
"Pllp",0.00170388719236311,9.77186971929281e-06,1167,327,5.14166355650266,0.693147180559945,0,4.44851637594271,85.5,1101,1234,183.1223059288,172.765774488097,193.635754512545,TRUE,TRUE,TRUE,FALSE,TRUE
