"","MGI.symbol","HGNC.symbol","NCBI.gene..formerly.Entrezgene..ID","NCBI.gene..formerly.Entrezgene..description"
"1","Tmsb4x","TMSB4Y",9087,"thymosin beta 4 Y-linked"
"2","Mbp","MBP",4155,"myelin basic protein"
"3","Slain1","SLAIN1",122060,"SLAIN motif family member 1"
"4","S100b","S100B",6285,"S100 calcium binding protein B"
"5","Sec11c","SEC11C",90701,"SEC11 homolog C, signal peptidase complex subunit"
"6","Klhl4","KLHL4",56062,"kelch like family member 4"
"7","Sh3kbp1","SH3KBP1",30011,"SH3 domain containing kinase binding protein 1"
"8","Qdpr","QDPR",5860,"quinoid dihydropteridine reductase"
"9","Npc1","NPC1",4864,"NPC intracellular cholesterol transporter 1"
"10","Phlpp1","PHLPP1",23239,"PH domain and leucine rich repeat protein phosphatase 1"
"11","Rab31","RAB31",11031,"RAB31, member RAS oncogene family"
"12","Tmem98","TMEM98",26022,"transmembrane protein 98"
"13","Tmeff1","TMEFF1",8577,"transmembrane protein with EGF like and two follistatin like domains 1"
"14","Eml1","EML1",2009,"EMAP like 1"
"15","Gjb1","GJB1",2705,"gap junction protein beta 1"
"16","Prr5l","PRR5L",79899,"proline rich 5 like"
"17","B3galt5","B3GALT5",10317,"beta-1,3-galactosyltransferase 5"
"18","Ugt8a","UGT8",7368,"UDP glycosyltransferase 8"
"19","Nkx6-2","NKX6-2",84504,"NK6 homeobox 2"
"20","Prrg1","PRRG1",5638,"proline rich and Gla domain 1"
"21","Anln","ANLN",54443,"anillin actin binding protein"
"22","Nkain2","NKAIN2",154215,"sodium/potassium transporting ATPase interacting 2"
"23","Olig1","OLIG1",116448,"oligodendrocyte transcription factor 1"
"24","Secisbp2l","SECISBP2L",9728,"SECIS binding protein 2 like"
"25","Pcdh9","PCDH9",5101,"protocadherin 9"
"26","Lamp2","LAMP2",3920,"lysosomal associated membrane protein 2"
"27","Plekhb1","PLEKHB1",58473,"pleckstrin homology domain containing B1"
"28","Kcnk13","KCNK13",56659,"potassium two pore domain channel subfamily K member 13"
"29","Nipa1","NIPA1",123606,"NIPA magnesium transporter 1"
"30","Desi1","DESI1",27351,"desumoylating isopeptidase 1"
"31","Plxnb3","PLXNB3",5365,"plexin B3"
"32","Enpp6","ENPP6",133121,"ectonucleotide pyrophosphatase/phosphodiesterase 6"
"33","Npc2","NPC2",10577,"NPC intracellular cholesterol transporter 2"
"34","Pip4k2a","PIP4K2A",5305,"phosphatidylinositol-5-phosphate 4-kinase type 2 alpha"
"35","Arhgap23","ARHGAP23",57636,"Rho GTPase activating protein 23"
"36","Psat1","PSAT1",29968,"phosphoserine aminotransferase 1"
"37","Enpp4","ENPP4",22875,"ectonucleotide pyrophosphatase/phosphodiesterase 4"
"38","Smad7","SMAD7",4092,"SMAD family member 7"
"39","Cpd","CPD",1362,"carboxypeptidase D"
"40","Spg20","SPART",23111,"spartin"
"41","P3h4","P3H4",10609,"prolyl 3-hydroxylase family member 4 (inactive)"
"42","Pdgfra","PDGFRA",5156,"platelet derived growth factor receptor alpha"
"43","Frmd8","FRMD8",83786,"FERM domain containing 8"
"44","Tmem144","TMEM144",55314,"transmembrane protein 144"
"45","Scd2","SCD",6319,"stearoyl-CoA desaturase"
"46","Reep3","REEP3",221035,"receptor accessory protein 3"
"47","Fth1","FTH1",2495,"ferritin heavy chain 1"
"48","Slc44a1","SLC44A1",23446,"solute carrier family 44 member 1"
"49","Cdc42ep2","CDC42EP2",10435,"CDC42 effector protein 2"
"50","Shtn1","SHTN1",57698,"shootin 1"
"51","Olig2","OLIG2",10215,"oligodendrocyte transcription factor 2"
"52","Dusp26","DUSP26",78986,"dual specificity phosphatase 26"
"53","Cmtm5","CMTM5",116173,"CKLF like MARVEL transmembrane domain containing 5"
"54","Gal3st1","GAL3ST1",9514,"galactose-3-O-sulfotransferase 1"
"55","Emilin2","EMILIN2",84034,"elastin microfibril interfacer 2"
"56","Unc5b","UNC5B",219699,"unc-5 netrin receptor B"
"57","Plp1","PLP1",5354,"proteolipid protein 1"
"58","Gpm6b","GPM6B",2824,"glycoprotein M6B"
"59","Gng11","GNG11",2791,"G protein subunit gamma 11"
"60","Spock3","SPOCK3",50859,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3"
"61","Sh3gl3","SH3GL3",6457,"SH3 domain containing GRB2 like 3, endophilin A3"
"62","Plcl1","PLCL1",5334,"phospholipase C like 1 (inactive)"
"63","Il33","IL33",90865,"interleukin 33"
"64","Bcas1","BCAS1",8537,"brain enriched myelin associated protein 1"
"65","Gjc3","GJC3",349149,"gap junction protein gamma 3"
"66","Mal","MAL",4118,"mal, T cell differentiation protein"
"67","Mag","MAG",4099,"myelin associated glycoprotein"
"68","Cd81","CD81",975,"CD81 molecule"
"69","Cpm","CPM",1368,"carboxypeptidase M"
"70","Slc48a1","SLC48A1",55652,"solute carrier family 48 member 1"
"71","Kctd13","KCTD13",253980,"potassium channel tetramerization domain containing 13"
"72","Josd2","JOSD2",126119,"Josephin domain containing 2"
"73","Magt1","MAGT1",84061,"magnesium transporter 1"
"74","Galnt6","GALNT6",11226,"polypeptide N-acetylgalactosaminyltransferase 6"
"75","Gna12","GNA12",2768,"G protein subunit alpha 12"
"76","Tmeff2","TMEFF2",23671,"transmembrane protein with EGF like and two follistatin like domains 2"
"77","Gatm","GATM",2628,"glycine amidinotransferase"
"78","Rnf130","RNF130",55819,"ring finger protein 130"
"79","Car2","CA2",760,"carbonic anhydrase 2"
"80","Qk","QKI",9444,"QKI, KH domain containing RNA binding"
"81","Rhog","RHOG",391,"ras homolog family member G"
"82","Fa2h","FA2H",79152,"fatty acid 2-hydroxylase"
"83","Zdhhc20","ZDHHC20",253832,"zinc finger DHHC-type palmitoyltransferase 20"
"84","Scarb2","SCARB2",950,"scavenger receptor class B member 2"
"85","Pacs2","PACS2",23241,"phosphofurin acidic cluster sorting protein 2"
"86","Pde8a","PDE8A",5151,"phosphodiesterase 8A"
"87","Cpox","CPOX",1371,"coproporphyrinogen oxidase"
"88","Lamp1","LAMP1",3916,"lysosomal associated membrane protein 1"
"89","Sc5d","SC5D",6309,"sterol-C5-desaturase"
"90","Insc","INSC",387755,"INSC spindle orientation adaptor protein"
"91","Cldnd1","CLDND1",56650,"claudin domain containing 1"
"92","Fgfr2","FGFR2",2263,"fibroblast growth factor receptor 2"
"93","Tmbim6","TMBIM6",7009,"transmembrane BAX inhibitor motif containing 6"
"94","Kctd4","KCTD4",386618,"potassium channel tetramerization domain containing 4"
"95","Tmcc3","TMCC3",57458,"transmembrane and coiled-coil domain family 3"
"96","Myrf","MYRF",745,"myelin regulatory factor"
"97","Slc12a2","SLC12A2",6558,"solute carrier family 12 member 2"
"98","Elovl7","ELOVL7",79993,"ELOVL fatty acid elongase 7"
"99","Prr18","PRR18",285800,"proline rich 18"
"100","Efnb3","EFNB3",1949,"ephrin B3"
"101","Ndrg1","NDRG1",10397,"N-myc downstream regulated 1"
"102","Lpar1","LPAR1",1902,"lysophosphatidic acid receptor 1"
"103","Rftn1","RFTN1",23180,"raftlin, lipid raft linker 1"
"104","Fabp5","FABP5",2171,"fatty acid binding protein 5"
"105","Dhcr24","DHCR24",1718,"24-dehydrocholesterol reductase"
"106","Taldo1","TALDO1",6888,"transaldolase 1"
"107","Arrdc3","ARRDC3",57561,"arrestin domain containing 3"
"108","Vmp1","VMP1",81671,"vacuole membrane protein 1"
