"","MGI.symbol","HGNC.symbol","NCBI.gene..formerly.Entrezgene..ID","NCBI.gene..formerly.Entrezgene..description"
"1","Tst","TST",7263,"thiosulfate sulfurtransferase"
"2","Ednrb","EDNRB",1910,"endothelin receptor type B"
"3","Mrps6","MRPS6",64968,"mitochondrial ribosomal protein S6"
"4","Cst3","CST3",1471,"cystatin C"
"5","S100b","S100B",6285,"S100 calcium binding protein B"
"6","Ucma","UCMA",221044,"upper zone of growth plate and cartilage matrix associated"
"7","Gabrb1","GABRB1",2560,"gamma-aminobutyric acid type A receptor subunit beta1"
"8","Sdc4","SDC4",6385,"syndecan 4"
"9","Tmem47","TMEM47",83604,"transmembrane protein 47"
"10","Aldh1a1","ALDH1A1",216,"aldehyde dehydrogenase 1 family member A1"
"11","Fjx1","FJX1",24147,"four-jointed box kinase 1"
"12","Rorb","RORB",6096,"RAR related orphan receptor B"
"13","Mlc1","MLC1",23209,"modulator of VRAC current 1"
"14","Scd2","SCD",6319,"stearoyl-CoA desaturase"
"15","Timp3","TIMP3",7078,"TIMP metallopeptidase inhibitor 3"
"16","Htra1","HTRA1",5654,"HtrA serine peptidase 1"
"17","Gja1","GJA1",2697,"gap junction protein alpha 1"
"18","Gadd45g","GADD45G",10912,"growth arrest and DNA damage inducible gamma"
"19","Tril","TRIL",9865,"TLR4 interactor with leucine rich repeats"
"20","Itgb8","ITGB8",3696,"integrin subunit beta 8"
"21","Pou3f2","POU3F2",5454,"POU class 3 homeobox 2"
"22","Gng11","GNG11",2791,"G protein subunit gamma 11"
"23","Cldn10","CLDN10",9071,"claudin 10"
"24","Ppp1r1b","PPP1R1B",84152,"protein phosphatase 1 regulatory inhibitor subunit 1B"
"25","Cmtm5","CMTM5",116173,"CKLF like MARVEL transmembrane domain containing 5"
"26","Clu","CLU",1191,"clusterin"
"27","Etnppl","ETNPPL",64850,"ethanolamine-phosphate phospho-lyase"
"28","Asrgl1","ASRGL1",80150,"asparaginase and isoaspartyl peptidase 1"
"29","Slc39a12","SLC39A12",221074,"solute carrier family 39 member 12"
"30","Aqp4","AQP4",361,"aquaporin 4"
"31","Prss35","PRSS35",167681,"serine protease 35"
"32","Npas3","NPAS3",64067,"neuronal PAS domain protein 3"
"33","Alcam","ALCAM",214,"activated leukocyte cell adhesion molecule"
"34","Zfp36l1","ZFP36L1",677,"ZFP36 ring finger protein like 1"
"35","Papss2","PAPSS2",9060,"3'-phosphoadenosine 5'-phosphosulfate synthase 2"
"36","Mmd2","MMD2",221938,"monocyte to macrophage differentiation associated 2"
"37","Scg3","SCG3",29106,"secretogranin III"
"38","Slc6a11","SLC6A11",6538,"solute carrier family 6 member 11"
"39","Sfxn5","SFXN5",94097,"sideroflexin 5"
"40","Msmo1","MSMO1",6307,"methylsterol monooxygenase 1"
"41","Acsbg1","ACSBG1",23205,"acyl-CoA synthetase bubblegum family member 1"
"42","Dio2","DIO2",1734,"iodothyronine deiodinase 2"
"43","Hepacam","HEPACAM",220296,"hepatic and glial cell adhesion molecule"
"44","Cacng4","CACNG4",27092,"calcium voltage-gated channel auxiliary subunit gamma 4"
"45","Rapgef3","RAPGEF3",10411,"Rap guanine nucleotide exchange factor 3"
"46","Kcnn2","KCNN2",3781,"potassium calcium-activated channel subfamily N member 2"
"47","Ptn","PTN",5764,"pleiotrophin"
"48","Slc7a10","SLC7A10",56301,"solute carrier family 7 member 10"
"49","Rnd2","RND2",8153,"Rho family GTPase 2"
"50","Sparcl1","SPARCL1",8404,"SPARC like 1"
"51","Ndrg2","NDRG2",57447,"NDRG family member 2"
"52","Gabra2","GABRA2",2555,"gamma-aminobutyric acid type A receptor subunit alpha2"
"53","Scrg1","SCRG1",11341,"stimulator of chondrogenesis 1"
"54","Mmp14","MMP14",4323,"matrix metallopeptidase 14"
"55","Slc38a3","SLC38A3",10991,"solute carrier family 38 member 3"
"56","Ntsr2","NTSR2",23620,"neurotensin receptor 2"
"57","Cd38","CD38",952,"CD38 molecule"
"58","Fgfr3","FGFR3",2261,"fibroblast growth factor receptor 3"
"59","Atp1b2","ATP1B2",482,"ATPase Na+/K+ transporting subunit beta 2"
"60","Hacd2","HACD2",201562,"3-hydroxyacyl-CoA dehydratase 2"
"61","Paqr4","PAQR4",124222,"progestin and adipoQ receptor family member 4"
"62","Ptgs1","PTGS1",5742,"prostaglandin-endoperoxide synthase 1"
"63","Efemp1","EFEMP1",2202,"EGF containing fibulin extracellular matrix protein 1"
"64","Eva1a","EVA1A",84141,"eva-1 homolog A, regulator of programmed cell death"
"65","Lxn","LXN",56925,"latexin"
"66","Chpt1","CHPT1",56994,"choline phosphotransferase 1"
"67","Gjb6","GJB6",10804,"gap junction protein beta 6"
"68","Cxcl14","CXCL14",9547,"C-X-C motif chemokine ligand 14"
"69","Sox9","SOX9",6662,"SRY-box transcription factor 9"
"70","Tmem100","TMEM100",55273,"transmembrane protein 100"
