well_id,structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,donor,suit_x,suit_y,suit_z,Y
1138,4707,68,1138,CB,Ve-VIIAt,VIIAt,64944,87,130,151,5.9908952789628,-87.67797194547579,-28.9016062257244,9861,10,-85,-26,0.5008449118052211
1068,4723,71,1068,CB,PV-Crus I,"Crus I, left, paravermis",65135,95,122,138,-3.56319155927213,-73.6219245556672,-23.372008802415905,9861,-1,-70,-21,0.43659040813936906
1066,4759,67,1066,CB,PV-VIIIA,"VIIIA, right, paravermis",56062,84,142,131,9.57109899923664,-69.42014764527259,-44.4240273315825,9861,13,-68,-44,0.36193993208663805
1129,4755,67,1129,CB,PV-VI,"VI, right, paravermis",56041,84,120,139,9.7306676929622,-72.84151354218601,-22.100247799315,9861,13,-70,-19,0.5488742248100393
1130,4738,78,1130,CB,He-VI,"VI, left, lateral hemisphere",56087,133,127,130,-42.7509443088063,-66.3167194394467,-28.061216319692804,9861,-43,-65,-27,0.802484292536974
1122,4739,78,1122,CB,He-Crus I,"Crus I, left, lateral hemisphere",56086,133,132,135,-44.1644635495315,-73.7748512325719,-33.8909361503417,9861,-44,-72,-31,0.6016166007944516
1114,4740,78,1114,CB,He-Crus II,"Crus II, left, lateral hemisphere",56085,133,142,127,-43.4797233240208,-67.78645455894801,-46.3788375653901,9861,-43,-66,-44,0.6346550683180491
1106,4741,78,1106,CB,He-VIIB,"VIIB, left, lateral hemisphere",56084,133,144,120,-42.4831511897068,-60.0550748939363,-48.6822365791021,9861,-43,-59,-48,0.7332386689053642
1098,4742,78,1098,CB,He-VIIIA,"VIIIA, left, lateral hemisphere",56083,133,143,116,-41.9745271328678,-55.1001974867635,-47.75954951270661,9861,-43,-54,-47,0.7607659539755653
1123,4700,68,1123,CB,Ve-I-II,I-II,64814,87,120,114,6.16412527817698,-44.826585856678,-25.5291663996084,9861,10,-44,-23,0.1853336336521002
1115,4701,68,1115,CB,Ve-III,III,64815,87,118,119,6.09928400045908,-49.1309819471038,-22.61361442857889,9861,10,-49,-21,0.13154064926008383
1131,4711,68,1131,CB,Ve-IX,IX,64813,87,123,112,6.00621734407234,-44.00156807762771,-28.7549450627212,9861,10,-43,-27,0.23642673095067343
1107,4701,68,1107,CB,Ve-III,III,64786,87,112,113,7.0468827691033695,-40.02491502235971,-17.8488019844463,9861,9,-39,-14,0.25793403221501243
1099,4702,68,1099,CB,Ve-IV,IV,64785,87,108,118,6.83137372873887,-43.5027929153325,-12.9810092220984,9861,9,-43,-9,0.3142295216812807
1091,4703,68,1091,CB,Ve-V,V,64784,87,117,132,6.10996786881451,-64.4636237333718,-19.6694532305547,9861,9,-62,-17,0.4111628242664867
1059,4705,68,1059,CB,Ve-VI,VI,64940,87,126,143,6.719793850558442,-79.0801171958755,-26.3081546889284,9861,10,-75,-24,0.7150696206975866
1146,4706,68,1146,CB,Ve-VIIAf,VIIAf,64939,87,126,145,6.51177187634744,-80.933392380841,-26.201101346995,9861,10,-77,-24,0.6798670611211232
1067,4708,68,1067,CB,Ve-VIIB,VIIB,64941,86,134,135,8.4587675499435,-72.1066190400272,-35.9056714498627,9861,11,-69,-35,0.39373265703519184
1083,4709,68,1083,CB,Ve-VIIIA,VIIIA,64943,86,151,118,5.78505939349085,-60.067658805876505,-53.187246332820216,9861,10,-56,-56,0.48120919918572463
1075,4710,68,1075,CB,Ve-VIIIB,VIIIB,64942,87,145,127,5.372693385597639,-66.5115232505978,-47.5741341903802,9861,10,-65,-48,0.20289250942213194
1100,4718,71,1100,CB,PV-III,"III, left, paravermis",65130,95,122,114,-2.73796695446248,-45.7561453883253,-27.374626091101103,9861,-2,-46,-25,0.37571921282344395
1092,4719,71,1092,CB,PV-IV,"IV, left, paravermis",65131,95,115,118,-2.4929389224914,-46.5610904236961,-19.1115831580926,9861,-1,-47,-16,0.1986575871706009
1084,4720,71,1084,CB,PV-V,"V, left, paravermis",65129,95,110,122,-2.5007236559645696,-48.6270369407201,-14.0786508034388,9861,-1,-49,-10,0.22535032512886183
1116,4727,71,1116,CB,PV-VIIIB,"VIIIB, left, paravermis",65133,96,150,122,-3.81740681222136,-63.2756550432918,-52.3480059759844,9861,-2,-61,-55,0.4620477457841237
1108,4728,71,1108,CB,PV-IX,"IX, left, paravermis",65132,96,134,115,-4.46792518660423,-49.99162518664191,-38.72557992006271,9861,-2,-49,-37,0.4097750250137214
1076,4722,71,1076,CB,PV-VI,"VI, left, paravermis",65134,95,114,131,-2.8456669274294706,-62.7591261538105,-16.010498960157403,9861,-1,-61,-14,0.31941761939149155
1060,4724,71,1060,CB,PV-Crus II,"Crus II, left, paravermis",65136,96,140,137,-6.0391615438141,-75.8324819352698,-41.547441751545,9861,-3,-75,-41,0.5301432816518677
1147,4725,71,1147,CB,PV-VIIB,"VIIB, left, paravermis",65137,96,140,133,-5.14340034180929,-70.8401329576322,-42.2412246189436,9861,-2,-70,-41,0.1896821925682681
1139,4726,71,1139,CB,PV-VIIIA,"VIIIA, left, paravermis",65164,96,140,130,-4.66992693862253,-67.8928163571369,-42.5814082184275,9861,-2,-68,-42,0.1419406646379718
1097,4772,61,1097,CB,He-Crus I,"Crus I, right, lateral hemisphere",51347,58,133,147,39.6572170633209,-82.7833452160274,-33.2087517497875,9861,42,-79,-30,0.3186255519588788
1089,4773,61,1089,CB,He-Crus II,"Crus II, right, lateral hemisphere",51349,58,143,137,39.7676441569675,-75.32358759025409,-44.904546702238,9861,44,-71,-44,0.41416489526077555
1081,4774,61,1081,CB,He-VIIB,"VIIB, right, lateral hemisphere",51350,58,149,128,37.183018713781294,-65.812607203646,-52.3736912320839,9861,44,-63,-53,0.6455702300994627
1105,4771,61,1105,CB,He-VI,"VI, right, lateral hemisphere",51346,58,125,122,36.5842043258244,-54.5447649923554,-28.562681716262,9861,42,-51,-26,0.7193872683188495
1137,4753,67,1137,CB,PV-V,"V, right, paravermis",56042,84,118,136,9.28553946671555,-69.2261331673172,-20.9242957908759,9861,13,-66,-17,0.4639621732963456
1121,4756,67,1121,CB,PV-Crus I,"Crus I, right, paravermis",56040,84,127,143,10.367089328994,-79.0706208045473,-27.7331186483459,9861,14,-75,-26,0.5235352611541748
1113,4757,67,1113,CB,PV-Crus II,"Crus II, right, paravermis",56039,84,133,147,9.99815518138873,-84.41398351410841,-33.5083970198549,9861,13,-81,-31,0.5213005347177386
1090,4751,67,1090,CB,PV-III,"III, right, paravermis",51241,84,119,113,9.51205179979731,-43.3454388456882,-24.9546904727955,9861,13,-42,-23,0.17469898572093562
1082,4752,67,1082,CB,PV-IV,"IV, right, paravermis",51239,84,108,122,9.28556732174082,-47.5974822434795,-12.6748361920915,9861,12,-48,-9,0.3101252807038171
1074,4758,67,1074,CB,PV-VIIB,"VIIB, right, paravermis",56063,84,140,135,9.4313639096884,-73.7587139675293,-41.9257518068985,9861,13,-71,-41,0.5973007145027319
1058,4760,67,1058,CB,PV-VIIIB,"VIIIB, right, paravermis",56061,84,154,117,8.00376050660867,-59.8243639102344,-56.5965351151649,9861,13,-55,-60,0.22785373287541524
1145,4761,67,1145,CB,PV-IX,"IX, right, paravermis",56059,83,142,110,9.64097471035419,-47.1763814202938,-45.399824851120215,9861,14,-44,-46,0.461029510135236
8941,4703,69,8941,CB,Ve-V,V,1110727,92,99,138,1.88969985329244,-66.0906462815622,-8.03535547140244,10021,5,-65,-6,0.46068871872765677
8425,4727,71,8425,CB,PV-VIIIB,"VIIIB, left, paravermis",1110760,104,141,121,-9.56746160853938,-50.9083561848514,-58.4929910517488,10021,-7,-46,-56,0.519938198002902
8363,4738,74,8363,CB,He-VI,"VI, left, lateral hemisphere",1110880,124,111,128,-34.8808926872261,-56.6244064519757,-24.395296994380804,10021,-31,-54,-21,0.4463326632976532
8395,4739,75,8395,CB,He-Crus I,"Crus I, left, lateral hemisphere",1110907,134,113,146,-43.170670323737895,-75.1979016360662,-26.1891852576653,10021,-42,-73,-23,0.8346004486083984
8403,4740,75,8403,CB,He-Crus II,"Crus II, left, lateral hemisphere",1110909,131,128,150,-40.20945757782911,-80.1549756848881,-42.7222481880981,10021,-39,-78,-41,0.5121307840401476
8381,4773,63,8381,CB,He-Crus II,"Crus II, right, lateral hemisphere",1110921,59,135,123,39.07866373281279,-49.4548297585269,-50.6927908873775,10021,44,-49,-50,0.7197118353843689
8389,4773,63,8389,CB,He-Crus II,"Crus II, right, lateral hemisphere",1110922,59,131,128,40.4906313441529,-56.3300145180353,-47.3531667472975,10021,44,-55,-44,0.43467347962515696
8445,4774,64,8445,CB,He-VIIB,"VIIB, right, lateral hemisphere",1110846,65,138,131,34.2575765706636,-59.3473906661742,-55.261389055811,10021,37,-57,-53,0.6574041489511728
8358,4775,64,8358,CB,He-VIIIA,"VIIIA, right, lateral hemisphere",1110849,65,141,140,34.5482723947413,-70.0096873342086,-58.767149328828296,10021,37,-67,-56,0.6639484257409067
8366,4775,64,8366,CB,He-VIIIA,"VIIIA, right, lateral hemisphere",1110848,65,144,130,33.0363381958787,-59.5365225131042,-60.53917654341721,10021,37,-56,-60,0.5858837723731994
8437,4771,64,8437,CB,He-VI,"VI, right, lateral hemisphere",1110861,65,112,122,36.1695381157365,-49.8666311671514,-25.401894700883,10021,37,-49,-21,0.5112495124340057
8397,4772,64,8397,CB,He-Crus I,"Crus I, right, lateral hemisphere",1110834,65,123,153,32.0679293632096,-82.8277239159813,-36.6694678236068,10021,36,-82,-33,0.056680029430599126
8405,4773,64,8405,CB,He-Crus II,"Crus II, right, lateral hemisphere",1110836,65,128,146,32.7530434516493,-75.78733198207841,-43.2634006837103,10021,37,-74,-40,0.3293674556681743
