,beta,p_perm,p_perm_fdr0.05,type,color
CAPN5,0.0013548225664297712,0.0029,False,nosig,grey
GGN,0.0012451088990765495,0.0002,False,nosig,grey
SPRY4,0.0011191196238878385,0.0019,False,nosig,grey
RASGRF2,0.0011179225900699405,0.0,True,pos,#A80510
TMEM8A,0.0010443508479111524,0.0087,False,nosig,grey
OPN3,0.0010219168168208554,0.0022,False,nosig,grey
FKBP9P1,0.0010118543537414252,0.0016,False,nosig,grey
LRRC39,0.0009363915704994407,0.0005,False,nosig,grey
BMPER,0.0009243509519213742,0.0045,False,nosig,grey
ADCYAP1,0.0009193769898192507,0.0096,False,nosig,grey
DPY19L1,0.0009179954705484828,0.0015,False,nosig,grey
PCOTH,0.0009098078920499095,0.0103,False,nosig,grey
CANT1,0.0008988276971646041,0.0258,False,nosig,grey
PTPRO,0.0008793089681878821,0.0024,False,nosig,grey
EML6,0.000876941275340137,0.0142,False,nosig,grey
DUSP4,0.0008762790746824845,0.0004,False,nosig,grey
ALKBH6,0.0008666798766276466,0.0222,False,nosig,grey
TEK,0.0008659852796932005,0.0017,False,nosig,grey
MIP,0.0008608846126331976,0.0261,False,nosig,grey
ACAD11,0.0008578297854664235,0.0136,False,nosig,grey
FAM71F2,0.0008555735362920387,0.0033,False,nosig,grey
RBM24,0.0008481092392031826,0.0022,False,nosig,grey
OR2M1P,0.0008479267297622851,0.0019,False,nosig,grey
CFAP73,0.000847364524709453,0.0085,False,nosig,grey
JPX,0.000846328050570365,0.0033,False,nosig,grey
IL34,0.0008378227084024884,0.0291,False,nosig,grey
TP73,0.0008341859267703193,0.0177,False,nosig,grey
HCG4B,0.000828284495972043,0.001,False,nosig,grey
CDK6,0.0008211257455021538,0.0475,False,nosig,grey
TNFRSF11A,0.000808403168078407,0.0448,False,nosig,grey
HIST1H2BD,0.0008024120532491453,0.0,True,pos,#A80510
CATSPERE,0.0008017016472533879,0.0285,False,nosig,grey
IER5L,0.0008006577630792673,0.0,True,pos,#A80510
TMEM158,0.0007989621867153182,0.002,False,nosig,grey
PIEZO1,0.0007965468880692995,0.0007,False,nosig,grey
PDE7B,0.0007963039284591205,0.0236,False,nosig,grey
CIDEA,0.0007961895172815573,0.0695,False,nosig,grey
CLPB,0.0007949572344836286,0.0004,False,nosig,grey
SYCN,0.0007792573255920144,0.0016,False,nosig,grey
BDNF,0.0007778677304835552,0.0,True,pos,#A80510
FZD9,0.0007715440876608149,0.0019,False,nosig,grey
KLK3,0.000769047983236375,0.0048,False,nosig,grey
TRIM36,0.0007649743975553176,0.048,False,nosig,grey
TLX2,0.0007612458694185576,0.0461,False,nosig,grey
IMPG2,0.0007610911639430106,0.006,False,nosig,grey
SCN9A,0.0007603878692040946,0.0112,False,nosig,grey
GH1,0.0007596411215462493,0.0218,False,nosig,grey
FAM126A,0.0007538638403937197,0.0067,False,nosig,grey
HMGCR,0.0007413966949360827,0.0005,False,nosig,grey
PPEF1,0.0007370813137354016,0.0238,False,nosig,grey
NR2F2-AS1,0.0007365811694190556,0.0878,False,nosig,grey
TNNC2,0.000732370172422132,0.0002,False,nosig,grey
CCDC103,0.0007322303945342151,0.0369,False,nosig,grey
TCF23,0.000732083026637547,0.0328,False,nosig,grey
RTN4RL2,0.0007287673144526142,0.0125,False,nosig,grey
LRRC66,0.0007266306959782926,0.0007,False,nosig,grey
SPTSSB,0.000725959042754857,0.0007,False,nosig,grey
FCGR2A,0.000725212778314854,0.0053,False,nosig,grey
TSC22D2,0.0007248768597442306,0.0276,False,nosig,grey
CTTNBP2NL,0.0007205390236333522,0.0354,False,nosig,grey
C1orf56,0.000716945341440654,0.0096,False,nosig,grey
WDR48,0.0007154282067392214,0.0026,False,nosig,grey
ZNF454,0.0007141424665005827,0.0178,False,nosig,grey
LHX2,0.0007134796799319671,0.0173,False,nosig,grey
PTPRG,0.0007132965063915317,0.0088,False,nosig,grey
ANO2,0.0007113958728161245,0.0137,False,nosig,grey
ANGPT2,0.0007066173972908516,0.0403,False,nosig,grey
DCLK1,0.0007051709405370657,0.0071,False,nosig,grey
SH2B3,0.0007037224746074904,0.0015,False,nosig,grey
DNASE1,0.0007019167321991025,0.1045,False,nosig,grey
UBE2H,0.0007014787926956316,0.0004,False,nosig,grey
NSMCE3,0.0007002174766483381,0.0045,False,nosig,grey
S1PR4,0.0007000207537959611,0.0177,False,nosig,grey
LRRC55,0.0006995606032407683,0.0134,False,nosig,grey
NPAS1,0.0006993923825250363,0.0062,False,nosig,grey
MIR7-3HG,0.0006988122289269654,0.0003,False,nosig,grey
LOC100505938,0.0006944824885354929,0.0008,False,nosig,grey
LDB2,0.0006908943320001724,0.042,False,nosig,grey
NR2F2,0.0006877335950945155,0.287,False,nosig,grey
HIST3H2BB,0.000687624505358306,0.0004,False,nosig,grey
SLC2A12,0.0006870170878920836,0.0313,False,nosig,grey
OAS3,0.0006868391126285951,0.0133,False,nosig,grey
RGMB,0.0006860836487659266,0.0,True,pos,#A80510
CLIC2,0.0006856437379289161,0.014,False,nosig,grey
SYTL2,0.0006831968077503471,0.0401,False,nosig,grey
TRIB1,0.0006825631060344973,0.0002,False,nosig,grey
KRTAP22-1,0.0006815382523672739,0.0197,False,nosig,grey
ZNF585B,0.0006808381445632685,0.0212,False,nosig,grey
ART5,0.0006801395793675713,0.0073,False,nosig,grey
HSD17B12,0.0006777671657646942,0.0008,False,nosig,grey
HS6ST2,0.0006770626293514041,0.0004,False,nosig,grey
PLEKHG4B,0.0006754705721289091,0.0004,False,nosig,grey
POU5F1P3,0.0006744942496314096,0.0464,False,nosig,grey
P2RY6,0.0006717386189543051,0.0364,False,nosig,grey
SPNS3,0.0006713674814186476,0.0008,False,nosig,grey
ZNF770,0.0006712270992448113,0.0254,False,nosig,grey
C19orf53,0.0006696926778995559,0.0024,False,nosig,grey
OPHN1,0.0006676130443521824,0.0165,False,nosig,grey
ZBTB21,0.0006662821137004896,0.0069,False,nosig,grey
SIPA1L2,0.0006653094851109599,0.0398,False,nosig,grey
COL8A1,0.000664632582916859,0.0209,False,nosig,grey
SMIM24,0.0006596486849068916,0.0144,False,nosig,grey
HELLS,0.0006590584916542511,0.0228,False,nosig,grey
NKAP,0.0006589623825471166,0.0065,False,nosig,grey
C1QL3,0.0006558278409854655,0.1647,False,nosig,grey
POLRMT,0.0006530619796675391,0.0002,False,nosig,grey
LOC729683,0.0006522564682144204,0.0197,False,nosig,grey
PAMR1,0.0006522526940883226,0.0509,False,nosig,grey
PLEKHG6,0.0006508883242515985,0.0008,False,nosig,grey
CPT1A,0.0006497144205767838,0.0225,False,nosig,grey
SLC41A2,0.0006483826773169537,0.0421,False,nosig,grey
CDKL4,0.0006456395116955875,0.0146,False,nosig,grey
LNX1,0.0006447010721357282,0.0324,False,nosig,grey
GPR88,0.0006431099439403385,0.0012,False,nosig,grey
GRB14,0.0006414253177691373,0.0259,False,nosig,grey
FBXL2,0.0006412899720217418,0.0031,False,nosig,grey
SLC16A13,0.0006397705393875795,0.0281,False,nosig,grey
NASP,0.0006387245658933097,0.0013,False,nosig,grey
CEMIP,0.000638564739347204,0.0107,False,nosig,grey
NUMBL,0.0006379367679117281,0.0008,False,nosig,grey
RGPD3,0.000637400948945885,0.0074,False,nosig,grey
IRF2BP2,0.0006349551539527503,0.0027,False,nosig,grey
ANGPT4,0.0006347216982209024,0.0066,False,nosig,grey
HS2ST1,0.0006334787090986225,0.0229,False,nosig,grey
RSPO4,0.0006332311920751689,0.084,False,nosig,grey
CHRNA7,0.0006317213376528566,0.059,False,nosig,grey
HMGN4,0.0006310952610151093,0.0007,False,nosig,grey
STK24,0.0006305714147848601,0.0003,False,nosig,grey
USP43,0.000630256028722477,0.0827,False,nosig,grey
PDGFB,0.0006287917917259021,0.0915,False,nosig,grey
DHX40,0.0006279016005005973,0.0175,False,nosig,grey
AARD,0.0006278624259466424,0.0009,False,nosig,grey
ATP2B4,0.0006276270534945509,0.009,False,nosig,grey
MYBPC2,0.0006264060719719665,0.0041,False,nosig,grey
EPHA8,0.0006239782731621532,0.0171,False,nosig,grey
CHRNA2,0.0006224394884215943,0.215,False,nosig,grey
L3MBTL3,0.0006217155897128493,0.0217,False,nosig,grey
SOX1,0.0006212767915460382,0.0027,False,nosig,grey
PKD2L1,0.000620421698381534,0.0436,False,nosig,grey
PCDHB17P,0.0006204004185245003,0.1591,False,nosig,grey
FNDC4,0.0006190264532094857,0.0,True,pos,#A80510
NABP1,0.0006161349603949821,0.0025,False,nosig,grey
S100A14,0.0006160469095906556,0.0001,False,nosig,grey
CORO7,0.0006154972913304956,0.0,True,pos,#A80510
ANKRD2,0.0006148501778918017,0.2117,False,nosig,grey
CITED1,0.0006142475141572503,0.0023,False,nosig,grey
TENM4,0.0006134389097616109,0.1398,False,nosig,grey
LEPR,0.0006094106245984756,0.0298,False,nosig,grey
TAOK1,0.0006085076422212334,0.0162,False,nosig,grey
SPRED2,0.00060759794318766,0.0069,False,nosig,grey
H2BFS,0.000607029166904685,0.0015,False,nosig,grey
KDM6A,0.0006060552117807841,0.0015,False,nosig,grey
NOXO1,0.0006054597648008713,0.1372,False,nosig,grey
ZNF263,0.0006052738929380405,0.0009,False,nosig,grey
KRTAP3-2,0.0006043660216605222,0.0263,False,nosig,grey
PRTG,0.0006042107695398449,0.0091,False,nosig,grey
ROBO1,0.0006034250127252528,0.103,False,nosig,grey
PLAA,0.0006030945722053163,0.0239,False,nosig,grey
DZIP3,0.0006028954488245803,0.0057,False,nosig,grey
PEX12,0.0006015871204433082,0.0164,False,nosig,grey
KIRREL2,0.0006014163688290226,0.0475,False,nosig,grey
ANO3,0.0006004626956466457,0.2181,False,nosig,grey
ZNF232,0.0005998063592144142,0.0038,False,nosig,grey
SEMA3C,0.0005993772746830953,0.0214,False,nosig,grey
PLPPR3,0.0005986463305678573,0.1968,False,nosig,grey
MAP3K19,0.0005975813122386242,0.0019,False,nosig,grey
PLEKHM3,0.0005972599829609755,0.0006,False,nosig,grey
ADNP2,0.0005963466801910681,0.0587,False,nosig,grey
FAM76A,0.0005959867868574972,0.0319,False,nosig,grey
ZFAT,0.000595746805707584,0.0059,False,nosig,grey
LILRB4,0.0005955782776950464,0.0075,False,nosig,grey
DRAIC,0.0005948428374754983,0.0117,False,nosig,grey
OCLN,0.000593992971517013,0.0109,False,nosig,grey
TPD52L1,0.0005937759965003501,0.0231,False,nosig,grey
CALB2,0.000593550318712616,0.028,False,nosig,grey
UBAP2L,0.0005934082845896976,0.0022,False,nosig,grey
CYP1B1-AS1,0.0005930489585058002,0.0798,False,nosig,grey
ORC2,0.0005919998392918407,0.0147,False,nosig,grey
CPT2,0.0005915089024953524,0.0525,False,nosig,grey
CFAP70,0.0005909526530271671,0.0205,False,nosig,grey
RCN1,0.0005907664104316416,0.0338,False,nosig,grey
AVPI1,0.000589622295282073,0.0011,False,nosig,grey
FEZF2,0.0005881520929569341,0.0373,False,nosig,grey
ZAP70,0.0005878612638491555,0.0202,False,nosig,grey
TFDP2,0.000587361220551809,0.0243,False,nosig,grey
TAF1D,0.0005872998626462439,0.0018,False,nosig,grey
ZNF649,0.0005866322605845311,0.0405,False,nosig,grey
PROCR,0.0005857778024980829,0.0458,False,nosig,grey
GSN-AS1,0.0005855329384189712,0.0256,False,nosig,grey
CABP4,0.0005850907301708701,0.0114,False,nosig,grey
LOC400684,0.000584379686494579,0.066,False,nosig,grey
VEGFA,0.000584053747478802,0.0179,False,nosig,grey
SPON1,0.0005836764303479967,0.1526,False,nosig,grey
QRFP,0.000583558465520683,0.0525,False,nosig,grey
POLR3G,0.000583247204668813,0.1451,False,nosig,grey
IL6R,0.0005832190951284745,0.0894,False,nosig,grey
LINC01197,0.0005826976317252194,0.0595,False,nosig,grey
MGAT4C,0.000582601380030656,0.09,False,nosig,grey
COL22A1,0.0005824573519163196,0.043,False,nosig,grey
MST1R,0.0005812261633838966,0.0361,False,nosig,grey
FOXC2,0.0005798423514643584,0.013,False,nosig,grey
ZNF582,0.0005798287156008006,0.113,False,nosig,grey
LOC645166,0.000579318858339491,0.0421,False,nosig,grey
PP12613,0.0005791337881181786,0.0781,False,nosig,grey
HGD,0.000578613388396311,0.0265,False,nosig,grey
APCDD1L,0.0005782968329998157,0.0057,False,nosig,grey
TAL1,0.0005775885866709903,0.0033,False,nosig,grey
PEX5L,0.0005769115940865134,0.0004,False,nosig,grey
PCDH11X,0.0005762016442966055,0.0133,False,nosig,grey
TRH,0.0005759155445773691,0.0185,False,nosig,grey
PTN,0.0005757583747994675,0.0018,False,nosig,grey
LOC100507642,0.0005739381007721174,0.0451,False,nosig,grey
ZNF749,0.0005731650833619965,0.0981,False,nosig,grey
NR4A2,0.0005721466344501916,0.1104,False,nosig,grey
GNG8,0.0005708964551600878,0.0206,False,nosig,grey
LPCAT2,0.0005704903619814508,0.0494,False,nosig,grey
LYSMD1,0.0005703163893767291,0.0081,False,nosig,grey
PCSK1,0.0005702959344171407,0.0366,False,nosig,grey
KCNK3,0.00057029582654499,0.0063,False,nosig,grey
TBCCD1,0.0005699270652492526,0.0057,False,nosig,grey
COLCA1,0.0005692010749440071,0.0153,False,nosig,grey
C19orf38,0.0005686873662083286,0.398,False,nosig,grey
LINGO2,0.000568358467758216,0.0901,False,nosig,grey
PCDH9,0.0005677973281283798,0.0001,False,nosig,grey
ETS1,0.0005676052462286235,0.1101,False,nosig,grey
PTCRA,0.0005673112843319873,0.0359,False,nosig,grey
TXLNB,0.0005661260609593112,0.0319,False,nosig,grey
NEDD4L,0.0005654265284283559,0.0622,False,nosig,grey
CRKL,0.0005634440115076743,0.0179,False,nosig,grey
CASC2,0.0005632836398031848,0.0434,False,nosig,grey
RAB28,0.0005631947746352221,0.1099,False,nosig,grey
TFF3,0.0005602662266584021,0.044,False,nosig,grey
RANGRF,0.0005592634666625718,0.0217,False,nosig,grey
SMCO3,0.0005588837897401525,0.0027,False,nosig,grey
CDC42EP4,0.000558334312807157,0.0035,False,nosig,grey
ZFHX3,0.0005573807385787379,0.0951,False,nosig,grey
PAM,0.000557125356559257,0.0022,False,nosig,grey
KHDRBS2,0.0005563868040553209,0.0756,False,nosig,grey
A1BG-AS1,0.000556364209317083,0.0507,False,nosig,grey
LRRC47,0.0005562402693960828,0.043,False,nosig,grey
CREB3L3,0.0005545380678822542,0.0408,False,nosig,grey
SERTM1,0.0005519035993341494,0.1113,False,nosig,grey
GMPS,0.0005515182712180091,0.0562,False,nosig,grey
ZER1,0.0005496925053898243,0.0013,False,nosig,grey
MCUB,0.0005488253776286994,0.1412,False,nosig,grey
LIX1L,0.0005485758089888372,0.0187,False,nosig,grey
FOXR1,0.000547704615323725,0.0,True,pos,#A80510
DSCAM,0.0005476792935628812,0.0456,False,nosig,grey
LOC100270746,0.0005463515730783752,0.0363,False,nosig,grey
ANXA2R,0.0005463075862189475,0.1676,False,nosig,grey
KCNH5,0.000546139565132651,0.1348,False,nosig,grey
IMPDH2,0.0005456488638531184,0.1353,False,nosig,grey
MAFIP,0.0005454162672329075,0.0076,False,nosig,grey
WIPF3,0.0005444695307495766,0.0434,False,nosig,grey
NDP,0.0005443180600804293,0.0315,False,nosig,grey
TRMT1L,0.0005441098110439219,0.0311,False,nosig,grey
SCAMP1,0.0005432597636602815,0.0024,False,nosig,grey
VWC2L,0.000542388860280383,0.0025,False,nosig,grey
SLC8A3,0.0005412731976743185,0.0472,False,nosig,grey
KRT14,0.0005412410192020108,0.1549,False,nosig,grey
HES5,0.0005412254855444109,0.0405,False,nosig,grey
MAPK1IP1L,0.0005408476506540197,0.0354,False,nosig,grey
DOK5,0.0005407982636951577,0.0584,False,nosig,grey
AZIN1,0.0005399110715277747,0.001,False,nosig,grey
AGMAT,0.0005393450151659404,0.1302,False,nosig,grey
TAF8,0.0005392850928065636,0.0924,False,nosig,grey
CHN1,0.0005388911112587921,0.0745,False,nosig,grey
TOP2B,0.0005382279576446933,0.015,False,nosig,grey
RBBP5,0.000537998521780287,0.0457,False,nosig,grey
MRPS27,0.000537965423581497,0.047,False,nosig,grey
HIST1H2BM,0.0005377154503947961,0.0021,False,nosig,grey
CADPS2,0.0005374359659357091,0.0423,False,nosig,grey
C5,0.0005371444967377345,0.041,False,nosig,grey
GZF1,0.0005364676082826409,0.0937,False,nosig,grey
FCF1,0.0005364533671063056,0.0885,False,nosig,grey
SAMD13,0.0005363143945915479,0.053,False,nosig,grey
GNAS,0.0005362640006149876,0.0,True,pos,#A80510
METTL1,0.0005361642654080159,0.0719,False,nosig,grey
LZTS1,0.0005350139282518716,0.0487,False,nosig,grey
AHCY,0.000534927762040798,0.0041,False,nosig,grey
OSBPL11,0.0005348640036496994,0.0109,False,nosig,grey
CYP26C1,0.0005343695859112063,0.0282,False,nosig,grey
STAT6,0.0005341736972798228,0.0163,False,nosig,grey
HEXIM1,0.0005328172228059317,0.0739,False,nosig,grey
PDE1B,0.0005315174654952129,0.1472,False,nosig,grey
PINK1-AS,0.0005312898190416585,0.0612,False,nosig,grey
DEPDC4,0.0005312748592224192,0.0839,False,nosig,grey
CYTOR,0.0005311214870003858,0.072,False,nosig,grey
ST3GAL1,0.0005309875753437926,0.0487,False,nosig,grey
SCAI,0.0005307111137610129,0.021,False,nosig,grey
LINC01596,0.0005305235449034416,0.0109,False,nosig,grey
DDIT3,0.0005298898344366256,0.0095,False,nosig,grey
RRAS2,0.0005297482859567002,0.0138,False,nosig,grey
PTPN3,0.0005290718695967875,0.1236,False,nosig,grey
MED20,0.0005286949207528706,0.0051,False,nosig,grey
SAMD5,0.0005278863660216318,0.0062,False,nosig,grey
HIST2H2BC,0.0005274228670015176,0.0007,False,nosig,grey
HMGB3P1,0.0005268600234696443,0.1001,False,nosig,grey
SLC39A3,0.0005258699461825967,0.0588,False,nosig,grey
HIST1H2BG,0.000525731718206774,0.0003,False,nosig,grey
MTHFR,0.0005252771878491043,0.0088,False,nosig,grey
ORMDL1,0.0005252530041479381,0.0661,False,nosig,grey
MATK,0.0005249185045569585,0.0101,False,nosig,grey
CLPP,0.0005244510515544052,0.0029,False,nosig,grey
NECAB2,0.0005243927648693868,0.1214,False,nosig,grey
PLG,0.0005238390889154592,0.0104,False,nosig,grey
TOP1MT,0.0005228159019560619,0.0049,False,nosig,grey
ZNF512,0.000522670882640465,0.0142,False,nosig,grey
MAPRE2,0.0005219666949414346,0.0054,False,nosig,grey
TP53BP1,0.0005216373329119244,0.0021,False,nosig,grey
EPB41L4A-AS1,0.0005213704527233017,0.0027,False,nosig,grey
SCN3B,0.0005213334867534394,0.0053,False,nosig,grey
NSG2,0.0005208173342605395,0.0319,False,nosig,grey
TENM2,0.0005200319592813514,0.0484,False,nosig,grey
MORF4L2,0.0005199882258778783,0.0124,False,nosig,grey
CDC14B,0.0005197992061532584,0.0265,False,nosig,grey
KIAA1147,0.0005192529785235015,0.0133,False,nosig,grey
FAM189A1,0.0005192260912984508,0.0205,False,nosig,grey
SBK1,0.0005189211940018401,0.0416,False,nosig,grey
SLC10A7,0.0005182160751689554,0.0077,False,nosig,grey
FEM1A,0.0005180517648397812,0.0243,False,nosig,grey
SLC17A6,0.0005178428757137825,0.2829,False,nosig,grey
FHL3,0.0005174416542585887,0.0751,False,nosig,grey
FAM163B,0.0005171152440980499,0.2059,False,nosig,grey
