"","MGI.symbol","HGNC.symbol","NCBI.gene..formerly.Entrezgene..ID","NCBI.gene..formerly.Entrezgene..description"
"1","Kctd1","KCTD1",284252,"potassium channel tetramerization domain containing 1"
"2","Pde9a","PDE9A",5152,"phosphodiesterase 9A"
"3","Col18a1","COL18A1",80781,"collagen type XVIII alpha 1 chain"
"4","Pcdh17","PCDH17",27253,"protocadherin 17"
"5","Dach1","DACH1",1602,"dachshund family transcription factor 1"
"6","Akap6","AKAP6",9472,"A-kinase anchoring protein 6"
"7","Nrk","NRK",203447,"Nik related kinase"
"8","Cerk","CERK",64781,"ceramide kinase"
"9","Cep76","CEP76",79959,"centrosomal protein 76"
"10","Ipo5","IPO5",3843,"importin 5"
"11","Corin","CORIN",10699,"corin, serine peptidase"
"12","Plekhd1","PLEKHD1",400224,"pleckstrin homology and coiled-coil domain containing D1"
"13","Pvalb","PVALB",5816,"parvalbumin"
"14","Klhl4","KLHL4",56062,"kelch like family member 4"
"15","Syndig1","SYNDIG1",79953,"synapse differentiation inducing 1"
"16","Ociad2","OCIAD2",132299,"OCIA domain containing 2"
"17","Tmem184b","TMEM184B",25829,"transmembrane protein 184B"
"18","Ppp1r16b","PPP1R16B",26051,"protein phosphatase 1 regulatory subunit 16B"
"19","Slc5a1","SLC5A1",6523,"solute carrier family 5 member 1"
"20","Ywhah","YWHAH",7533,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta"
"21","Csdc2","CSDC2",27254,"cold shock domain containing C2"
"22","Pde5a","PDE5A",8654,"phosphodiesterase 5A"
"23","Mfhas1","MFHAS1",9258,"multifunctional ROCO family signaling regulator 1"
"24","Tmem255a","TMEM255A",55026,"transmembrane protein 255A"
"25","Ptprm","PTPRM",5797,"protein tyrosine phosphatase receptor type M"
"26","Inpp5a","INPP5A",3632,"inositol polyphosphate-5-phosphatase A"
"27","Syt7","SYT7",9066,"synaptotagmin 7"
"28","Grid2","GRID2",2895,"glutamate ionotropic receptor delta type subunit 2"
"29","Cyth3","CYTH3",9265,"cytohesin 3"
"30","Elmod1","ELMOD1",55531,"ELMO domain containing 1"
"31","Atp2a3","ATP2A3",489,"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3"
"32","Unc5d","UNC5D",137970,"unc-5 netrin receptor D"
"33","Nefh","NEFH",4744,"neurofilament heavy chain"
"34","Tspan13","TSPAN13",27075,"tetraspanin 13"
"35","Gabbr2","GABBR2",9568,"gamma-aminobutyric acid type B receptor subunit 2"
"36","Gad2","GAD2",2572,"glutamate decarboxylase 2"
"37","Nlk","NLK",51701,"nemo like kinase"
"38","Fgd3","FGD3",89846,"FYVE, RhoGEF and PH domain containing 3"
"39","Tmtc1","TMTC1",83857,"transmembrane O-mannosyltransferase targeting cadherins 1"
"40","Doc2b","DOC2B",8447,"double C2 domain beta"
"41","Clmn","CLMN",79789,"calmin"
"42","Grik1","GRIK1",2897,"glutamate ionotropic receptor kainate type subunit 1"
"43","Plxdc2","PLXDC2",84898,"plexin domain containing 2"
"44","Myo10","MYO10",4651,"myosin X"
"45","Nell1","NELL1",4745,"neural EGFL like 1"
"46","Srgap1","SRGAP1",57522,"SLIT-ROBO Rho GTPase activating protein 1"
"47","Ppp1r1b","PPP1R1B",84152,"protein phosphatase 1 regulatory inhibitor subunit 1B"
"48","Nrsn2","NRSN2",80023,"neurensin 2"
"49","Igfbp6","IGFBP6",3489,"insulin like growth factor binding protein 6"
