"","MGI.symbol","HGNC.symbol","NCBI.gene..formerly.Entrezgene..ID","NCBI.gene..formerly.Entrezgene..description"
"1","Sh3gl2","SH3GL2",6456,"SH3 domain containing GRB2 like 2, endophilin A1"
"2","Ndrg3","NDRG3",57446,"NDRG family member 3"
"3","Sh3bgr","GET1-SH3BGR",106865373,"GET1-SH3BGR readthrough"
"4","Slitrk4","SLITRK4",139065,"SLIT and NTRK like family member 4"
"5","Rnf152","RNF152",220441,"ring finger protein 152"
"6","Ldoc1","LDOC1",23641,"LDOC1 regulator of NFKB signaling"
"7","Syt4","SYT4",6860,"synaptotagmin 4"
"8","St8sia3","ST8SIA3",51046,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3"
"9","Nap1l2","NAP1L2",4674,"nucleosome assembly protein 1 like 2"
"10","Ptchd1","PTCHD1",139411,"patched domain containing 1"
"11","Sel1l3","SEL1L3",23231,"SEL1L family member 3"
"12","Fos","FOS",2353,"Fos proto-oncogene, AP-1 transcription factor subunit"
"13","Pcsk2","PCSK2",5126,"proprotein convertase subtilisin/kexin type 2"
"14","Tenm1","TENM1",10178,"teneurin transmembrane protein 1"
"15","Flrt3","FLRT3",23767,"fibronectin leucine rich transmembrane protein 3"
"16","Mtcl1","MTCL1",23255,"microtubule crosslinking factor 1"
"17","Chgb","CHGB",1114,"chromogranin B"
"18","Stmn3","STMN3",50861,"stathmin 3"
"19","Rtn4r","RTN4R",65078,"reticulon 4 receptor"
"20","Coro2a","CORO2A",7464,"coronin 2A"
"21","Camk2b","CAMK2B",816,"calcium/calmodulin dependent protein kinase II beta"
"22","Nptxr","NPTXR",23467,"neuronal pentraxin receptor"
"23","Brinp1","BRINP1",1620,"BMP/retinoic acid inducible neural specific 1"
"24","Cdr1","CDR1",1038,"cerebellar degeneration related protein 1"
"25","Mmp24","MMP24",10893,"matrix metallopeptidase 24"
"26","Uncx","UNCX",340260,"UNC homeobox"
"27","Tmem150c","TMEM150C",441027,"transmembrane protein 150C"
"28","Ramp3","RAMP3",10268,"receptor activity modifying protein 3"
"29","Fstl5","FSTL5",56884,"follistatin like 5"
"30","Eef1a2","EEF1A2",1917,"eukaryotic translation elongation factor 1 alpha 2"
"31","Sergef","SERGEF",26297,"secretion regulating guanine nucleotide exchange factor"
"32","Zfand5","ZFAND5",7763,"zinc finger AN1-type containing 5"
"33","Ppp2r2c","PPP2R2C",5522,"protein phosphatase 2 regulatory subunit Bgamma"
"34","Ppp3ca","PPP3CA",5530,"protein phosphatase 3 catalytic subunit alpha"
"35","Exph5","EXPH5",23086,"exophilin 5"
"36","Bdnf","BDNF",627,"brain derived neurotrophic factor"
"37","Necab3","NECAB3",63941,"N-terminal EF-hand calcium binding protein 3"
"38","Pkib","PKIB",5570,"cAMP-dependent protein kinase inhibitor beta"
"39","Kcnj12","KCNJ12",3768,"potassium inwardly rectifying channel subfamily J member 12"
"40","Ntf3","NTF3",4908,"neurotrophin 3"
"41","Grm4","GRM4",2914,"glutamate metabotropic receptor 4"
"42","Ano3","ANO3",63982,"anoctamin 3"
"43","Diras2","DIRAS2",54769,"DIRAS family GTPase 2"
"44","Ndst3","NDST3",9348,"N-deacetylase and N-sulfotransferase 3"
"45","Rragd","RRAGD",58528,"Ras related GTP binding D"
"46","Rab33a","RAB33A",9363,"RAB33A, member RAS oncogene family"
"47","Etv1","ETV1",2115,"ETS variant transcription factor 1"
"48","Camkk1","CAMKK1",84254,"calcium/calmodulin dependent protein kinase kinase 1"
"49","Pde1c","PDE1C",5137,"phosphodiesterase 1C"
"50","Golga7b","GOLGA7B",401647,"golgin A7 family member B"
"51","Nedd4l","NEDD4L",23327,"NEDD4 like E3 ubiquitin protein ligase"
"52","Adcy1","ADCY1",107,"adenylate cyclase 1"
"53","Mrln","MRLN",100507027,"myoregulin"
"54","Zdhhc2","ZDHHC2",51201,"zinc finger DHHC-type palmitoyltransferase 2"
"55","Zfp385b","ZNF385B",151126,"zinc finger protein 385B"
"56","Ehd1","EHD1",10938,"EH domain containing 1"
"57","Btg1","BTG1",694,"BTG anti-proliferation factor 1"
"58","Galnt9","GALNT9",50614,"polypeptide N-acetylgalactosaminyltransferase 9"
"59","Cacna2d1","CACNA2D1",781,"calcium voltage-gated channel auxiliary subunit alpha2delta 1"
"60","Zic1","ZIC1",7545,"Zic family member 1"
"61","Spop","SPOP",8405,"speckle type BTB/POZ protein"
"62","Lrrtm2","LRRTM2",26045,"leucine rich repeat transmembrane neuronal 2"
"63","Jph3","JPH3",57338,"junctophilin 3"
"64","Car9","CA9",768,"carbonic anhydrase 9"
"65","Kcnc1","KCNC1",3746,"potassium voltage-gated channel subfamily C member 1"
"66","Dixdc1","DIXDC1",85458,"DIX domain containing 1"
"67","Coro1a","CORO1A",11151,"coronin 1A"
"68","Il20rb","IL20RB",53833,"interleukin 20 receptor subunit beta"
"69","Ubtd2","UBTD2",92181,"ubiquitin domain containing 2"
"70","Stmn2","STMN2",11075,"stathmin 2"
"71","Tulp4","TULP4",56995,"TUB like protein 4"
"72","Kcnk10","KCNK10",54207,"potassium two pore domain channel subfamily K member 10"
"73","Chd7","CHD7",55636,"chromodomain helicase DNA binding protein 7"
"74","Camk4","CAMK4",814,"calcium/calmodulin dependent protein kinase IV"
"75","Camkk2","CAMKK2",10645,"calcium/calmodulin dependent protein kinase kinase 2"
"76","Rims3","RIMS3",9783,"regulating synaptic membrane exocytosis 3"
