"","MGI.symbol","HGNC.symbol","NCBI.gene..formerly.Entrezgene..ID","NCBI.gene..formerly.Entrezgene..description"
"1","Tmsb4x","TMSB4Y",9087,"thymosin beta 4 Y-linked"
"2","Tspo","TSPO",706,"translocator protein"
"3","Lama5","LAMA5",3911,"laminin subunit alpha 5"
"4","Sox18","SOX18",54345,"SRY-box transcription factor 18"
"5","Rock1","ROCK1",6093,"Rho associated coiled-coil containing protein kinase 1"
"6","Sptssa","SPTSSA",171546,"serine palmitoyltransferase small subunit A"
"7","Itm2a","ITM2A",9452,"integral membrane protein 2A"
"8","Cst3","CST3",1471,"cystatin C"
"9","Cyyr1","CYYR1",116159,"cysteine and tyrosine rich 1"
"10","Ism1","ISM1",140862,"isthmin 1"
"11","Jam2","JAM2",58494,"junctional adhesion molecule 2"
"12","Sh3bgrl","SH3BGRL",6451,"SH3 domain binding glutamate rich protein like"
"13","Fermt2","FERMT2",10979,"FERM domain containing kindlin 2"
"14","Thbd","THBD",7056,"thrombomodulin"
"15","Rnf125","RNF125",54941,"ring finger protein 125"
"16","Klf6","KLF6",1316,"Kruppel like factor 6"
"17","Pdgfb","PDGFB",5155,"platelet derived growth factor subunit B"
"18","Slc1a1","SLC1A1",6505,"solute carrier family 1 member 1"
"19","Tshz2","TSHZ2",128553,"teashirt zinc finger homeobox 2"
"20","Tsc22d1","TSC22D1",8848,"TSC22 domain family member 1"
"21","Flt1","FLT1",2321,"fms related receptor tyrosine kinase 1"
"22","Cdkn2b","CDKN2B",1030,"cyclin dependent kinase inhibitor 2B"
"23","Clec14a","CLEC14A",161198,"C-type lectin domain containing 14A"
"24","Rhoj","RHOJ",57381,"ras homolog family member J"
"25","Tgm2","TGM2",7052,"transglutaminase 2"
"26","Itih5","ITIH5",80760,"inter-alpha-trypsin inhibitor heavy chain 5"
"27","Gpcpd1","GPCPD1",56261,"glycerophosphocholine phosphodiesterase 1"
"28","Slc16a2","SLC16A2",6567,"solute carrier family 16 member 2"
"29","Cd93","CD93",22918,"CD93 molecule"
"30","Edn3","EDN3",1908,"endothelin 3"
"31","Adamts1","ADAMTS1",9510,"ADAM metallopeptidase with thrombospondin type 1 motif 1"
"32","Pir","PIR",8544,"pirin"
"33","Rsu1","RSU1",6251,"Ras suppressor protein 1"
"34","Id1","ID1",3397,"inhibitor of DNA binding 1, HLH protein"
"35","Msn","MSN",4478,"moesin"
"36","Ddc","DDC",1644,"dopa decarboxylase"
"37","Pltp","PLTP",5360,"phospholipid transfer protein"
"38","Prickle1","PRICKLE1",144165,"prickle planar cell polarity protein 1"
"39","Fam13c","FAM13C",220965,"family with sequence similarity 13 member C"
"40","Lcn2","LCN2",3934,"lipocalin 2"
"41","Ostf1","OSTF1",26578,"osteoclast stimulating factor 1"
"42","Stra6","STRA6",64220,"signaling receptor and transporter of retinol STRA6"
"43","Grap","GRAPL",400581,"GRB2 related adaptor protein like"
"44","Smagp","SMAGP",57228,"small cell adhesion glycoprotein"
"45","Gch1","GCH1",2643,"GTP cyclohydrolase 1"
"46","Gng11","GNG11",2791,"G protein subunit gamma 11"
"47","Aqp11","AQP11",282679,"aquaporin 11"
"48","Rhobtb1","RHOBTB1",9886,"Rho related BTB domain containing 1"
"49","Samd9l","SAMD9L",219285,"sterile alpha motif domain containing 9 like"
"50","Lmo7","LMO7",4008,"LIM domain 7"
"51","Slc52a3","SLC52A3",113278,"solute carrier family 52 member 3"
"52","Pde2a","PDE2A",5138,"phosphodiesterase 2A"
"53","Smco4","SMCO4",56935,"single-pass membrane protein with coiled-coil domains 4"
