"","MGI.symbol","HGNC.symbol","NCBI.gene..formerly.Entrezgene..ID","NCBI.gene..formerly.Entrezgene..description"
"1","Tmsb4x","TMSB4Y",9087,"thymosin beta 4 Y-linked"
"2","Cst3","CST3",1471,"cystatin C"
"3","Samsn1","SAMSN1",388813,"uncharacterized protein ENSP00000383407-like"
"4","Samsn1","SAMSN1",64092,"SAM domain, SH3 domain and nuclear localization signals 1"
"5","Cyth4","CYTH4",27128,"cytohesin 4"
"6","Mrc1","MRC1",4360,"mannose receptor C-type 1"
"7","Trem2","TREM2",54209,"triggering receptor expressed on myeloid cells 2"
"8","C3ar1","C3AR1",719,"complement C3a receptor 1"
"9","Rnase4","RNASE4",6038,"ribonuclease A family member 4"
"10","Apbb1ip","APBB1IP",54518,"amyloid beta precursor protein binding family B member 1 interacting protein"
"11","Pld4","PLD4",122618,"phospholipase D family member 4"
"12","Unc93b1","UNC93B1",81622,"unc-93 homolog B1, TLR signaling regulator"
"13","Lgmn","LGMN",5641,"legumain"
"14","Rgs10","RGS10",6001,"regulator of G protein signaling 10"
"15","Ctsz","CTSZ",1522,"cathepsin Z"
"16","Fth1","FTH1",2495,"ferritin heavy chain 1"
"17","Mafb","MAFB",9935,"MAF bZIP transcription factor B"
"18","Rps24","RPS24",6229,"ribosomal protein S24"
"19","Hpgds","HPGDS",27306,"hematopoietic prostaglandin D synthase"
"20","Alox5ap","ALOX5AP",241,"arachidonate 5-lipoxygenase activating protein"
"21","Nrp1","NRP1",8829,"neuropilin 1"
"22","Lcp1","LCP1",3936,"lymphocyte cytosolic protein 1"
"23","Serinc3","SERINC3",10955,"serine incorporator 3"
"24","Mpeg1","MPEG1",219972,"macrophage expressed 1"
"25","Lst1","LST1",7940,"leukocyte specific transcript 1"
"26","Gpr34","GPR34",2857,"G protein-coupled receptor 34"
"27","Cd37","CD37",951,"CD37 molecule"
"28","Actb","ACTB",60,"actin beta"
"29","Rplp1","RPLP1",6176,"ribosomal protein lateral stalk subunit P1"
"30","Ly6e","LY6E",4061,"lymphocyte antigen 6 family member E"
"31","Pycard","PYCARD",29108,"PYD and CARD domain containing"
"32","Itgam","ITGAM",3684,"integrin subunit alpha M"
"33","Marcks","MARCKS",4082,"myristoylated alanine rich protein kinase C substrate"
"34","Stab1","STAB1",23166,"stabilin 1"
"35","Aif1","AIF1",199,"allograft inflammatory factor 1"
"36","Cyba","CYBA",1535,"cytochrome b-245 alpha chain"
"37","Hexb","HEXB",3074,"hexosaminidase subunit beta"
"38","Laptm5","LAPTM5",7805,"lysosomal protein transmembrane 5"
"39","Ctsd","CTSD",1509,"cathepsin D"
"40","F13a1","F13A1",2162,"coagulation factor XIII A chain"
"41","Ptpn18","PTPN18",26469,"protein tyrosine phosphatase non-receptor type 18"
"42","Ms4a7","MS4A7",58475,"membrane spanning 4-domains A7"
"43","Hpgd","HPGD",3248,"15-hydroxyprostaglandin dehydrogenase"
"44","Ctsc","CTSC",1075,"cathepsin C"
"45","Rrbp1","RRBP1",6238,"ribosome binding protein 1"
"46","Dab2","DAB2",112267931,"uncharacterized LOC112267931"
"47","Dab2","DAB2",1601,"DAB adaptor protein 2"
"48","H2-Ab1","HLA-DQB2",3120,"major histocompatibility complex, class II, DQ beta 2"
"49","Maf","MAF",4094,"MAF bZIP transcription factor"
"50","Tyrobp","TYROBP",7305,"transmembrane immune signaling adaptor TYROBP"
"51","Fcrls","FCRL2",79368,"Fc receptor like 2"
"52","C1qc","C1QC",714,"complement C1q C chain"
"53","Siglech","SIGLEC6",946,"sialic acid binding Ig like lectin 6"
"54","Siglech","CD33",945,"CD33 molecule"
"55","Sparc","SPARC",6678,"secreted protein acidic and cysteine rich"
"56","Cx3cr1","CX3CR1",1524,"C-X3-C motif chemokine receptor 1"
"57","Ms4a6c","MS4A6A",64231,"membrane spanning 4-domains A6A"
"58","Ms4a6c","MS4A6E",245802,"membrane spanning 4-domains A6E"
"59","Ctss","CTSS",1520,"cathepsin S"
"60","Ctsb","CTSB",1508,"cathepsin B"
"61","Hexa","HEXA",3073,"hexosaminidase subunit alpha"
"62","Cd74","CD74",972,"CD74 molecule"
"63","B2m","B2M",567,"beta-2-microglobulin"
"64","Ncf1","NCF1",653361,"neutrophil cytosolic factor 1"
"65","Ms4a6b","MS4A6A",64231,"membrane spanning 4-domains A6A"
"66","Ms4a6b","MS4A6E",245802,"membrane spanning 4-domains A6E"
"67","Fcer1g","FCER1G",2207,"Fc fragment of IgE receptor Ig"
"68","Cd52","CD52",1043,"CD52 molecule"
"69","Apoe","APOE",348,"apolipoprotein E"
"70","Olfml3","OLFML3",56944,"olfactomedin like 3"
"71","Rps14","RPS14",6208,"ribosomal protein S14"
"72","Ly86","LY86",9450,"lymphocyte antigen 86"
"73","Grn","GRN",2896,"granulin precursor"
"74","C1qa","C1QA",712,"complement C1q A chain"
"75","Cd53","CD53",963,"CD53 molecule"
"76","Fcgr3","FCGR2A",2212,"Fc fragment of IgG receptor IIa"
"77","Fcgr3","FCGR2C",NA,""
"78","Fcgr3","FCGR2B",2213,"Fc fragment of IgG receptor IIb"
"79","C1qb","C1QB",713,"complement C1q B chain"
"80","Fyb","FYB1",2533,"FYN binding protein 1"
"81","Csf1r","CSF1R",1436,"colony stimulating factor 1 receptor"
"82","P2ry12","P2RY12",64805,"purinergic receptor P2Y12"
"83","Selplg","SELPLG",6404,"selectin P ligand"
"84","H2-Ab1","HLA-DQB1",3119,"major histocompatibility complex, class II, DQ beta 1"
"85","Rps9","RPS9",6203,"ribosomal protein S9"
