"","MGI.symbol","HGNC.symbol","NCBI.gene..formerly.Entrezgene..ID","NCBI.gene..formerly.Entrezgene..description"
"1","Prodh","",102724788,"proline dehydrogenase 1, mitochondrial"
"2","Tmsb4x","TMSB4Y",9087,"thymosin beta 4 Y-linked"
"3","Nkx2-2","NKX2-2",4821,"NK2 homeobox 2"
"4","0610040J01Rik","C4orf19",55286,"chromosome 4 open reading frame 19"
"5","Tmem47","TMEM47",83604,"transmembrane protein 47"
"6","Icosl","",102723996,"ICOS ligand"
"7","Icosl","ICOSLG",23308,"inducible T cell costimulator ligand"
"8","Colec12","COLEC12",81035,"collectin subfamily member 12"
"9","Maob","MAOB",4129,"monoamine oxidase B"
"10","Mrps6","MRPS6",64968,"mitochondrial ribosomal protein S6"
"11","Cdh20","CDH20",28316,"cadherin 20"
"12","Phlpp1","PHLPP1",23239,"PH domain and leucine rich repeat protein phosphatase 1"
"13","Elmo2","ELMO2",63916,"engulfment and cell motility 2"
"14","Tmem200c","TMEM200C",645369,"transmembrane protein 200C"
"15","Rhoj","RHOJ",57381,"ras homolog family member J"
"16","Snta1","SNTA1",6640,"syntrophin alpha 1"
"17","Prex1","PREX1",57580,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1"
"18","Adamts1","ADAMTS1",9510,"ADAM metallopeptidase with thrombospondin type 1 motif 1"
"19","Sec11c","SEC11C",90701,"SEC11 homolog C, signal peptidase complex subunit"
"20","Hdac8","HDAC8",55869,"histone deacetylase 8"
"21","B3glct","B3GLCT",145173,"beta 3-glucosyltransferase"
"22","Pigp","PIGP",51227,"phosphatidylinositol glycan anchor biosynthesis class P"
"23","Ednrb","EDNRB",1910,"endothelin receptor type B"
"24","Pcdh20","PCDH20",64881,"protocadherin 20"
"25","Cdh4","CDH4",1002,"cadherin 4"
"26","Plgrkt","PLGRKT",55848,"plasminogen receptor with a C-terminal lysine"
"27","Smox","SMOX",54498,"spermine oxidase"
"28","Sirpa","SIRPG",55423,"signal regulatory protein gamma"
"29","Rbbp9","RBBP9",10741,"RB binding protein 9, serine hydrolase"
"30","Sdc4","SDC4",6385,"syndecan 4"
"31","Slc14a1","SLC14A1",6563,"solute carrier family 14 member 1 (Kidd blood group)"
"32","Slc35c2","SLC35C2",51006,"solute carrier family 35 member C2"
"33","Spry2","SPRY2",10253,"sprouty RTK signaling antagonist 2"
"34","Jam2","JAM2",58494,"junctional adhesion molecule 2"
"35","Ndp","NDP",4693,"norrin cystine knot growth factor NDP"
"36","Gabrb1","GABRB1",2560,"gamma-aminobutyric acid type A receptor subunit beta1"
"37","Fermt2","FERMT2",10979,"FERM domain containing kindlin 2"
"38","Pcdh17","PCDH17",27253,"protocadherin 17"
"39","Mthfd1","MTHFD1",4522,"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1"
"40","Mro","MRO",83876,"maestro"
"41","Hopx","HOPX",84525,"HOP homeobox"
"42","Jakmip1","JAKMIP1",152789,"janus kinase and microtubule interacting protein 1"
"43","Cdc42ep1","CDC42EP1",11135,"CDC42 effector protein 1"
"44","Rab31","RAB31",11031,"RAB31, member RAS oncogene family"
"45","Cst3","CST3",1471,"cystatin C"
"46","Pygb","PYGB",5834,"glycogen phosphorylase B"
"47","Fgfrl1","FGFRL1",53834,"fibroblast growth factor receptor like 1"
"48","Prr5","PRR5",55615,"proline rich 5"
"49","Acss1","ACSS1",84532,"acyl-CoA synthetase short chain family member 1"
"50","Pou3f4","POU3F4",5456,"POU class 3 homeobox 4"
"51","Phka1","PHKA1",5255,"phosphorylase kinase regulatory subunit alpha 1"
"52","Ak3","AK3",50808,"adenylate kinase 3"
"53","S100b","S100B",6285,"S100 calcium binding protein B"
"54","Cbr3","CBR3",874,"carbonyl reductase 3"
"55","Tst","TST",7263,"thiosulfate sulfurtransferase"
"56","Wnt7b","WNT7B",7477,"Wnt family member 7B"
"57","Glud1","GLUD2",2747,"glutamate dehydrogenase 2"
"58","Cbs","CBS",875,"cystathionine beta-synthase"
"59","Klhl13","KLHL13",90293,"kelch like family member 13"
"60","Prmt2","PRMT2",3275,"protein arginine methyltransferase 2"
"61","Gdf10","GDF10",2662,"growth differentiation factor 10"
"62","Sirpa","SIRPB1",10326,"signal regulatory protein beta 1"
"63","Sirpa","SIRPA",140885,"signal regulatory protein alpha"
"64","Emid1","EMID1",129080,"EMI domain containing 1"
"65","Vat1","VAT1",10493,"vesicle amine transport 1"
"66","Txndc5","TXNDC5",81567,"thioredoxin domain containing 5"
"67","Syt10","SYT10",341359,"synaptotagmin 10"
"68","Lrrc1","LRRC1",55227,"leucine rich repeat containing 1"
"69","Slc25a18","SLC25A18",83733,"solute carrier family 25 member 18"
"70","Paqr8","PAQR8",85315,"progestin and adipoQ receptor family member 8"
"71","Aldh1a1","ALDH1A1",216,"aldehyde dehydrogenase 1 family member A1"
"72","Fjx1","FJX1",24147,"four-jointed box kinase 1"
"73","Npc2","NPC2",10577,"NPC intracellular cholesterol transporter 2"
"74","Dusp18","DUSP18",150290,"dual specificity phosphatase 18"
"75","Igdcc4","IGDCC4",57722,"immunoglobulin superfamily DCC subclass member 4"
"76","Stom","STOM",2040,"stomatin"
"77","Rbm24","RBM24",221662,"RNA binding motif protein 24"
"78","Etnppl","ETNPPL",64850,"ethanolamine-phosphate phospho-lyase"
"79","Rasl11a","RASL11A",387496,"RAS like family 11 member A"
"80","Tril","TRIL",9865,"TLR4 interactor with leucine rich repeats"
"81","Klf3","KLF3",51274,"Kruppel like factor 3"
"82","Tmed10","TMED10",10972,"transmembrane p24 trafficking protein 10"
"83","Gabrg1","GABRG1",2565,"gamma-aminobutyric acid type A receptor subunit gamma1"
"84","Tnc","TNC",3371,"tenascin C"
"85","Rsu1","RSU1",6251,"Ras suppressor protein 1"
"86","Cmtm5","CMTM5",116173,"CKLF like MARVEL transmembrane domain containing 5"
"87","Aqp4","AQP4",361,"aquaporin 4"
"88","Naga","NAGA",4668,"alpha-N-acetylgalactosaminidase"
"89","Traf1","TRAF1",7185,"TNF receptor associated factor 1"
"90","Cldn10","CLDN10",9071,"claudin 10"
"91","2210016F16Rik","C9orf64",84267,"chromosome 9 open reading frame 64"
"92","Gemin8","GEMIN8",54960,"gem nuclear organelle associated protein 8"
"93","Gpm6b","GPM6B",2824,"glycoprotein M6B"
"94","Gpr146","GPR146",115330,"G protein-coupled receptor 146"
"95","Cyb5a","CYB5A",1528,"cytochrome b5 type A"
"96","Htra1","HTRA1",5654,"HtrA serine peptidase 1"
"97","Mlc1","MLC1",23209,"modulator of VRAC current 1"
"98","Etv4","ETV4",2118,"ETS variant transcription factor 4"
"99","Dhrs4","DHRS4",10901,"dehydrogenase/reductase 4"
"100","Grid2","GRID2",2895,"glutamate ionotropic receptor delta type subunit 2"
"101","Spred1","SPRED1",161742,"sprouty related EVH1 domain containing 1"
"102","Pdgfd","PDGFD",80310,"platelet derived growth factor D"
"103","Grin3a","GRIN3A",116443,"glutamate ionotropic receptor NMDA type subunit 3A"
"104","Pdzd11","PDZD11",51248,"PDZ domain containing 11"
"105","Pcx","PC",5091,"pyruvate carboxylase"
"106","Slco4a1","SLCO4A1",28231,"solute carrier organic anion transporter family member 4A1"
"107","Tcf7l2","TCF7L2",6934,"transcription factor 7 like 2"
"108","Luzp2","LUZP2",338645,"leucine zipper protein 2"
"109","Psat1","PSAT1",29968,"phosphoserine aminotransferase 1"
"110","Fkbp10","FKBP10",60681,"FKBP prolyl isomerase 10"
"111","Gas1","GAS1",2619,"growth arrest specific 1"
"112","Dhrs1","DHRS1",115817,"dehydrogenase/reductase 1"
"113","Mob3b","MOB3B",79817,"MOB kinase activator 3B"
"114","Pxmp4","PXMP4",11264,"peroxisomal membrane protein 4"
"115","Add3","ADD3",120,"adducin 3"
"116","Glipr2","GLIPR2",152007,"GLI pathogenesis related 2"
"117","Slc35b2","SLC35B2",347734,"solute carrier family 35 member B2"
"118","Ppp1r14c","PPP1R14C",81706,"protein phosphatase 1 regulatory inhibitor subunit 14C"
"119","Cyfip1","CYFIP1",23191,"cytoplasmic FMR1 interacting protein 1"
"120","Scd2","SCD",6319,"stearoyl-CoA desaturase"
"121","Spon1","SPON1",10418,"spondin 1"
"122","Clu","CLU",1191,"clusterin"
"123","Id4","ID4",3400,"inhibitor of DNA binding 4, HLH protein"
"124","Slc39a12","SLC39A12",221074,"solute carrier family 39 member 12"
"125","Sod3","SOD3",6649,"superoxide dismutase 3"
"126","Cat","CAT",847,"catalase"
"127","Eci1","ECI1",1632,"enoyl-CoA delta isomerase 1"
"128","Cbs","CBSL",102724560,"cystathionine beta-synthase like"
"129","Rassf2","RASSF2",9770,"Ras association domain family member 2"
"130","Renbp","RENBP",5973,"renin binding protein"
"131","Cables1","CABLES1",91768,"Cdk5 and Abl enzyme substrate 1"
"132","Cnn2","CNN2",1265,"calponin 2"
"133","Slc38a1","SLC38A1",81539,"solute carrier family 38 member 1"
"134","Skap2","SKAP2",8935,"src kinase associated phosphoprotein 2"
"135","Gldc","GLDC",2731,"glycine decarboxylase"
"136","Gpd1","GPD1",2819,"glycerol-3-phosphate dehydrogenase 1"
"137","Slc25a1","SLC25A1",6576,"solute carrier family 25 member 1"
"138","Asrgl1","ASRGL1",80150,"asparaginase and isoaspartyl peptidase 1"
"139","Hacd3","HACD3",51495,"3-hydroxyacyl-CoA dehydratase 3"
"140","Npy","NPY",4852,"neuropeptide Y"
"141","Gpc6","GPC6",10082,"glypican 6"
"142","Adcy2","ADCY2",108,"adenylate cyclase 2"
"143","Snx5","SNX5",27131,"sorting nexin 5"
"144","Slc13a5","SLC13A5",284111,"solute carrier family 13 member 5"
"145","Ctsz","CTSZ",1522,"cathepsin Z"
"146","Sox21","SOX21",11166,"SRY-box transcription factor 21"
"147","Elovl5","ELOVL5",60481,"ELOVL fatty acid elongase 5"
"148","Itgb8","ITGB8",3696,"integrin subunit beta 8"
"149","Elovl2","ELOVL2",54898,"ELOVL fatty acid elongase 2"
"150","Plekhb1","PLEKHB1",58473,"pleckstrin homology domain containing B1"
"151","Lamp2","LAMP2",3920,"lysosomal associated membrane protein 2"
"152","Pnpla7","PNPLA7",375775,"patatin like phospholipase domain containing 7"
"153","Efnb2","EFNB2",1948,"ephrin B2"
"154","Tns3","TNS3",64759,"tensin 3"
"155","Sox1","SOX1",6656,"SRY-box transcription factor 1"
"156","Dnajc24","DNAJC24",120526,"DnaJ heat shock protein family (Hsp40) member C24"
"157","Adra1a","ADRA1A",148,"adrenoceptor alpha 1A"
"158","Msn","MSN",4478,"moesin"
"159","Pltp","PLTP",5360,"phospholipid transfer protein"
"160","Pcdh10","PCDH10",57575,"protocadherin 10"
"161","Srgap1","SRGAP1",57522,"SLIT-ROBO Rho GTPase activating protein 1"
"162","Polr3h","POLR3H",171568,"RNA polymerase III subunit H"
"163","Rdm1","RDM1",201299,"RAD52 motif containing 1"
"164","Abhd3","ABHD3",171586,"abhydrolase domain containing 3, phospholipase"
"165","Rb1","RB1",5925,"RB transcriptional corepressor 1"
"166","Gng11","GNG11",2791,"G protein subunit gamma 11"
"167","Oat","OAT",4942,"ornithine aminotransferase"
"168","Rorb","RORB",6096,"RAR related orphan receptor B"
"169","Gabra4","GABRA4",2557,"gamma-aminobutyric acid type A receptor subunit alpha4"
"170","Cyp2d22","CYP2D6",107987479,"cytochrome P450 2D6"
"171","Cyp2d22","CYP2D6",107987478,"cytochrome P450 2D6-like"
"172","Cyp2d22","CYP2D6",1565,"cytochrome P450 family 2 subfamily D member 6"
"173","Gja1","GJA1",2697,"gap junction protein alpha 1"
"174","Timp3","TIMP3",7078,"TIMP metallopeptidase inhibitor 3"
"175","Tcn2","TCN2",6948,"transcobalamin 2"
"176","Phyhipl","PHYHIPL",84457,"phytanoyl-CoA 2-hydroxylase interacting protein like"
"177","Spg20","SPART",23111,"spartin"
"178","Fam171a1","FAM171A1",221061,"family with sequence similarity 171 member A1"
"179","Plekho2","PLEKHO2",80301,"pleckstrin homology domain containing O2"
"180","Tspan6","TSPAN6",7105,"tetraspanin 6"
"181","Cd164","CD164",8763,"CD164 molecule"
